value	description	codesystem	code	iri
GRCh37	Genome Reference Consortium Human Build 37 (GRCh37)	GCF	000001405.13	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.13
GRCh37.p1	Genome Reference Consortium Human Build 37 patch release 1 (GRCh37.p1)	GCA	000001405.2	https://www.ncbi.nlm.nih.gov/assembly/GCA_000001405.2
GRCh37.p2	Genome Reference Consortium Human Build 37 patch release 2 (GRCh37.p2)	GCF	000001405.14	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.14
GRCh37.p3	Genome Reference Consortium Human Build 37 patch release 3 (GRCh37.p3)	GCA	000001405.4	https://www.ncbi.nlm.nih.gov/assembly/GCA_000001405.4
GRCh37.p4	Genome Reference Consortium Human Build 37 patch release 4 (GRCh37.p4)	GCA	000001405.5	https://www.ncbi.nlm.nih.gov/assembly/GCA_000001405.5
GRCh37.p5	Genome Reference Consortium Human Build 37 patch release 5 (GRCh37.p5)	GCF	000001405.17	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.17
GRCh37.p6	Genome Reference Consortium Human Build 37 patch release 6 (GRCh37.p6)	GCA	000001405.7	https://www.ncbi.nlm.nih.gov/assembly/GCA_000001405.7
GRCh37.p7	Genome Reference Consortium Human Build 37 patch release 7 (GRCh37.p7)	GCA	000001405.8	https://www.ncbi.nlm.nih.gov/assembly/GCA_000001405.8
GRCh37.p8	Genome Reference Consortium Human Build 37 patch release 8 (GRCh37.p8)	GCA	000001405.9	https://www.ncbi.nlm.nih.gov/assembly/GCA_000001405.9
GRCh37.p9	Genome Reference Consortium Human Build 37 patch release 9 (GRCh37.p9)	GCF	000001405.21	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.21
GRCh37.p10	Genome Reference Consortium Human Build 37 patch release 10 (GRCh37.p10)	GCF	000001405.22	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.22
GRCh37.p11	Genome Reference Consortium Human Build 37 patch release 11 (GRCh37.p11)	GCF	000001405.23	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.23
GRCh37.p12	Genome Reference Consortium Human Build 37 patch release 12 (GRCh37.p12)	GCF	000001405.24	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.24
GRCh37.p13	Genome Reference Consortium Human Build 37 patch release 13 (GRCh37.p13)	GCF	000001405.25	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.25
hs38d1	Decoy version 1 for GRCh38	GCA	000786075.2	https://www.ncbi.nlm.nih.gov/assembly/GCA_000786075.2
GRCh38	Genome Reference Consortium Human Build 38	GCF	000001405.26	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.26
GRCh38.p1	Genome Reference Consortium Human Build 38 patch release 1 (GRCh38.p1)	GCF	000001405.27	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.27
GRCh38.p2	Genome Reference Consortium Human Build 38 patch release 3 (GRCh38.p2)	GCF	000001405.28	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.28
GRCh38.p3	Genome Reference Consortium Human Build 38 patch release 3 (GRCh38.p3)	GCF	000001405.29	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.29
GRCh38.p4	Genome Reference Consortium Human Build 38 patch release 4 (GRCh38.p4)	GCF	000001405.30	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.30
GRCh38.p5	Genome Reference Consortium Human Build 38 patch release 5 (GRCh38.p5)	GCF	000001405.31	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.31
GRCh38.p6	Genome Reference Consortium Human Build 38 patch release 6 (GRCh38.p6)	GCF	000001405.32	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.32
GRCh38.p7	Genome Reference Consortium Human Build 38 patch release 7 (GRCh38.p7)	GCF	000001405.33	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.33
GRCh38.p8	Genome Reference Consortium Human Build 38 patch release 8 (GRCh38.p8)	GCF	000001405.34	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.34
GRCh38.p9	Genome Reference Consortium Human Build 38 patch release 9 (GRCh38.p9)	GCF	000001405.35	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.35
GRCh38.p10	Genome Reference Consortium Human Build 38 patch release 10 (GRCh38.p10)	GCF	000001405.36	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.36
GRCh38.p11	Genome Reference Consortium Human Build 38 patch release 11 (GRCh38.p11)	GCF	000001405.37	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.37
GRCh38.p12	Genome Reference Consortium Human Build 38 patch release 12 (GRCh38.p12)	GCF	000001405.38	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.38
GRCh38.p13	Genome Reference Consortium Human Build 38 patch release 13 (GRCh38.p13)	GCF	000001405.39	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.39
NoInformation (NI, nullflavor)	The value is exceptional (missing, omitted, incomplete, improper). No information as to the reason for being an exceptional value is provided. This is the most general exceptional value. It is also the default exceptional value.	HL7	NI	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NI
Invalid (INV, nullflavor)	The value as represented in the instance is not a member of the set of permitted data values in the constrained value domain of a variable.	HL7	INV	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#INV
Derived (DER, nullflavor)	An actual value may exist, but it must be derived from the provided information (usually an EXPR generic data type extension will be used to convey the derivation expression .	HL7	DER	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#DER
Other (OTH, nullflavor)	The actual value is not a member of the set of permitted data values in the constrained value domain of a variable.The actual value is not a member of the set of permitted data values in the constrained value domain of a variable. (e.g., concept not provided by required code system).	HL7	OTH	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#OTH
Negative infinity (NINF, nullflavor)	Negative infinity of numbers.	HL7	NINF	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NINF
Positive infinity (PINF, nullflavor)	Positive infinity of numbers.	HL7	PINF	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#PINF
Un-encoded (UNC, nullflavor)	The actual value has not yet been encoded within the approved value domain.	HL7	UNC	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#UNC
Masked (MSK, nullflavor)	There is information on this item available but it has not been provided by the sender due to security, privacy or other reasons. There may be an alternate mechanism for gaining access to this information.	HL7	MSK	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#MSK
Not applicable (NA, nullflavor)	Known to have no proper value (e.g., last menstrual period for a male).	HL7	NA	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NA
Unknown (UNK, nullflavor)	A proper value is applicable, but not known.	HL7	UNK	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#UNK
Asked but unknown (ASKU, nullflavor)	Information was sought but not found (e.g., patient was asked but didn't know)	HL7	ASKU	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#ASKU
Temporarily unavailable (NAV, nullflavor)	Information is not available at this time but it is expected that it will be available later.	HL7	NAV	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NAV
Not asked (NASK, nullflavor)	This information has not been sought. (e.g., patient was not asked)	HL7	NASK	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NASK
Not available (NAVU, nullflavor)	Information is not available at this time (with no expectation regarding whether it will or will not be available in the future).	HL7	NAVU	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NAVU
