name	label	description	entity	dataType	idAttribute	labelAttribute	visible	nillable	refEntity
ClinicalIdentifier	Clinical identifier	A unique proper name or character sequence that identifies this particular clinical examination. (NCIT:C87853)	Clinical	string	TRUE	TRUE	TRUE	FALSE	
BelongsToPerson	Belongs to person	Reference to the person whom this clinical information is about. (IAO:0000136)	Clinical	xref	FALSE	FALSE	TRUE	TRUE	fair-genomes_Personal
Phenotype	Phenotype	The outward appearance of the individual. In medical context, these are often the symptoms caused by a disease. (NCIT:C16977)	Clinical	mref	FALSE	FALSE	TRUE	TRUE	fair-genomes_Clinical_Phenotype
UnobservedPhenotype	Unobserved phenotype	Phenotypes or symptoms that were looked for but not observed, which may help in differential diagnosis or establish incomplete penetrance. (HL7:C0442737)	Clinical	mref	FALSE	FALSE	TRUE	TRUE	fair-genomes_Clinical_UnobservedPhenotype
PhenotypicDataAvailable	Phenotypic data available	Types of phenotypic data collected in a clinical setting that is potentially available upon request. (NCIT:C15783)	Clinical	mref	FALSE	FALSE	TRUE	TRUE	fair-genomes_Clinical_PhenotypicDataAvailable
ClinicalDiagnosis	Clinical diagnosis	A diagnosis made from a study of the signs and symptoms of a disease. (NCIT:C15607)	Clinical	mref	FALSE	FALSE	TRUE	TRUE	fair-genomes_Clinical_ClinicalDiagnosis
MolecularDiagnosisGene	Molecular diagnosis gene	Gene affected by pathogenic variation that is causal for disease of the patient. (NCIT:C20826)	Clinical	mref	FALSE	FALSE	TRUE	TRUE	fair-genomes_Clinical_MolecularDiagnosisGene
MolecularDiagnosisOther	Molecular diagnosis other	Causal variant in HGVS notation with optional classification or free text explaining any other molecular mechanisms involved. (NCIT:C20826)	Clinical	text	FALSE	FALSE	TRUE	TRUE	
AgeAtDiagnosis	Age at diagnosis	The age, measured from some defined time point (e.g. birth) at which a patient is diagnosed with a disease. (SNOMEDCT:423493009)	Clinical	int	FALSE	FALSE	TRUE	TRUE	
AgeAtLastScreening	Age at last screening	Age of the patient at the moment of the most recent screening. (NCIT:C81258)	Clinical	int	FALSE	FALSE	TRUE	TRUE	
Medication	Medication	A drug product that contains one or more active and/or inactive ingredients used by the patient intended to treat, prevent or alleviate the symptoms of disease. Any hormone therapies, gender-related or otherwise, should also be recorded here. (NCIT:C459)	Clinical	mref	FALSE	FALSE	TRUE	TRUE	fair-genomes_Clinical_Medication
DrugRegimen	Drug regimen	The specific way a therapeutic drug is to be taken, including formulation, route of administration, dose, dosing interval, and treatment duration. (NCIT:C142516)	Clinical	text	FALSE	FALSE	TRUE	TRUE	
FamilyMembersAffected	Family members affected	Family members related by descent rather than by marriage or law who were diagnosed with the same condition as the individual who is the primary focus of investigation (i.e. the proband). (HP:0032320)	Clinical	mref	FALSE	FALSE	TRUE	TRUE	fair-genomes_Clinical_FamilyMembersAffected
FamilyMembersSequenced	Family members sequenced	Family members related by descent rather than by marriage or law who were also tested by next-generation sequencing. (NCIT:C79916)	Clinical	mref	FALSE	FALSE	TRUE	TRUE	fair-genomes_Clinical_FamilyMembersSequenced
MedicalHistory	Medical history	A record of a person's background regarding health, occurrence of disease events and surgical procedures. (NCIT:C18772)	Clinical	mref	FALSE	FALSE	TRUE	TRUE	fair-genomes_Clinical_MedicalHistory
AgeOfOnset	Age of onset	Age of onset of clinical manifestations related to the disease of the patient. (Orphanet:C023)	Clinical	int	FALSE	FALSE	TRUE	TRUE	
FirstContact	First contact	First contact of the patient with a specialised center in context of disease or study inclusion. (LOINC:MTHU048806)	Clinical	date	FALSE	FALSE	TRUE	TRUE	
Functioning	Functioning	Patient's classification of functioning i.e. disability profile according to International Classification of Functioning and Disability (ICF). (NCIT:C21007)	Clinical	text	FALSE	FALSE	TRUE	TRUE	
MaterialUsedInDiagnosis	Material used in diagnosis	This diagnosis c.q. clinical examination is based on one or more sampled materials. (SIO:000641)	Clinical	string	FALSE	FALSE	TRUE	TRUE	
