name	label	description	entity	dataType	idAttribute	labelAttribute	visible	nillable	refEntity
IndividualConsentIdentifier	Individual consent identifier	A unique proper name or character sequence that identifies this particular signed individual consent. (ICO:0000044)	IndividualConsent	string	TRUE	TRUE	TRUE	FALSE	
PersonConsenting	Person consenting	Reference to the person (i.e. subject) to whom this individual consent applies. (IAO:0000136)	IndividualConsent	xref	FALSE	FALSE	TRUE	TRUE	fair-genomes_Personal
ConsentFormUsed	Consent form used	Reference to the informed consent form that was signed. Points to a particular instance of leaflet and consent form that usually exists as a record (i.e. a row) within the same database as this individual consent. (IAO:0000136)	IndividualConsent	xref	FALSE	FALSE	TRUE	TRUE	fair-genomes_LeafletAndConsentForm
CollectedBy	Collected by	Indicates the institute who performed the collection act. (NCIT:C45262)	IndividualConsent	xref	FALSE	FALSE	TRUE	TRUE	fair-genomes_IndividualConsent_CollectedBy
SigningDate	Signing date	A date specification that designates when this individual consent form was signed. (ICO:0000036)	IndividualConsent	date	FALSE	FALSE	TRUE	TRUE	
ValidFrom	Valid from	Starting date of the validity of this individual consent. (DC:valid)	IndividualConsent	date	FALSE	FALSE	TRUE	TRUE	
ValidUntil	Valid until	End date of the validity of this individual consent. (DC:valid)	IndividualConsent	date	FALSE	FALSE	TRUE	TRUE	
RepresentedBy	Represented by	An individual who is authorized under applicable State or local law to consent on behalf of a child or incapable person to general medical care including participation in clinical research. (NCIT:C142600)	IndividualConsent	xref	FALSE	FALSE	TRUE	TRUE	fair-genomes_IndividualConsent_RepresentedBy
DataUsePermissions	Data use permissions	A data item that is used to indicate consent permissions for datasets and/or materials, and relates to the purposes for which datasets and/or material might be used. (DUO:0000001)	IndividualConsent	xref	FALSE	FALSE	TRUE	TRUE	fair-genomes_IndividualConsent_DataUsePermissions
DataUseModifiers	Data use modifiers	Data use modifiers indicate additional conditions for use. For instance, a dataset is restricted to investigations into specific diseases or performed at specific geographical locations. (DUO:0000017)	IndividualConsent	mref	FALSE	FALSE	TRUE	TRUE	fair-genomes_IndividualConsent_DataUseModifiers
DataUseSpecification	Data use specification	Further specification of applied data use permissions and modifiers. For example, a list of countries in case of geographic restrictions or a list of diseases when restricted to disease-specific research. (SIO:000090)	IndividualConsent	text	FALSE	FALSE	TRUE	TRUE	
AllowRecontacting	Allow recontacting	The procedure of recontacting the patient for specified reasons. This means the patient agrees to be re-identifiable under those circumstances. (NCIT:C25737)	IndividualConsent	mref	FALSE	FALSE	TRUE	TRUE	fair-genomes_IndividualConsent_AllowRecontacting
