name	label	description	entity	dataType	idAttribute	labelAttribute	visible	nillable	refEntity
materialidentifier	Material identifier	A unique proper name or character sequence that identifies this particular material. (NCIT:C93400)	material	string	TRUE	TRUE	TRUE	FALSE	
collectedfromperson	Collected from person	Reference to the person from whom this material was collected. (SIO:000244)	material	xref	FALSE	FALSE	TRUE	TRUE	fair-genomes_personal
belongstodiagnosis	Belongs to diagnosis	Reference to a diagnosis c.q. clinical examination of which this material may be a part of. There can be multiple diagnoses when a non-tumor material is reused as reference. (SIO:000068)	material	mref	FALSE	FALSE	TRUE	TRUE	fair-genomes_clinical
samplingtimestamp	Sampling timestamp	Date and time at which this material was collected. (EFO:0000689)	material	datetime	FALSE	FALSE	TRUE	TRUE	
registrationtimestamp	Registration timestamp	Date and time at which this material was listed or recorded officially, i.e. officially qualified or enrolled. (NCIT:C25646)	material	datetime	FALSE	FALSE	TRUE	TRUE	
samplingprotocol	Sampling protocol	The procedure whereby this material was sampled for an analysis. (EFO:0005518)	material	text	FALSE	FALSE	TRUE	TRUE	
samplingprotocoldeviation	Sampling protocol deviation	A variation from processes or procedures defined in the sampling protocol. Deviations usually do not preclude the overall evaluability of subject data for either efficacy or safety, and are often acknowledged and accepted in advance by the sponsor. (NCIT:C50996)	material	string	FALSE	FALSE	TRUE	TRUE	
reasonforsamplingprotocoldeviation	Reason for sampling protocol deviation	The rationale for why a deviation from the sampling protocol has occurred. (NCIT:C93529)	material	string	FALSE	FALSE	TRUE	TRUE	
biospecimentype	Biospecimen type	The type of material taken from a biological entity for testing, diagnostic, propagation, treatment or research purposes. (NCIT:C70713)	material	xref	FALSE	FALSE	TRUE	TRUE	fair-genomes_material_biospecimentype
anatomicalsource	Anatomical source	Biological entity that constitutes the structural organization of an individual member of a biological species from which this material was taken. (NCIT:C103264)	material	xref	FALSE	FALSE	TRUE	TRUE	fair-genomes_material_anatomicalsource
pathologicalstate	Pathological state	The pathological state of the tissue from which this material was derived. (GO:0001894)	material	xref	FALSE	FALSE	TRUE	TRUE	fair-genomes_material_pathologicalstate
storageconditions	Storage conditions	The conditions under which this biological material was stored. (NCIT:C96145)	material	xref	FALSE	FALSE	TRUE	TRUE	fair-genomes_material_storageconditions
expirationdate	Expiration date	The date beyond which this material is no longer regarded as fit for use. (NCIT:C164516)	material	date	FALSE	FALSE	TRUE	TRUE	
percentagetumorcells	Percentage tumor cells	The percentage of tumor cells compared to total cells present in this material. (NCIT:C127771)	material	decimal	FALSE	FALSE	TRUE	TRUE	
physicallocation	Physical location	A place on the Earth where this material is located, by its name or by its geographical location. This definition is intentionally vague to allow reuse locally (e.g. which freezer), for contacting (e.g. which institute), broadly for logistical or legal reasons (e.g. city, country or continent). (GAZ:00000448)	material	string	FALSE	FALSE	TRUE	TRUE	
derivedfrom	Derived from	Indicate if this material was produced from or related to another. (NCIT:C28355)	material	string	FALSE	FALSE	TRUE	TRUE	
