value,description,codesystem,code,iri
"Immunomics","The study of immune system as a whole, its regulation and response to pathogens using genome-wide approaches.","EDAM","topic_3967","http://edamontology.org/topic_3967"
"Epistasis","The study of the epigenetic modifications of a whole cell, tissue, organism etc.","EDAM","topic_3974","http://edamontology.org/topic_3974"
"Population genomics","Large-scale study (typically comparison) of DNA sequences of populations.","EDAM","topic_3796","http://edamontology.org/topic_3796"
"Functional genomics","The study of gene or protein functions and their interactions in totality in a given organism, tissue, cell etc.","EDAM","topic_0085","http://edamontology.org/topic_0085"
"Proteomics","Protein and peptide identification, especially in the study of whole proteomes of organisms.","EDAM","topic_0121","http://edamontology.org/topic_0121"
"Structural genomics","The elucidation of the three dimensional structure for all (available) proteins in a given organism.","EDAM","topic_0122","http://edamontology.org/topic_0122"
"Phylogenomics","The integrated study of evolutionary relationships and whole genome data, for example, in the analysis of species trees, horizontal gene transfer and evolutionary reconstruction.","EDAM","topic_0194","http://edamontology.org/topic_0194"
"Pharmacogenomics","The influence of genotype on drug response, for example by correlating gene expression or single-nucleotide polymorphisms with drug efficacy or toxicity.","EDAM","topic_0208","http://edamontology.org/topic_0208"
"Genomics","Whole genomes of one or more organisms, or genomes in general, such as meta-information on genomes, genome projects, gene names etc.","EDAM","topic_0622","http://edamontology.org/topic_0622"
"Comparative genomics","The study (typically comparison) of the sequence, structure or function of multiple genomes.","EDAM","topic_0797","http://edamontology.org/topic_0797"
"Metabolomics","The systematic study of metabolites, the chemical processes they are involved, and the chemical fingerprints of specific cellular processes in a whole cell, tissue, organ or organism.","EDAM","topic_3172","http://edamontology.org/topic_3172"
"Epigenomics","The study of the epigenetic modifications of a whole cell, tissue, organism etc.","EDAM","topic_3173","http://edamontology.org/topic_3173"
"Metagenomics","The study of genetic material recovered from environmental samples, and associated environmental data.","EDAM","topic_3174","http://edamontology.org/topic_3174"
"Phenomics","Phenomes, or the study of the change in phenotype (the physical and biochemical traits of organisms) in response to genetic and environmental factors.","EDAM","topic_3298","http://edamontology.org/topic_3298"
"Transcriptomics","The analysis of transcriptomes, or a set of all the RNA molecules in a specific cell, tissue etc.","EDAM","topic_3308","http://edamontology.org/topic_3308"
"Proteogenomics","A field of biological research focused on the discovery and identification of peptides, typically by comparing mass spectra against a protein database.","EDAM","topic_3922","http://edamontology.org/topic_3922"
"Metatranscriptomics","The study of microbe gene expression within natural environments (i.e. the metatranscriptome).","EDAM","topic_3941","http://edamontology.org/topic_3941"
"Paleogenomics","The reconstruction and analysis of genomic information in extinct species.","EDAM","topic_3943","http://edamontology.org/topic_3943"
"Molecular evolution","The study of the process and mechanism of change of biomolecules such as DNA, RNA, and proteins across generations.","EDAM","topic_3945","http://edamontology.org/topic_3945"
"Fluxomics","Experimental approaches to determine the rates of metabolic reactions - the metabolic fluxes - within a biological entity.","EDAM","topic_3955","http://edamontology.org/topic_3955"
"NoInformation (NI, nullflavor)","The value is exceptional (missing, omitted, incomplete, improper). No information as to the reason for being an exceptional value is provided. This is the most general exceptional value. It is also the default exceptional value.","HL7","NI","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NI"
"Invalid (INV, nullflavor)","The value as represented in the instance is not a member of the set of permitted data values in the constrained value domain of a variable.","HL7","INV","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#INV"
"Derived (DER, nullflavor)","An actual value may exist, but it must be derived from the provided information (usually an EXPR generic data type extension will be used to convey the derivation expression .","HL7","DER","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#DER"
"Other (OTH, nullflavor)","The actual value is not a member of the set of permitted data values in the constrained value domain of a variable.The actual value is not a member of the set of permitted data values in the constrained value domain of a variable. (e.g., concept not provided by required code system).","HL7","OTH","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#OTH"
"Negative infinity (NINF, nullflavor)","Negative infinity of numbers.","HL7","NINF","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NINF"
"Positive infinity (PINF, nullflavor)","Positive infinity of numbers.","HL7","PINF","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#PINF"
"Un-encoded (UNC, nullflavor)","The actual value has not yet been encoded within the approved value domain.","HL7","UNC","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#UNC"
