value,description,codesystem,code,iri
"silicones","silicones","UATC","A03AX13","http://purl.bioontology.org/ontology/UATC/A03AX13"
"cefatrizine","cefatrizine","UATC","J01DB07","http://purl.bioontology.org/ontology/UATC/J01DB07"
"Technetium 99m compounds, central nervous system diagnostic radiopharmaceuticals","Technetium 99m compounds, central nervous system diagnostic radiopharmaceuticals","UATC","V09AA","http://purl.bioontology.org/ontology/UATC/V09AA"
"urofollitropin","urofollitropin","UATC","G03GA04","http://purl.bioontology.org/ontology/UATC/G03GA04"
"promethazine","promethazine","UATC","D04AA10","http://purl.bioontology.org/ontology/UATC/D04AA10"
"pinacidil and diuretics","pinacidil and diuretics","UATC","C02LX01","http://purl.bioontology.org/ontology/UATC/C02LX01"
"sargramostim","sargramostim","UATC","L03AA09","http://purl.bioontology.org/ontology/UATC/L03AA09"
"cilostazol","cilostazol","UATC","B01AC23","http://purl.bioontology.org/ontology/UATC/B01AC23"
"emepronium, combinations","emepronium, combinations","UATC","N05CX05","http://purl.bioontology.org/ontology/UATC/N05CX05"
"lanadelumab","lanadelumab","UATC","B06AC05","http://purl.bioontology.org/ontology/UATC/B06AC05"
"androstanolone","androstanolone","UATC","A14AA01","http://purl.bioontology.org/ontology/UATC/A14AA01"
"Beta blocking agents, selective, thiazides and other diuretics","Beta blocking agents, selective, thiazides and other diuretics","UATC","C07DB","http://purl.bioontology.org/ontology/UATC/C07DB"
"mefenorex","mefenorex","UATC","A08AA09","http://purl.bioontology.org/ontology/UATC/A08AA09"
"emtricitabine","emtricitabine","UATC","J05AF09","http://purl.bioontology.org/ontology/UATC/J05AF09"
"aliskiren and amlodipine","aliskiren and amlodipine","UATC","C09XA53","http://purl.bioontology.org/ontology/UATC/C09XA53"
"imiquimod","imiquimod","UATC","D06BB10","http://purl.bioontology.org/ontology/UATC/D06BB10"
"THYROID THERAPY DRUGS","THYROID THERAPY DRUGS","UATC","H03","http://purl.bioontology.org/ontology/UATC/H03"
"chloroform","chloroform","UATC","N01AB02","http://purl.bioontology.org/ontology/UATC/N01AB02"
"ciclonicate","ciclonicate","UATC","C04AC07","http://purl.bioontology.org/ontology/UATC/C04AC07"
"Sulfonamides (heterocyclic), blood glucose lowering drugs","Sulfonamides (heterocyclic), blood glucose lowering drugs","UATC","A10BC","http://purl.bioontology.org/ontology/UATC/A10BC"
"euflavine","euflavine","UATC","D08AA03","http://purl.bioontology.org/ontology/UATC/D08AA03"
"propyphenazone, combinations excl. psycholeptics","propyphenazone, combinations excl. psycholeptics","UATC","N02BB54","http://purl.bioontology.org/ontology/UATC/N02BB54"
"succinylsulfathiazole","succinylsulfathiazole","UATC","A07AB04","http://purl.bioontology.org/ontology/UATC/A07AB04"
"hydrocortisone aceponate","hydrocortisone aceponate","UATC","D07AC16","http://purl.bioontology.org/ontology/UATC/D07AC16"
"Hypnotics and sedatives in combination, excl. barbiturates","Hypnotics and sedatives in combination, excl. barbiturates","UATC","N05CX","http://purl.bioontology.org/ontology/UATC/N05CX"
"morphine, combinations","morphine, combinations","UATC","N02AA51","http://purl.bioontology.org/ontology/UATC/N02AA51"
"phenylbutazone","phenylbutazone","UATC","M02AA01","http://purl.bioontology.org/ontology/UATC/M02AA01"
"flumetasone and antiinfectives","flumetasone and antiinfectives","UATC","S02CA02","http://purl.bioontology.org/ontology/UATC/S02CA02"
"isoniazid, sulfamethoxazole, trimethoprim and pyridoxine","isoniazid, sulfamethoxazole, trimethoprim and pyridoxine","UATC","J04AM08","http://purl.bioontology.org/ontology/UATC/J04AM08"
"levothyroxine sodium","levothyroxine sodium","UATC","H03AA01","http://purl.bioontology.org/ontology/UATC/H03AA01"
"betahistine","betahistine","UATC","N07CA01","http://purl.bioontology.org/ontology/UATC/N07CA01"
"Other magnetic resonance imaging contrast media in ATC","Other magnetic resonance imaging contrast media in ATC","UATC","V08CX","http://purl.bioontology.org/ontology/UATC/V08CX"
"copper usnate","copper usnate","UATC","G01AX15","http://purl.bioontology.org/ontology/UATC/G01AX15"
"hexamidine","hexamidine","UATC","S03AA05","http://purl.bioontology.org/ontology/UATC/S03AA05"
"Occupational Activity","Occupational Activity","STY","T057","http://purl.bioontology.org/ontology/STY/T057"
"bosutinib","bosutinib","UATC","L01XE14","http://purl.bioontology.org/ontology/UATC/L01XE14"
"xenon (127Xe) gas","xenon (127Xe) gas","UATC","V09EX02","http://purl.bioontology.org/ontology/UATC/V09EX02"
"theophylline","theophylline","UATC","R03DA04","http://purl.bioontology.org/ontology/UATC/R03DA04"
"clobetasone","clobetasone","UATC","D07AB01","http://purl.bioontology.org/ontology/UATC/D07AB01"
"emtricitabine, tenofovir disoproxil, elvitegravir and cobicistat","emtricitabine, tenofovir disoproxil, elvitegravir and cobicistat","UATC","J05AR09","http://purl.bioontology.org/ontology/UATC/J05AR09"
"ethulose","ethulose","UATC","A06AC02","http://purl.bioontology.org/ontology/UATC/A06AC02"
"Protectives against UV-radiation for systemic use","Protectives against UV-radiation for systemic use","UATC","D02BB","http://purl.bioontology.org/ontology/UATC/D02BB"
"pargyline and diuretics","pargyline and diuretics","UATC","C02LL01","http://purl.bioontology.org/ontology/UATC/C02LL01"
"trospium and analgesics","trospium and analgesics","UATC","A03DA06","http://purl.bioontology.org/ontology/UATC/A03DA06"
"chloramphenicol","chloramphenicol","UATC","S03AA08","http://purl.bioontology.org/ontology/UATC/S03AA08"
"pyrrolnitrin","pyrrolnitrin","UATC","D01AA07","http://purl.bioontology.org/ontology/UATC/D01AA07"
"axitinib","axitinib","UATC","L01XE17","http://purl.bioontology.org/ontology/UATC/L01XE17"
"cinepazet","cinepazet","UATC","C01DX14","http://purl.bioontology.org/ontology/UATC/C01DX14"
"Antiinfectives","Antiinfectives","UATC","S03AA","http://purl.bioontology.org/ontology/UATC/S03AA"
"Other antigout preparations in ATC","Other antigout preparations in ATC","UATC","M04AX","http://purl.bioontology.org/ontology/UATC/M04AX"
"Disease or Syndrome","Disease or Syndrome","STY","T047","http://purl.bioontology.org/ontology/STY/T047"
"Corticosteroid nasal preparations for topical use","Corticosteroid nasal preparations for topical use","UATC","R01AD","http://purl.bioontology.org/ontology/UATC/R01AD"
"mipomersen","mipomersen","UATC","C10AX11","http://purl.bioontology.org/ontology/UATC/C10AX11"
"cholera, combinations with typhoid vaccine, inactivated, whole cell","cholera, combinations with typhoid vaccine, inactivated, whole cell","UATC","J07AE51","http://purl.bioontology.org/ontology/UATC/J07AE51"
"SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS","SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS","UATC","C08D","http://purl.bioontology.org/ontology/UATC/C08D"
