value,description,codesystem,code,iri
"Academic Medical Center Biobank","Academic Medical Center Biobank","BBMRI-ERIC","NL_AAAACVOEOZ2UYZSUAVNCZ2AAAE","https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACVOEOZ2UYZSUAVNCZ2AAAE"
"ACS Biobank","ACS Biobank","BBMRI-ERIC","NL_AAAACXO74F5GMACQK2ME25QAAE","https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXO74F5GMACQK2ME25QAAE"
"AGNES Biobank","AGNES Biobank","BBMRI-ERIC","NL_AAAACYWY5TBZGACQK2MDM4QAAE","https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACYWY5TBZGACQK2MDM4QAAE"
"AMC Renal Transplant Biobank","AMC Renal Transplant Biobank","BBMRI-ERIC","NL_AAAACXPAF5YXYACQK2ME25QAAM","https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPAF5YXYACQK2ME25QAAM"
"Amsterdam UMC Biobank: Location AMC","Amsterdam UMC Biobank: Location AMC","BBMRI-ERIC","NL_AMCBB","https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AMCBB"
"ARGOS NL","ARGOS NL","BBMRI-ERIC","NL_AAAACXPJ3VCTUACQK2ME25QAAE","https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPJ3VCTUACQK2ME25QAAE"
"ARREST Biobank","ARREST Biobank","BBMRI-ERIC","NL_AAAACXPKMVPYIACQK2ME25QAAE","https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPKMVPYIACQK2ME25QAAE"
"BBMRI-Omics","BBMRI-Omics","BBMRI-ERIC","NL_aaaaczxoioaeoacqk2mo6qaaae","https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_aaaaczxoioaeoacqk2mo6qaaae"
"Binnenstebuiten Biobank","Binnenstebuiten Biobank","BBMRI-ERIC","NL_AAAACXPJXQJHAACQK2ME25QAAE","https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPJXQJHAACQK2ME25QAAE"
"Biobank Hemoglobinopathy","Biobank Hemoglobinopathy","BBMRI-ERIC","NL_aaaac2dvrk2baacqk2mpm4yaae","https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_aaaac2dvrk2baacqk2mpm4yaae"
"Biobank Interstitial Lung Disease","Biobank Interstitial Lung Disease","BBMRI-ERIC","NL_AAAACXPJX4UB6ACQK2ME25QAAE","https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPJX4UB6ACQK2ME25QAAE"
"BioBank Maastricht UMC","BioBank Maastricht UMC","BBMRI-ERIC","NL_AAAACVKPKFJ4CZSUAVNCZ2AAAE","https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACVKPKFJ4CZSUAVNCZ2AAAE"
"Biobank of the department gerontology and nephrology - LUMC","Biobank of the department gerontology and nephrology - LUMC","BBMRI-ERIC","NL_aaaaczxoatpr2acqk2mo6qaaae","https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_aaaaczxoatpr2acqk2mo6qaaae"
"Biobank Reproduction and Development","Biobank Reproduction and Development","BBMRI-ERIC","NL_AAAACXPF7SEQEACQK2ME25QAAE","https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPF7SEQEACQK2ME25QAAE"
"Biobank+NKI","Biobank+NKI","BBMRI-ERIC","NL_AAAACXSW447PSACQK2MBZ5YAAM","https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXSW447PSACQK2MBZ5YAAM"
"BOSOM Biobank","BOSOM Biobank","BBMRI-ERIC","NL_AAAACXPKPSTGWACQK2ME25QAAE","https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPKPSTGWACQK2ME25QAAE"
"CDDSS Knowledge base","CDDSS Knowledge base","BBMRI-ERIC","NL_AAAACYAIDV754ACQK2MBZ5YAAI","https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACYAIDV754ACQK2MBZ5YAAI"
"Centrale Biobank UMC Utrecht","Centrale Biobank UMC Utrecht","BBMRI-ERIC","NL_CBB","https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_CBB"
"Cluster Biobank","Cluster Biobank","BBMRI-ERIC","NL_AAAACXPAPP4NIACQK2ME25QAAE","https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPAPP4NIACQK2ME25QAAE"
"CuraSAB Biobank","CuraSAB Biobank","BBMRI-ERIC","NL_AAAACXPASYLVKACQK2ME25QAAE","https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPASYLVKACQK2ME25QAAE"
"Databiobank OncoLifeS","Databiobank OncoLifeS","BBMRI-ERIC","NL_aaaac2rbppbqeacqk2mpm4yaae","https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_aaaac2rbppbqeacqk2mpm4yaae"
"Diabetes care system West-Friesland Biobank","Diabetes care system West-Friesland Biobank","BBMRI-ERIC","NL_AAAACXPJW5GJ6ACQK2ME25QAAM","https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPJW5GJ6ACQK2ME25QAAM"
"DIPAK","DIPAK","BBMRI-ERIC","NL_aaaac2dvrk2auacqk2mpm4yabe","https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_aaaac2dvrk2auacqk2mpm4yabe"
"Durrer Center","Durrer Center","BBMRI-ERIC","NL_AAAACVOEPHI3IZSUAVNCZ2AAAE","https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACVOEPHI3IZSUAVNCZ2AAAE"
"Dutch Hunger Winter Families Study Biobank","Dutch Hunger Winter Families Study Biobank","BBMRI-ERIC","NL_AAAACXPKCENKIACQK2ME25QAAM","https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPKCENKIACQK2ME25QAAM"
"Early Arthitis Clinic cohort","Early Arthitis Clinic cohort","BBMRI-ERIC","NL_AAAACXPAUCGZWACQK2ME25QAAE","https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPAUCGZWACQK2ME25QAAE"
"EORTC","EORTC","BBMRI-ERIC","NL_AAAACXJR5GDHKACQK2ME25QAAE","https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXJR5GDHKACQK2ME25QAAE"
"EPIC Biobank","EPIC Biobank","BBMRI-ERIC","NL_AAAACYWZHZP6SACQK2MDM4QAAE","https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACYWZHZP6SACQK2MDM4QAAE"
"EPOZ Biobank","EPOZ Biobank","BBMRI-ERIC","NL_AAAACXPRDI7YOACQK2ME25QAAE","https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPRDI7YOACQK2ME25QAAE"
