value_en	description_en	codesystem	code	description_code
Immunomics	The study of immune system as a whole, its regulation and response to pathogens using genome-wide approaches.	EDAM	http://edamontology.org/topic_3967	Immunomics
Epistasis	The study of the epigenetic modifications of a whole cell, tissue, organism etc.	EDAM	http://edamontology.org/topic_3974	Epistasis
Population genomics	Large-scale study (typically comparison) of DNA sequences of populations.	EDAM	http://edamontology.org/topic_3796	Population genomics
Functional genomics	The study of gene or protein functions and their interactions in totality in a given organism, tissue, cell etc.	EDAM	http://edamontology.org/topic_0085	Functional genomics
Proteomics	Protein and peptide identification, especially in the study of whole proteomes of organisms.	EDAM	http://edamontology.org/topic_0121	Proteomics
Structural genomics	The elucidation of the three dimensional structure for all (available) proteins in a given organism.	EDAM	http://edamontology.org/topic_0122	Structural genomics
Phylogenomics	The integrated study of evolutionary relationships and whole genome data, for example, in the analysis of species trees, horizontal gene transfer and evolutionary reconstruction.	EDAM	http://edamontology.org/topic_0194	Phylogenomics
Pharmacogenomics	The influence of genotype on drug response, for example by correlating gene expression or single-nucleotide polymorphisms with drug efficacy or toxicity.	EDAM	http://edamontology.org/topic_0208	Pharmacogenomics
Genomics	Whole genomes of one or more organisms, or genomes in general, such as meta-information on genomes, genome projects, gene names etc.	EDAM	http://edamontology.org/topic_0622	Genomics
Comparative genomics	The study (typically comparison) of the sequence, structure or function of multiple genomes.	EDAM	http://edamontology.org/topic_0797	Comparative genomics
Metabolomics	The systematic study of metabolites, the chemical processes they are involved, and the chemical fingerprints of specific cellular processes in a whole cell, tissue, organ or organism.	EDAM	http://edamontology.org/topic_3172	Metabolomics
Epigenomics	The study of the epigenetic modifications of a whole cell, tissue, organism etc.	EDAM	http://edamontology.org/topic_3173	Epigenomics
Metagenomics	The study of genetic material recovered from environmental samples, and associated environmental data.	EDAM	http://edamontology.org/topic_3174	Metagenomics
Phenomics	Phenomes, or the study of the change in phenotype (the physical and biochemical traits of organisms) in response to genetic and environmental factors.	EDAM	http://edamontology.org/topic_3298	Phenomics
Transcriptomics	The analysis of transcriptomes, or a set of all the RNA molecules in a specific cell, tissue etc.	EDAM	http://edamontology.org/topic_3308	Transcriptomics
Proteogenomics	A field of biological research focused on the discovery and identification of peptides, typically by comparing mass spectra against a protein database.	EDAM	http://edamontology.org/topic_3922	Proteogenomics
Metatranscriptomics	The study of microbe gene expression within natural environments (i.e. the metatranscriptome).	EDAM	http://edamontology.org/topic_3941	Metatranscriptomics
Paleogenomics	The reconstruction and analysis of genomic information in extinct species.	EDAM	http://edamontology.org/topic_3943	Paleogenomics
Molecular evolution	The study of the process and mechanism of change of biomolecules such as DNA, RNA, and proteins across generations.	EDAM	http://edamontology.org/topic_3945	Molecular evolution
Fluxomics	Experimental approaches to determine the rates of metabolic reactions - the metabolic fluxes - within a biological entity.	EDAM	http://edamontology.org/topic_3955	Fluxomics
NoInformation (NI, nullflavor)	The value is exceptional (missing, omitted, incomplete, improper). No information as to the reason for being an exceptional value is provided. This is the most general exceptional value. It is also the default exceptional value.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NI	NoInformation (NI, nullflavor)
Invalid (INV, nullflavor)	The value as represented in the instance is not a member of the set of permitted data values in the constrained value domain of a variable.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#INV	Invalid (INV, nullflavor)
Derived (DER, nullflavor)	An actual value may exist, but it must be derived from the provided information (usually an EXPR generic data type extension will be used to convey the derivation expression .	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#DER	Derived (DER, nullflavor)
Other (OTH, nullflavor)	The actual value is not a member of the set of permitted data values in the constrained value domain of a variable.The actual value is not a member of the set of permitted data values in the constrained value domain of a variable. (e.g., concept not provided by required code system).	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#OTH	Other (OTH, nullflavor)
Negative infinity (NINF, nullflavor)	Negative infinity of numbers.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NINF	Negative infinity (NINF, nullflavor)
Positive infinity (PINF, nullflavor)	Positive infinity of numbers.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#PINF	Positive infinity (PINF, nullflavor)
Un-encoded (UNC, nullflavor)	The actual value has not yet been encoded within the approved value domain.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#UNC	Un-encoded (UNC, nullflavor)
Masked (MSK, nullflavor)	There is information on this item available but it has not been provided by the sender due to security, privacy or other reasons. There may be an alternate mechanism for gaining access to this information.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#MSK	Masked (MSK, nullflavor)
Not applicable (NA, nullflavor)	Known to have no proper value (e.g., last menstrual period for a male).	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NA	Not applicable (NA, nullflavor)
Unknown (UNK, nullflavor)	A proper value is applicable, but not known.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#UNK	Unknown (UNK, nullflavor)
Asked but unknown (ASKU, nullflavor)	Information was sought but not found (e.g., patient was asked but didn't know)	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#ASKU	Asked but unknown (ASKU, nullflavor)
