value_en	description_en	codesystem	code	description_code
uterine cervix	uterine cervix	UBERON	http://purl.obolibrary.org/obo/UBERON_0000002	uterine cervix
naris	naris	UBERON	http://purl.obolibrary.org/obo/UBERON_0000003	naris
nose	nose	UBERON	http://purl.obolibrary.org/obo/UBERON_0000004	nose
chemosensory organ	chemosensory organ	UBERON	http://purl.obolibrary.org/obo/UBERON_0000005	chemosensory organ
islet of Langerhans	islet of Langerhans	UBERON	http://purl.obolibrary.org/obo/UBERON_0000006	islet of Langerhans
pituitary gland	pituitary gland	UBERON	http://purl.obolibrary.org/obo/UBERON_0000007	pituitary gland
submucosa	submucosa	UBERON	http://purl.obolibrary.org/obo/UBERON_0000009	submucosa
peripheral nervous system	peripheral nervous system	UBERON	http://purl.obolibrary.org/obo/UBERON_0000010	peripheral nervous system
parasympathetic nervous system	parasympathetic nervous system	UBERON	http://purl.obolibrary.org/obo/UBERON_0000011	parasympathetic nervous system
somatic nervous system	somatic nervous system	UBERON	http://purl.obolibrary.org/obo/UBERON_0000012	somatic nervous system
sympathetic nervous system	sympathetic nervous system	UBERON	http://purl.obolibrary.org/obo/UBERON_0000013	sympathetic nervous system
zone of skin	zone of skin	UBERON	http://purl.obolibrary.org/obo/UBERON_0000014	zone of skin
non-material anatomical boundary	non-material anatomical boundary	UBERON	http://purl.obolibrary.org/obo/UBERON_0000015	non-material anatomical boundary
endocrine pancreas	endocrine pancreas	UBERON	http://purl.obolibrary.org/obo/UBERON_0000016	endocrine pancreas
exocrine pancreas	exocrine pancreas	UBERON	http://purl.obolibrary.org/obo/UBERON_0000017	exocrine pancreas
compound eye	compound eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0000018	compound eye
camera-type eye	camera-type eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0000019	camera-type eye
sense organ	sense organ	UBERON	http://purl.obolibrary.org/obo/UBERON_0000020	sense organ
cutaneous appendage	cutaneous appendage	UBERON	http://purl.obolibrary.org/obo/UBERON_0000021	cutaneous appendage
feather	feather	UBERON	http://purl.obolibrary.org/obo/UBERON_0000022	feather
wing	wing	UBERON	http://purl.obolibrary.org/obo/UBERON_0000023	wing
forelimb wing	forelimb wing	UBERON	http://purl.obolibrary.org/obo/UBERON_0000024	forelimb wing
tube	tube	UBERON	http://purl.obolibrary.org/obo/UBERON_0000025	tube
appendage	appendage	UBERON	http://purl.obolibrary.org/obo/UBERON_0000026	appendage
lymph node	lymph node	UBERON	http://purl.obolibrary.org/obo/UBERON_0000029	lymph node
lamina propria	lamina propria	UBERON	http://purl.obolibrary.org/obo/UBERON_0000030	lamina propria
lamina propria of trachea	lamina propria of trachea	UBERON	http://purl.obolibrary.org/obo/UBERON_0000031	lamina propria of trachea
head	head	UBERON	http://purl.obolibrary.org/obo/UBERON_0000033	head
primary ovarian follicle	primary ovarian follicle	UBERON	http://purl.obolibrary.org/obo/UBERON_0000035	primary ovarian follicle
secondary ovarian follicle	secondary ovarian follicle	UBERON	http://purl.obolibrary.org/obo/UBERON_0000036	secondary ovarian follicle
tertiary ovarian follicle	tertiary ovarian follicle	UBERON	http://purl.obolibrary.org/obo/UBERON_0000037	tertiary ovarian follicle
follicular fluid	follicular fluid	UBERON	http://purl.obolibrary.org/obo/UBERON_0000038	follicular fluid
follicular antrum	follicular antrum	UBERON	http://purl.obolibrary.org/obo/UBERON_0000039	follicular antrum
Leydig's organ	Leydig's organ	UBERON	http://purl.obolibrary.org/obo/UBERON_0000040	Leydig's organ
odontode scale	odontode scale	UBERON	http://purl.obolibrary.org/obo/UBERON_0000041	odontode scale
serous membrane	serous membrane	UBERON	http://purl.obolibrary.org/obo/UBERON_0000042	serous membrane
tendon	tendon	UBERON	http://purl.obolibrary.org/obo/UBERON_0000043	tendon
dorsal root ganglion	dorsal root ganglion	UBERON	http://purl.obolibrary.org/obo/UBERON_0000044	dorsal root ganglion
ganglion	ganglion	UBERON	http://purl.obolibrary.org/obo/UBERON_0000045	ganglion
stemma	stemma	UBERON	http://purl.obolibrary.org/obo/UBERON_0000046	stemma
simple eye	simple eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0000047	simple eye
pinhole eye	pinhole eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0000048	pinhole eye
spherical lensed eye	spherical lensed eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0000049	spherical lensed eye
simple eye with multiple lenses	simple eye with multiple lenses	UBERON	http://purl.obolibrary.org/obo/UBERON_0000050	simple eye with multiple lenses
fornix of vagina	fornix of vagina	UBERON	http://purl.obolibrary.org/obo/UBERON_0000051	fornix of vagina
fornix of brain	fornix of brain	UBERON	http://purl.obolibrary.org/obo/UBERON_0000052	fornix of brain
macula lutea	macula lutea	UBERON	http://purl.obolibrary.org/obo/UBERON_0000053	macula lutea
macula	macula	UBERON	http://purl.obolibrary.org/obo/UBERON_0000054	macula
vessel	vessel	UBERON	http://purl.obolibrary.org/obo/UBERON_0000055	vessel
ureter	ureter	UBERON	http://purl.obolibrary.org/obo/UBERON_0000056	ureter
urethra	urethra	UBERON	http://purl.obolibrary.org/obo/UBERON_0000057	urethra
duct	duct	UBERON	http://purl.obolibrary.org/obo/UBERON_0000058	duct
large intestine	large intestine	UBERON	http://purl.obolibrary.org/obo/UBERON_0000059	large intestine
anatomical wall	anatomical wall	UBERON	http://purl.obolibrary.org/obo/UBERON_0000060	anatomical wall
anatomical structure	anatomical structure	UBERON	http://purl.obolibrary.org/obo/UBERON_0000061	anatomical structure
organ	organ	UBERON	http://purl.obolibrary.org/obo/UBERON_0000062	organ
organ subunit	organ subunit	UBERON	http://purl.obolibrary.org/obo/UBERON_0000063	organ subunit
organ part	organ part	UBERON	http://purl.obolibrary.org/obo/UBERON_0000064	organ part
respiratory tract	respiratory tract	UBERON	http://purl.obolibrary.org/obo/UBERON_0000065	respiratory tract
fully formed stage	fully formed stage	UBERON	http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage
embryo stage	embryo stage	UBERON	http://purl.obolibrary.org/obo/UBERON_0000068	embryo stage
larval stage	larval stage	UBERON	http://purl.obolibrary.org/obo/UBERON_0000069	larval stage
pupal stage	pupal stage	UBERON	http://purl.obolibrary.org/obo/UBERON_0000070	pupal stage
death stage	death stage	UBERON	http://purl.obolibrary.org/obo/UBERON_0000071	death stage
proximo-distal subdivision of respiratory tract	proximo-distal subdivision of respiratory tract	UBERON	http://purl.obolibrary.org/obo/UBERON_0000072	proximo-distal subdivision of respiratory tract
regional part of nervous system	regional part of nervous system	UBERON	http://purl.obolibrary.org/obo/UBERON_0000073	regional part of nervous system
renal glomerulus	renal glomerulus	UBERON	http://purl.obolibrary.org/obo/UBERON_0000074	renal glomerulus
subdivision of skeletal system	subdivision of skeletal system	UBERON	http://purl.obolibrary.org/obo/UBERON_0000075	subdivision of skeletal system
external ectoderm	external ectoderm	UBERON	http://purl.obolibrary.org/obo/UBERON_0000076	external ectoderm
mixed endoderm/mesoderm-derived structure	mixed endoderm/mesoderm-derived structure	UBERON	http://purl.obolibrary.org/obo/UBERON_0000077	mixed endoderm/mesoderm-derived structure
mixed ectoderm/mesoderm/endoderm-derived structure	mixed ectoderm/mesoderm/endoderm-derived structure	UBERON	http://purl.obolibrary.org/obo/UBERON_0000078	mixed ectoderm/mesoderm/endoderm-derived structure
male reproductive system	male reproductive system	UBERON	http://purl.obolibrary.org/obo/UBERON_0000079	male reproductive system
mesonephros	mesonephros	UBERON	http://purl.obolibrary.org/obo/UBERON_0000080	mesonephros
metanephros	metanephros	UBERON	http://purl.obolibrary.org/obo/UBERON_0000081	metanephros
adult mammalian kidney	adult mammalian kidney	UBERON	http://purl.obolibrary.org/obo/UBERON_0000082	adult mammalian kidney
mesonephric tubule	mesonephric tubule	UBERON	http://purl.obolibrary.org/obo/UBERON_0000083	mesonephric tubule
ureteric bud	ureteric bud	UBERON	http://purl.obolibrary.org/obo/UBERON_0000084	ureteric bud
morula	morula	UBERON	http://purl.obolibrary.org/obo/UBERON_0000085	morula
zona pellucida	zona pellucida	UBERON	http://purl.obolibrary.org/obo/UBERON_0000086	zona pellucida
inner cell mass	inner cell mass	UBERON	http://purl.obolibrary.org/obo/UBERON_0000087	inner cell mass
trophoblast	trophoblast	UBERON	http://purl.obolibrary.org/obo/UBERON_0000088	trophoblast
hypoblast (generic)	hypoblast (generic)	UBERON	http://purl.obolibrary.org/obo/UBERON_0000089	hypoblast (generic)
blastocele	blastocele	UBERON	http://purl.obolibrary.org/obo/UBERON_0000090	blastocele
bilaminar disc	bilaminar disc	UBERON	http://purl.obolibrary.org/obo/UBERON_0000091	bilaminar disc
post-embryonic stage	post-embryonic stage	UBERON	http://purl.obolibrary.org/obo/UBERON_0000092	post-embryonic stage
sulcus	sulcus	UBERON	http://purl.obolibrary.org/obo/UBERON_0000093	sulcus
membrane organ	membrane organ	UBERON	http://purl.obolibrary.org/obo/UBERON_0000094	membrane organ
cardiac neural crest	cardiac neural crest	UBERON	http://purl.obolibrary.org/obo/UBERON_0000095	cardiac neural crest
blastopore	blastopore	UBERON	http://purl.obolibrary.org/obo/UBERON_0000100	blastopore
lobe of lung	lobe of lung	UBERON	http://purl.obolibrary.org/obo/UBERON_0000101	lobe of lung
lung vasculature	lung vasculature	UBERON	http://purl.obolibrary.org/obo/UBERON_0000102	lung vasculature
life cycle	life cycle	UBERON	http://purl.obolibrary.org/obo/UBERON_0000104	life cycle
life cycle stage	life cycle stage	UBERON	http://purl.obolibrary.org/obo/UBERON_0000105	life cycle stage
zygote stage	zygote stage	UBERON	http://purl.obolibrary.org/obo/UBERON_0000106	zygote stage
cleavage stage	cleavage stage	UBERON	http://purl.obolibrary.org/obo/UBERON_0000107	cleavage stage
