value_en	description_en	codesystem	code	description_code
Punjabi Sikh	Punjabi Sikh	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0589	Punjabi Sikh
European American	European American	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0590	European American
Esan	Esan	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0591	Esan
Luhya	Luhya	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0592	Luhya
Maasai	Maasai	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0593	Maasai
Mende	Mende	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0594	Mende
ancestry category	ancestry category	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0004	ancestry category
European	European	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0005	European
South Asian	South Asian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0006	South Asian
South East Asian	South East Asian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0007	South East Asian
Asian	Asian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0008	Asian
East Asian	East Asian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0009	East Asian
African	African	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0010	African
Sub-Saharan African	Sub-Saharan African	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0011	Sub-Saharan African
Native American	Native American	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0013	Native American
Hispanic or Latin American	Hispanic or Latin American	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0014	Hispanic or Latin American
Greater Middle Eastern  (Middle Eastern, North African or Persian)	Greater Middle Eastern  (Middle Eastern, North African or Persian)	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0015	Greater Middle Eastern  (Middle Eastern, North African or Persian)
African American or Afro-Caribbean	African American or Afro-Caribbean	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0016	African American or Afro-Caribbean
Oceanian	Oceanian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0017	Oceanian
uncategorised population	uncategorised population	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0018	uncategorised population
Japanese	Japanese	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0019	Japanese
Taiwanese	Taiwanese	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0020	Taiwanese
Chinese	Chinese	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0021	Chinese
Korean	Korean	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0022	Korean
Mongolian	Mongolian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0023	Mongolian
Macanese	Macanese	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0024	Macanese
Singaporean Chinese	Singaporean Chinese	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0025	Singaporean Chinese
Hong Kong Chinese	Hong Kong Chinese	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0026	Hong Kong Chinese
Han Chinese	Han Chinese	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0027	Han Chinese
Central Asian	Central Asian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0286	Central Asian
genetically isolated population	genetically isolated population	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0290	genetically isolated population
Italian	Italian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0307	Italian
Sardinian	Sardinian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0309	Sardinian
Val Borbera	Val Borbera	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0310	Val Borbera
Friuli Venezia Giulia	Friuli Venezia Giulia	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0311	Friuli Venezia Giulia
Carlantino	Carlantino	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0312	Carlantino
