value_en	description_en	codesystem	code	description_code
Multiple epiphyseal dysplasia, Al-Gazali type	Multiple epiphyseal dysplasia, Al-Gazali type	Orphanet	http://www.orpha.net/ORDO/Orphanet_166024	Multiple epiphyseal dysplasia, Al-Gazali type
Alexander disease	Alexander disease	Orphanet	http://www.orpha.net/ORDO/Orphanet_58	Alexander disease
Multiple epiphyseal dysplasia, with miniepiphyses	Multiple epiphyseal dysplasia, with miniepiphyses	Orphanet	http://www.orpha.net/ORDO/Orphanet_166032	Multiple epiphyseal dysplasia, with miniepiphyses
Alpha-mannosidosis	Alpha-mannosidosis	Orphanet	http://www.orpha.net/ORDO/Orphanet_61	Alpha-mannosidosis
Multiple epiphyseal dysplasia, with severe proximal femoral dysplasia	Multiple epiphyseal dysplasia, with severe proximal femoral dysplasia	Orphanet	http://www.orpha.net/ORDO/Orphanet_166029	Multiple epiphyseal dysplasia, with severe proximal femoral dysplasia
Metaphyseal chondrodysplasia, Kaitila type	Metaphyseal chondrodysplasia, Kaitila type	Orphanet	http://www.orpha.net/ORDO/Orphanet_166038	Metaphyseal chondrodysplasia, Kaitila type
Aspartylglucosaminuria	Aspartylglucosaminuria	Orphanet	http://www.orpha.net/ORDO/Orphanet_93	Aspartylglucosaminuria
Brachydactyly-short stature-retinitis pigmentosa syndrome	Brachydactyly-short stature-retinitis pigmentosa syndrome	Orphanet	http://www.orpha.net/ORDO/Orphanet_166035	Brachydactyly-short stature-retinitis pigmentosa syndrome
Multiple sulfatase deficiency	Multiple sulfatase deficiency	Orphanet	http://www.orpha.net/ORDO/Orphanet_585	Multiple sulfatase deficiency
Beta-mannosidosis	Beta-mannosidosis	Orphanet	http://www.orpha.net/ORDO/Orphanet_118	Beta-mannosidosis
Pontocerebellar hypoplasia type 5	Pontocerebellar hypoplasia type 5	Orphanet	http://www.orpha.net/ORDO/Orphanet_166068	Pontocerebellar hypoplasia type 5
Canavan disease	Canavan disease	Orphanet	http://www.orpha.net/ORDO/Orphanet_141	Canavan disease
Pontocerebellar hypoplasia type 4	Pontocerebellar hypoplasia type 4	Orphanet	http://www.orpha.net/ORDO/Orphanet_166063	Pontocerebellar hypoplasia type 4
Von Willebrand disease type 1	Von Willebrand disease type 1	Orphanet	http://www.orpha.net/ORDO/Orphanet_166078	Von Willebrand disease type 1
NON RARE IN EUROPE: Crohn disease	NON RARE IN EUROPE: Crohn disease	Orphanet	http://www.orpha.net/ORDO/Orphanet_206	NON RARE IN EUROPE: Crohn disease
Pontocerebellar hypoplasia type 6	Pontocerebellar hypoplasia type 6	Orphanet	http://www.orpha.net/ORDO/Orphanet_166073	Pontocerebellar hypoplasia type 6
Cystinosis	Cystinosis	Orphanet	http://www.orpha.net/ORDO/Orphanet_213	Cystinosis
Von Willebrand disease type 2A	Von Willebrand disease type 2A	Orphanet	http://www.orpha.net/ORDO/Orphanet_166084	Von Willebrand disease type 2A
Farber disease	Farber disease	Orphanet	http://www.orpha.net/ORDO/Orphanet_333	Farber disease
Von Willebrand disease type 2	Von Willebrand disease type 2	Orphanet	http://www.orpha.net/ORDO/Orphanet_166081	Von Willebrand disease type 2
Fucosidosis	Fucosidosis	Orphanet	http://www.orpha.net/ORDO/Orphanet_349	Fucosidosis
Von Willebrand disease type 2M	Von Willebrand disease type 2M	Orphanet	http://www.orpha.net/ORDO/Orphanet_166090	Von Willebrand disease type 2M
Glycogen storage disease due to acid maltase deficiency	Glycogen storage disease due to acid maltase deficiency	Orphanet	http://www.orpha.net/ORDO/Orphanet_365	Glycogen storage disease due to acid maltase deficiency
Von Willebrand disease type 2B	Von Willebrand disease type 2B	Orphanet	http://www.orpha.net/ORDO/Orphanet_166087	Von Willebrand disease type 2B
Glycogen storage disease due to glycogen debranching enzyme deficiency	Glycogen storage disease due to glycogen debranching enzyme deficiency	Orphanet	http://www.orpha.net/ORDO/Orphanet_366	Glycogen storage disease due to glycogen debranching enzyme deficiency
Von Willebrand disease type 2N	Von Willebrand disease type 2N	Orphanet	http://www.orpha.net/ORDO/Orphanet_166093	Von Willebrand disease type 2N
