value_en	description_en	codesystem	code	description_code
silicones	silicones	ATC	http://purl.bioontology.org/ontology/ATC/A03AX13	silicones
cefatrizine	cefatrizine	ATC	http://purl.bioontology.org/ontology/ATC/J01DB07	cefatrizine
Technetium 99m compounds, central nervous system diagnostic radiopharmaceuticals	Technetium 99m compounds, central nervous system diagnostic radiopharmaceuticals	ATC	http://purl.bioontology.org/ontology/ATC/V09AA	Technetium 99m compounds, central nervous system diagnostic radiopharmaceuticals
urofollitropin	urofollitropin	ATC	http://purl.bioontology.org/ontology/ATC/G03GA04	urofollitropin
promethazine	promethazine	ATC	http://purl.bioontology.org/ontology/ATC/D04AA10	promethazine
pinacidil and diuretics	pinacidil and diuretics	ATC	http://purl.bioontology.org/ontology/ATC/C02LX01	pinacidil and diuretics
sargramostim	sargramostim	ATC	http://purl.bioontology.org/ontology/ATC/L03AA09	sargramostim
cilostazol	cilostazol	ATC	http://purl.bioontology.org/ontology/ATC/B01AC23	cilostazol
emepronium, combinations	emepronium, combinations	ATC	http://purl.bioontology.org/ontology/ATC/N05CX05	emepronium, combinations
lanadelumab	lanadelumab	ATC	http://purl.bioontology.org/ontology/ATC/B06AC05	lanadelumab
androstanolone	androstanolone	ATC	http://purl.bioontology.org/ontology/ATC/A14AA01	androstanolone
Beta blocking agents, selective, thiazides and other diuretics	Beta blocking agents, selective, thiazides and other diuretics	ATC	http://purl.bioontology.org/ontology/ATC/C07DB	Beta blocking agents, selective, thiazides and other diuretics
mefenorex	mefenorex	ATC	http://purl.bioontology.org/ontology/ATC/A08AA09	mefenorex
emtricitabine	emtricitabine	ATC	http://purl.bioontology.org/ontology/ATC/J05AF09	emtricitabine
aliskiren and amlodipine	aliskiren and amlodipine	ATC	http://purl.bioontology.org/ontology/ATC/C09XA53	aliskiren and amlodipine
imiquimod	imiquimod	ATC	http://purl.bioontology.org/ontology/ATC/D06BB10	imiquimod
THYROID THERAPY DRUGS	THYROID THERAPY DRUGS	ATC	http://purl.bioontology.org/ontology/ATC/H03	THYROID THERAPY DRUGS
chloroform	chloroform	ATC	http://purl.bioontology.org/ontology/ATC/N01AB02	chloroform
ciclonicate	ciclonicate	ATC	http://purl.bioontology.org/ontology/ATC/C04AC07	ciclonicate
Sulfonamides (heterocyclic), blood glucose lowering drugs	Sulfonamides (heterocyclic), blood glucose lowering drugs	ATC	http://purl.bioontology.org/ontology/ATC/A10BC	Sulfonamides (heterocyclic), blood glucose lowering drugs
euflavine	euflavine	ATC	http://purl.bioontology.org/ontology/ATC/D08AA03	euflavine
propyphenazone, combinations excl. psycholeptics	propyphenazone, combinations excl. psycholeptics	ATC	http://purl.bioontology.org/ontology/ATC/N02BB54	propyphenazone, combinations excl. psycholeptics
succinylsulfathiazole	succinylsulfathiazole	ATC	http://purl.bioontology.org/ontology/ATC/A07AB04	succinylsulfathiazole
hydrocortisone aceponate	hydrocortisone aceponate	ATC	http://purl.bioontology.org/ontology/ATC/D07AC16	hydrocortisone aceponate
Hypnotics and sedatives in combination, excl. barbiturates	Hypnotics and sedatives in combination, excl. barbiturates	ATC	http://purl.bioontology.org/ontology/ATC/N05CX	Hypnotics and sedatives in combination, excl. barbiturates
morphine, combinations	morphine, combinations	ATC	http://purl.bioontology.org/ontology/ATC/N02AA51	morphine, combinations
phenylbutazone	phenylbutazone	ATC	http://purl.bioontology.org/ontology/ATC/M02AA01	phenylbutazone
flumetasone and antiinfectives	flumetasone and antiinfectives	ATC	http://purl.bioontology.org/ontology/ATC/S02CA02	flumetasone and antiinfectives
isoniazid, sulfamethoxazole, trimethoprim and pyridoxine	isoniazid, sulfamethoxazole, trimethoprim and pyridoxine	ATC	http://purl.bioontology.org/ontology/ATC/J04AM08	isoniazid, sulfamethoxazole, trimethoprim and pyridoxine
levothyroxine sodium	levothyroxine sodium	ATC	http://purl.bioontology.org/ontology/ATC/H03AA01	levothyroxine sodium
betahistine	betahistine	ATC	http://purl.bioontology.org/ontology/ATC/N07CA01	betahistine
Other magnetic resonance imaging contrast media in ATC	Other magnetic resonance imaging contrast media in ATC	ATC	http://purl.bioontology.org/ontology/ATC/V08CX	Other magnetic resonance imaging contrast media in ATC
copper usnate	copper usnate	ATC	http://purl.bioontology.org/ontology/ATC/G01AX15	copper usnate
hexamidine	hexamidine	ATC	http://purl.bioontology.org/ontology/ATC/S03AA05	hexamidine
Occupational Activity	Occupational Activity	STY	http://purl.bioontology.org/ontology/STY/T057	Occupational Activity
bosutinib	bosutinib	ATC	http://purl.bioontology.org/ontology/ATC/L01XE14	bosutinib
xenon (127Xe) gas	xenon (127Xe) gas	ATC	http://purl.bioontology.org/ontology/ATC/V09EX02	xenon (127Xe) gas
theophylline	theophylline	ATC	http://purl.bioontology.org/ontology/ATC/R03DA04	theophylline
clobetasone	clobetasone	ATC	http://purl.bioontology.org/ontology/ATC/D07AB01	clobetasone
emtricitabine, tenofovir disoproxil, elvitegravir and cobicistat	emtricitabine, tenofovir disoproxil, elvitegravir and cobicistat	ATC	http://purl.bioontology.org/ontology/ATC/J05AR09	emtricitabine, tenofovir disoproxil, elvitegravir and cobicistat
ethulose	ethulose	ATC	http://purl.bioontology.org/ontology/ATC/A06AC02	ethulose
Protectives against UV-radiation for systemic use	Protectives against UV-radiation for systemic use	ATC	http://purl.bioontology.org/ontology/ATC/D02BB	Protectives against UV-radiation for systemic use
pargyline and diuretics	pargyline and diuretics	ATC	http://purl.bioontology.org/ontology/ATC/C02LL01	pargyline and diuretics
trospium and analgesics	trospium and analgesics	ATC	http://purl.bioontology.org/ontology/ATC/A03DA06	trospium and analgesics
chloramphenicol	chloramphenicol	ATC	http://purl.bioontology.org/ontology/ATC/S03AA08	chloramphenicol
pyrrolnitrin	pyrrolnitrin	ATC	http://purl.bioontology.org/ontology/ATC/D01AA07	pyrrolnitrin
axitinib	axitinib	ATC	http://purl.bioontology.org/ontology/ATC/L01XE17	axitinib
cinepazet	cinepazet	ATC	http://purl.bioontology.org/ontology/ATC/C01DX14	cinepazet
Antiinfectives	Antiinfectives	ATC	http://purl.bioontology.org/ontology/ATC/S03AA	Antiinfectives
Other antigout preparations in ATC	Other antigout preparations in ATC	ATC	http://purl.bioontology.org/ontology/ATC/M04AX	Other antigout preparations in ATC
Disease or Syndrome	Disease or Syndrome	STY	http://purl.bioontology.org/ontology/STY/T047	Disease or Syndrome
Corticosteroid nasal preparations for topical use	Corticosteroid nasal preparations for topical use	ATC	http://purl.bioontology.org/ontology/ATC/R01AD	Corticosteroid nasal preparations for topical use
mipomersen	mipomersen	ATC	http://purl.bioontology.org/ontology/ATC/C10AX11	mipomersen
cholera, combinations with typhoid vaccine, inactivated, whole cell	cholera, combinations with typhoid vaccine, inactivated, whole cell	ATC	http://purl.bioontology.org/ontology/ATC/J07AE51	cholera, combinations with typhoid vaccine, inactivated, whole cell
SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS	SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS	ATC	http://purl.bioontology.org/ontology/ATC/C08D	SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS
bismuth subcitrate	bismuth subcitrate	ATC	http://purl.bioontology.org/ontology/ATC/A02BX05	bismuth subcitrate
