value_en	description_en	codesystem	code	description_code
exploring gender identity	A gender identity in question or in the process of being questioned.	GSSO	http://purl.obolibrary.org/obo/GSSO_001594	exploring gender identity
female gender identity	Having an identity considered female.	GSSO	http://purl.obolibrary.org/obo/GSSO_000089	female gender identity
male gender identity	Having an identity considered male.	GSSO	http://purl.obolibrary.org/obo/GSSO_000090	male gender identity
no gender identity	An indication that no gender identity has developed. Use for neonates whose assigned sex at birth is 'undifferentiated'. For a person who identifies as not having a gender, use 'non-gendered identity'.	GSSO	http://purl.obolibrary.org/obo/GSSO_009485	no gender identity
nonbinary gender identity	Having an identity considered nonbinary or as falling under the nonbinary umbrella.	GSSO	http://purl.obolibrary.org/obo/GSSO_002328	nonbinary gender identity
exclusive gender identity	A gender which has a certain prerequisite which may be unrelated to gender, such as one belonging to a particular culture or indigenous group.	GSSO	http://purl.obolibrary.org/obo/GSSO_010346	exclusive gender identity
fluctuating gender identity	Having a gender identity which fluctuates or switches (such as being male sometimes and female other times).	GSSO	http://purl.obolibrary.org/obo/GSSO_002329	fluctuating gender identity
indescribable gender identity	Any of various gender identities defined by their inability to be described, communicated, or otherwise understood.	GSSO	http://purl.obolibrary.org/obo/GSSO_011422	indescribable gender identity
multiple gender identity	Having a multiple gender identities simultaneously.	GSSO	http://purl.obolibrary.org/obo/GSSO_002330	multiple gender identity
non-gendered identity	Having a gender identity that is genderless or having no gender identity whatsoever.	GSSO	http://purl.obolibrary.org/obo/GSSO_002331	non-gendered identity
overlapping gender identity	Having a gender identity which overlaps somewhat with other gender identities but not in their entirety.	GSSO	http://purl.obolibrary.org/obo/GSSO_002332	overlapping gender identity
partial gender identity	Having a gender identity which includes part of another gender identity, but not all of it (for example, identifying somewhat with female, but not entirely).	GSSO	http://purl.obolibrary.org/obo/GSSO_002333	partial gender identity
other gender identity	A datum representing a person's gender identity which is not listed.	GSSO	http://purl.obolibrary.org/obo/GSSO_009484	other gender identity
unknown gender identity	A datum representing that a person's gender identity is not known for any of various reasons.	GSSO	http://purl.obolibrary.org/obo/GSSO_009482	unknown gender identity
undisclosed gender identity	A datum representing when an individual does not wish to disclose their gender identity, thereby making their gender identity unknown.	GSSO	http://purl.obolibrary.org/obo/GSSO_009483	undisclosed gender identity
NoInformation (NI, nullflavor)	The value is exceptional (missing, omitted, incomplete, improper). No information as to the reason for being an exceptional value is provided. This is the most general exceptional value. It is also the default exceptional value.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NI	NoInformation (NI, nullflavor)
Invalid (INV, nullflavor)	The value as represented in the instance is not a member of the set of permitted data values in the constrained value domain of a variable.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#INV	Invalid (INV, nullflavor)
Derived (DER, nullflavor)	An actual value may exist, but it must be derived from the provided information (usually an EXPR generic data type extension will be used to convey the derivation expression .	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#DER	Derived (DER, nullflavor)
Other (OTH, nullflavor)	The actual value is not a member of the set of permitted data values in the constrained value domain of a variable.The actual value is not a member of the set of permitted data values in the constrained value domain of a variable. (e.g., concept not provided by required code system).	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#OTH	Other (OTH, nullflavor)
Negative infinity (NINF, nullflavor)	Negative infinity of numbers.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NINF	Negative infinity (NINF, nullflavor)
