value_en	description_en	codesystem	code	description_code
GRCh37	Genome Reference Consortium Human Build 37 (GRCh37)	GCF	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.13	GRCh37
GRCh37.p1	Genome Reference Consortium Human Build 37 patch release 1 (GRCh37.p1)	GCA	https://www.ncbi.nlm.nih.gov/assembly/GCA_000001405.2	GRCh37.p1
GRCh37.p2	Genome Reference Consortium Human Build 37 patch release 2 (GRCh37.p2)	GCF	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.14	GRCh37.p2
GRCh37.p3	Genome Reference Consortium Human Build 37 patch release 3 (GRCh37.p3)	GCA	https://www.ncbi.nlm.nih.gov/assembly/GCA_000001405.4	GRCh37.p3
GRCh37.p4	Genome Reference Consortium Human Build 37 patch release 4 (GRCh37.p4)	GCA	https://www.ncbi.nlm.nih.gov/assembly/GCA_000001405.5	GRCh37.p4
GRCh37.p5	Genome Reference Consortium Human Build 37 patch release 5 (GRCh37.p5)	GCF	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.17	GRCh37.p5
GRCh37.p6	Genome Reference Consortium Human Build 37 patch release 6 (GRCh37.p6)	GCA	https://www.ncbi.nlm.nih.gov/assembly/GCA_000001405.7	GRCh37.p6
GRCh37.p7	Genome Reference Consortium Human Build 37 patch release 7 (GRCh37.p7)	GCA	https://www.ncbi.nlm.nih.gov/assembly/GCA_000001405.8	GRCh37.p7
GRCh37.p8	Genome Reference Consortium Human Build 37 patch release 8 (GRCh37.p8)	GCA	https://www.ncbi.nlm.nih.gov/assembly/GCA_000001405.9	GRCh37.p8
GRCh37.p9	Genome Reference Consortium Human Build 37 patch release 9 (GRCh37.p9)	GCF	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.21	GRCh37.p9
GRCh37.p10	Genome Reference Consortium Human Build 37 patch release 10 (GRCh37.p10)	GCF	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.22	GRCh37.p10
GRCh37.p11	Genome Reference Consortium Human Build 37 patch release 11 (GRCh37.p11)	GCF	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.23	GRCh37.p11
GRCh37.p12	Genome Reference Consortium Human Build 37 patch release 12 (GRCh37.p12)	GCF	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.24	GRCh37.p12
GRCh37.p13	Genome Reference Consortium Human Build 37 patch release 13 (GRCh37.p13)	GCF	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.25	GRCh37.p13
hs38d1	Decoy version 1 for GRCh38	GCA	https://www.ncbi.nlm.nih.gov/assembly/GCA_000786075.2	hs38d1
GRCh38	Genome Reference Consortium Human Build 38	GCF	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.26	GRCh38
