value_en	description_en	codesystem	code	description_code
Academic Medical Center Biobank	Academic Medical Center Biobank	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACVOEOZ2UYZSUAVNCZ2AAAE	Academic Medical Center Biobank
ACS Biobank	ACS Biobank	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXO74F5GMACQK2ME25QAAE	ACS Biobank
AGNES Biobank	AGNES Biobank	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACYWY5TBZGACQK2MDM4QAAE	AGNES Biobank
AMC Renal Transplant Biobank	AMC Renal Transplant Biobank	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPAF5YXYACQK2ME25QAAM	AMC Renal Transplant Biobank
Amsterdam UMC Biobank: Location AMC	Amsterdam UMC Biobank: Location AMC	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AMCBB	Amsterdam UMC Biobank: Location AMC
ARGOS NL	ARGOS NL	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPJ3VCTUACQK2ME25QAAE	ARGOS NL
ARREST Biobank	ARREST Biobank	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPKMVPYIACQK2ME25QAAE	ARREST Biobank
BBMRI-Omics	BBMRI-Omics	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_aaaaczxoioaeoacqk2mo6qaaae	BBMRI-Omics
Binnenstebuiten Biobank	Binnenstebuiten Biobank	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPJXQJHAACQK2ME25QAAE	Binnenstebuiten Biobank
Biobank Hemoglobinopathy	Biobank Hemoglobinopathy	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_aaaac2dvrk2baacqk2mpm4yaae	Biobank Hemoglobinopathy
Biobank Interstitial Lung Disease	Biobank Interstitial Lung Disease	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPJX4UB6ACQK2ME25QAAE	Biobank Interstitial Lung Disease
BioBank Maastricht UMC	BioBank Maastricht UMC	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACVKPKFJ4CZSUAVNCZ2AAAE	BioBank Maastricht UMC
Biobank of the department gerontology and nephrology - LUMC	Biobank of the department gerontology and nephrology - LUMC	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_aaaaczxoatpr2acqk2mo6qaaae	Biobank of the department gerontology and nephrology - LUMC
Biobank Reproduction and Development	Biobank Reproduction and Development	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPF7SEQEACQK2ME25QAAE	Biobank Reproduction and Development
Biobank+NKI	Biobank+NKI	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXSW447PSACQK2MBZ5YAAM	Biobank+NKI
BOSOM Biobank	BOSOM Biobank	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPKPSTGWACQK2ME25QAAE	BOSOM Biobank
CDDSS Knowledge base	CDDSS Knowledge base	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACYAIDV754ACQK2MBZ5YAAI	CDDSS Knowledge base
Centrale Biobank UMC Utrecht	Centrale Biobank UMC Utrecht	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_CBB	Centrale Biobank UMC Utrecht
Cluster Biobank	Cluster Biobank	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPAPP4NIACQK2ME25QAAE	Cluster Biobank
CuraSAB Biobank	CuraSAB Biobank	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPASYLVKACQK2ME25QAAE	CuraSAB Biobank
Databiobank OncoLifeS	Databiobank OncoLifeS	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_aaaac2rbppbqeacqk2mpm4yaae	Databiobank OncoLifeS
Diabetes care system West-Friesland Biobank	Diabetes care system West-Friesland Biobank	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPJW5GJ6ACQK2ME25QAAM	Diabetes care system West-Friesland Biobank
DIPAK	DIPAK	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_aaaac2dvrk2auacqk2mpm4yabe	DIPAK
Durrer Center	Durrer Center	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACVOEPHI3IZSUAVNCZ2AAAE	Durrer Center
Dutch Hunger Winter Families Study Biobank	Dutch Hunger Winter Families Study Biobank	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPKCENKIACQK2ME25QAAM	Dutch Hunger Winter Families Study Biobank
Early Arthitis Clinic cohort	Early Arthitis Clinic cohort	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPAUCGZWACQK2ME25QAAE	Early Arthitis Clinic cohort
EORTC	EORTC	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXJR5GDHKACQK2ME25QAAE	EORTC
EPIC Biobank	EPIC Biobank	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACYWZHZP6SACQK2MDM4QAAE	EPIC Biobank
EPOZ Biobank	EPOZ Biobank	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPRDI7YOACQK2ME25QAAE	EPOZ Biobank
Erasmus MC Biobank	Erasmus MC Biobank	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACW5FCXM3MZSUAVNCZ2AAAE	Erasmus MC Biobank
Erasmus MC Tissue Biobank	Erasmus MC Tissue Biobank	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPF2POVSACQK2ME25QAAI	Erasmus MC Tissue Biobank
Erasmus Rucphen Family Study Biobank	Erasmus Rucphen Family Study Biobank	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPKEZGNYACQK2ME25QAAE	Erasmus Rucphen Family Study Biobank
ERGO Biobank	ERGO Biobank	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPKHAQOYACQK2ME25QAAI	ERGO Biobank
EUGENDA Biobank	EUGENDA Biobank	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPRDNXUMACQK2ME25QAAE	EUGENDA Biobank
Family and Health Biobank	Family and Health Biobank	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPRDRIO6ACQK2ME25QAAE	Family and Health Biobank
Fetal Aneuploidy Biobank	Fetal Aneuploidy Biobank	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_aaaac2dvrk2a6acqk2mpm4yaai	Fetal Aneuploidy Biobank
Fronto-temporal Dementia Biobank	Fronto-temporal Dementia Biobank	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPFW2H7KACQK2ME25QAAE	Fronto-temporal Dementia Biobank
Generation R Biobank	Generation R Biobank	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPKEJXLSACQK2ME25QAAE	Generation R Biobank
Genetic risk factors in Familial Hypercholesterolemia	Genetic risk factors in Familial Hypercholesterolemia	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXS4EZXBQACQK2MBZ5YAAE	Genetic risk factors in Familial Hypercholesterolemia
Genetics, Arthrosis and Progression Biobank	Genetics, Arthrosis and Progression Biobank	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPATMOWYACQK2ME25QAAM	Genetics, Arthrosis and Progression Biobank
GenoMEL Biobank	GenoMEL Biobank	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPKTCIZGACQK2ME25QAAM	GenoMEL Biobank
Ghana Study Biobank	Ghana Study Biobank	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPJYUZMIACQK2ME25QAAI	Ghana Study Biobank
Healthy LIfe in an Urban Setting Biobank	Healthy LIfe in an Urban Setting Biobank	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPF2EYBEACQK2ME25QAAM	Healthy LIfe in an Urban Setting Biobank
Hemochromatosis family study biobank	Hemochromatosis family study biobank	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPAPKLICACQK2ME25QAAE	Hemochromatosis family study biobank
HIV Host genetics cohort Biobank	HIV Host genetics cohort Biobank	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPFWJPCYACQK2ME25QAAE	HIV Host genetics cohort Biobank
Hoofd-halskanker Biobank	Hoofd-halskanker Biobank	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_aaaac2dvrk2baacqk2mpm4yaai	Hoofd-halskanker Biobank
Hoorn Study Biobank	Hoorn Study Biobank	BBMRI-ERIC	https://directory.bbmri-eric.eu/menu/main/app-molgenis-app-biobank-explorer/biobank/bbmri-eric:ID:NL_AAAACXPK6TQCOACQK2ME25QAAE	Hoorn Study Biobank
