value_en	description_en	codesystem	code	description_code
Peripheral Blood	Peripheral Blood	NCIT	http://purl.obolibrary.org/obo/NCIT_C173496	Peripheral Blood
Prostatic Fluid	Prostatic Fluid	NCIT	http://purl.obolibrary.org/obo/NCIT_C100896	Prostatic Fluid
Centrifuged Smear Slide	Centrifuged Smear Slide	NCIT	http://purl.obolibrary.org/obo/NCIT_C115350	Centrifuged Smear Slide
CCRF-CEM	CCRF-CEM	NCIT	http://purl.obolibrary.org/obo/NCIT_C117114	CCRF-CEM
MOLT-4	MOLT-4	NCIT	http://purl.obolibrary.org/obo/NCIT_C117119	MOLT-4
RPMI-8226	RPMI-8226	NCIT	http://purl.obolibrary.org/obo/NCIT_C117122	RPMI-8226
SR	SR	NCIT	http://purl.obolibrary.org/obo/NCIT_C117126	SR
A549/ATCC	A549/ATCC	NCIT	http://purl.obolibrary.org/obo/NCIT_C117127	A549/ATCC
EKVX	EKVX	NCIT	http://purl.obolibrary.org/obo/NCIT_C117131	EKVX
HOP-62	HOP-62	NCIT	http://purl.obolibrary.org/obo/NCIT_C117134	HOP-62
HOP-92	HOP-92	NCIT	http://purl.obolibrary.org/obo/NCIT_C117136	HOP-92
NCI-H226	NCI-H226	NCIT	http://purl.obolibrary.org/obo/NCIT_C117137	NCI-H226
NCI-H23	NCI-H23	NCIT	http://purl.obolibrary.org/obo/NCIT_C117141	NCI-H23
NCI-H322M	NCI-H322M	NCIT	http://purl.obolibrary.org/obo/NCIT_C117155	NCI-H322M
NCI-H460	NCI-H460	NCIT	http://purl.obolibrary.org/obo/NCIT_C117157	NCI-H460
NCI-H522	NCI-H522	NCIT	http://purl.obolibrary.org/obo/NCIT_C117158	NCI-H522
COLO 205	COLO 205	NCIT	http://purl.obolibrary.org/obo/NCIT_C117159	COLO 205
HCC-2998	HCC-2998	NCIT	http://purl.obolibrary.org/obo/NCIT_C117160	HCC-2998
HCT-116	HCT-116	NCIT	http://purl.obolibrary.org/obo/NCIT_C117161	HCT-116
HCT-15	HCT-15	NCIT	http://purl.obolibrary.org/obo/NCIT_C117163	HCT-15
KM12	KM12	NCIT	http://purl.obolibrary.org/obo/NCIT_C117165	KM12
SW-620	SW-620	NCIT	http://purl.obolibrary.org/obo/NCIT_C117166	SW-620
SF-268	SF-268	NCIT	http://purl.obolibrary.org/obo/NCIT_C117169	SF-268
SF-295	SF-295	NCIT	http://purl.obolibrary.org/obo/NCIT_C117170	SF-295
SF-539	SF-539	NCIT	http://purl.obolibrary.org/obo/NCIT_C117174	SF-539
SNB-19	SNB-19	NCIT	http://purl.obolibrary.org/obo/NCIT_C117176	SNB-19
SNB-75	SNB-75	NCIT	http://purl.obolibrary.org/obo/NCIT_C117178	SNB-75
U251	U251	NCIT	http://purl.obolibrary.org/obo/NCIT_C117179	U251
LOX IMVI	LOX IMVI	NCIT	http://purl.obolibrary.org/obo/NCIT_C117181	LOX IMVI
