value_en	description_en	codesystem	code	description_code
Fractionated Stereotactic Radiation Therapy	Fractionated Stereotactic Radiation Therapy	NCIT	http://purl.obolibrary.org/obo/NCIT_C156862	Fractionated Stereotactic Radiation Therapy
masculinizing thoracic surgery	masculinizing thoracic surgery	GSSO	http://purl.obolibrary.org/obo/GSSO_000110	masculinizing thoracic surgery
masculinizing mastectomy	masculinizing mastectomy	GSSO	http://purl.obolibrary.org/obo/GSSO_000126	masculinizing mastectomy
gender affirming surgery	gender affirming surgery	GSSO	http://purl.obolibrary.org/obo/GSSO_001608	gender affirming surgery
intersex surgery	intersex surgery	GSSO	http://purl.obolibrary.org/obo/GSSO_001609	intersex surgery
feminizing gender confirmation surgery	feminizing gender confirmation surgery	GSSO	http://purl.obolibrary.org/obo/GSSO_001610	feminizing gender confirmation surgery
masculinizing gender confirmation surgery	masculinizing gender confirmation surgery	GSSO	http://purl.obolibrary.org/obo/GSSO_001611	masculinizing gender confirmation surgery
facial feminization surgery	facial feminization surgery	GSSO	http://purl.obolibrary.org/obo/GSSO_001612	facial feminization surgery
facial masculinization surgery	facial masculinization surgery	GSSO	http://purl.obolibrary.org/obo/GSSO_001613	facial masculinization surgery
genital masculinization surgery	genital masculinization surgery	GSSO	http://purl.obolibrary.org/obo/GSSO_001614	genital masculinization surgery
genital feminization surgery	genital feminization surgery	GSSO	http://purl.obolibrary.org/obo/GSSO_001615	genital feminization surgery
excision of ovotestis	excision of ovotestis	GSSO	http://purl.obolibrary.org/obo/GSSO_001618	excision of ovotestis
genital gender confirmation surgery	genital gender confirmation surgery	GSSO	http://purl.obolibrary.org/obo/GSSO_001619	genital gender confirmation surgery
thoracic gender confirmation surgery	thoracic gender confirmation surgery	GSSO	http://purl.obolibrary.org/obo/GSSO_001620	thoracic gender confirmation surgery
masculinizing intersex surgery	masculinizing intersex surgery	GSSO	http://purl.obolibrary.org/obo/GSSO_001633	masculinizing intersex surgery
feminizing intersex surgery	feminizing intersex surgery	GSSO	http://purl.obolibrary.org/obo/GSSO_001634	feminizing intersex surgery
genital intersex surgery	genital intersex surgery	GSSO	http://purl.obolibrary.org/obo/GSSO_001635	genital intersex surgery
andrological surgical procedure	andrological surgical procedure	GSSO	http://purl.obolibrary.org/obo/GSSO_001636	andrological surgical procedure
