value_en	description_en	codesystem	code	description_code
NEXTFLEX Unique Dual Index Barcodes by PerkinElmer	NEXTFLEX Unique Dual Index Barcodes by PerkinElmer sourced from https://www.biocompare.com, accessed May 2020.	FG	https://w3id.org/fair-genomes/resource/FG_0000125	NEXTFLEX Unique Dual Index Barcodes by PerkinElmer
SEQuoia Complete Stranded RNA Library Prep Kit by Bio-Rad	SEQuoia Complete Stranded RNA Library Prep Kit by Bio-Rad sourced from https://www.biocompare.com, accessed May 2020.	FG	https://w3id.org/fair-genomes/resource/FG_0000126	SEQuoia Complete Stranded RNA Library Prep Kit by Bio-Rad
KAPA HyperPlus Kits by Roche	KAPA HyperPlus Kits by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	https://w3id.org/fair-genomes/resource/FG_0000127	KAPA HyperPlus Kits by Roche
Twist Human Core Exome Kit by Twist Bioscience	Twist Human Core Exome Kit by Twist Bioscience sourced from https://www.biocompare.com, accessed May 2020.	FG	https://w3id.org/fair-genomes/resource/FG_0000128	Twist Human Core Exome Kit by Twist Bioscience
Driver-Map Human Genome-Wide Targeted Expression Profiling Kit (24 reactions) by Cellecta	Driver-Map Human Genome-Wide Targeted Expression Profiling Kit (24 reactions) by Cellecta sourced from https://www.biocompare.com, accessed May 2020.	FG	https://w3id.org/fair-genomes/resource/FG_0000129	Driver-Map Human Genome-Wide Targeted Expression Profiling Kit (24 reactions) by Cellecta
ChIP-seq Kit For Histones (High Sensitivity) by BosterBio	ChIP-seq Kit For Histones (High Sensitivity) by BosterBio sourced from https://www.biocompare.com, accessed May 2020.	FG	https://w3id.org/fair-genomes/resource/FG_0000130	ChIP-seq Kit For Histones (High Sensitivity) by BosterBio
ChIP-seq Kit For Transcription Factors (High Sensitivity) by BosterBio	ChIP-seq Kit For Transcription Factors (High Sensitivity) by BosterBio sourced from https://www.biocompare.com, accessed May 2020.	FG	https://w3id.org/fair-genomes/resource/FG_0000131	ChIP-seq Kit For Transcription Factors (High Sensitivity) by BosterBio
HyperCap Workflow by Roche	HyperCap Workflow by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	https://w3id.org/fair-genomes/resource/FG_0000132	HyperCap Workflow by Roche
SeqCap RNA System by Roche	SeqCap RNA System by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	https://w3id.org/fair-genomes/resource/FG_0000133	SeqCap RNA System by Roche
MagicPureTM Size Selection DNA Beads by TransGen Biotech Co., LTD	MagicPureTM Size Selection DNA Beads by TransGen Biotech Co., LTD sourced from https://www.biocompare.com, accessed May 2020.	FG	https://w3id.org/fair-genomes/resource/FG_0000134	MagicPureTM Size Selection DNA Beads by TransGen Biotech Co., LTD
NEXTFLEX UDI Barcodes (1-1,536) by PerkinElmer	NEXTFLEX UDI Barcodes (1-1,536) by PerkinElmer sourced from https://www.biocompare.com, accessed May 2020.	FG	https://w3id.org/fair-genomes/resource/FG_0000135	NEXTFLEX UDI Barcodes (1-1,536) by PerkinElmer
NEXTflex Small RNA Sequencing Kit v3 for Illumina Platforms by PerkinElmer	NEXTflex Small RNA Sequencing Kit v3 for Illumina Platforms by PerkinElmer sourced from https://www.biocompare.com, accessed May 2020.	FG	https://w3id.org/fair-genomes/resource/FG_0000136	NEXTflex Small RNA Sequencing Kit v3 for Illumina Platforms by PerkinElmer
Blunt/TA Ligase Master Mix by New England Biolabs	Blunt/TA Ligase Master Mix by New England Biolabs sourced from https://www.biocompare.com, accessed May 2020.	FG	https://w3id.org/fair-genomes/resource/FG_0000137	Blunt/TA Ligase Master Mix by New England Biolabs
NEBNext ChIP-Seq Library Prep Master Mix Set for Illumina by New England Biolabs	NEBNext ChIP-Seq Library Prep Master Mix Set for Illumina by New England Biolabs sourced from https://www.biocompare.com, accessed May 2020.	FG	https://w3id.org/fair-genomes/resource/FG_0000138	NEBNext ChIP-Seq Library Prep Master Mix Set for Illumina by New England Biolabs
Auto ChIPmentation for Histones by Diagenode	Auto ChIPmentation for Histones by Diagenode sourced from https://www.biocompare.com, accessed May 2020.	FG	https://w3id.org/fair-genomes/resource/FG_0000139	Auto ChIPmentation for Histones by Diagenode
Auto MagMeDIP 10 rxn by Diagenode	Auto MagMeDIP 10 rxn by Diagenode sourced from https://www.biocompare.com, accessed May 2020.	FG	https://w3id.org/fair-genomes/resource/FG_0000140	Auto MagMeDIP 10 rxn by Diagenode
InviGene Bisulfite Conversion Kit - 50 conversions by AS ONE INTERNATIONAL	InviGene Bisulfite Conversion Kit - 50 conversions by AS ONE INTERNATIONAL sourced from https://www.biocompare.com, accessed May 2020.	FG	https://w3id.org/fair-genomes/resource/FG_0000141	InviGene Bisulfite Conversion Kit - 50 conversions by AS ONE INTERNATIONAL
InviMag Bisulfite Conversion Kit/ IG - 4 x 12 conversions by AS ONE INTERNATIONAL	InviMag Bisulfite Conversion Kit/ IG - 4 x 12 conversions by AS ONE INTERNATIONAL sourced from https://www.biocompare.com, accessed May 2020.	FG	https://w3id.org/fair-genomes/resource/FG_0000142	InviMag Bisulfite Conversion Kit/ IG - 4 x 12 conversions by AS ONE INTERNATIONAL
EpiNext Bisulfite Sequencing Kit (Illumina) by EpiGentek	EpiNext Bisulfite Sequencing Kit (Illumina) by EpiGentek sourced from https://www.biocompare.com, accessed May 2020.	FG	https://w3id.org/fair-genomes/resource/FG_0000143	EpiNext Bisulfite Sequencing Kit (Illumina) by EpiGentek
EpiNext ChIP-Seq High-Sensitivity Kit (Illumina) by EpiGentek	EpiNext ChIP-Seq High-Sensitivity Kit (Illumina) by EpiGentek sourced from https://www.biocompare.com, accessed May 2020.	FG	https://w3id.org/fair-genomes/resource/FG_0000144	EpiNext ChIP-Seq High-Sensitivity Kit (Illumina) by EpiGentek
Seq-Star DNA Size Selection Kit by Arraystar, Inc	Seq-Star DNA Size Selection Kit by Arraystar, Inc sourced from https://www.biocompare.com, accessed May 2020.	FG	https://w3id.org/fair-genomes/resource/FG_0000145	Seq-Star DNA Size Selection Kit by Arraystar, Inc
Seq-Star poly(A) mRNA Isolation Kit by Arraystar, Inc	Seq-Star poly(A) mRNA Isolation Kit by Arraystar, Inc sourced from https://www.biocompare.com, accessed May 2020.	FG	https://w3id.org/fair-genomes/resource/FG_0000146	Seq-Star poly(A) mRNA Isolation Kit by Arraystar, Inc
Auto MagMeDIP 48 rxn by Diagenode	Auto MagMeDIP 48 rxn by Diagenode sourced from https://www.biocompare.com, accessed May 2020.	FG	https://w3id.org/fair-genomes/resource/FG_0000147	Auto MagMeDIP 48 rxn by Diagenode
Auto Universal Plant ChIP-seq kit by Diagenode	Auto Universal Plant ChIP-seq kit by Diagenode sourced from https://www.biocompare.com, accessed May 2020.	FG	https://w3id.org/fair-genomes/resource/FG_0000148	Auto Universal Plant ChIP-seq kit by Diagenode
Auto iDeal ChIP-seq Kit for Transcription Factors by Diagenode	Auto iDeal ChIP-seq Kit for Transcription Factors by Diagenode sourced from https://www.biocompare.com, accessed May 2020.	FG	https://w3id.org/fair-genomes/resource/FG_0000149	Auto iDeal ChIP-seq Kit for Transcription Factors by Diagenode
Auto iDeal ChIP-seq Kit for Transcription Factors x24 by Diagenode	Auto iDeal ChIP-seq Kit for Transcription Factors x24 by Diagenode sourced from https://www.biocompare.com, accessed May 2020.	FG	https://w3id.org/fair-genomes/resource/FG_0000150	Auto iDeal ChIP-seq Kit for Transcription Factors x24 by Diagenode
Auto iDeal ChIP-seq kit for Histones x100 by Diagenode	Auto iDeal ChIP-seq kit for Histones x100 by Diagenode sourced from https://www.biocompare.com, accessed May 2020.	FG	https://w3id.org/fair-genomes/resource/FG_0000151	Auto iDeal ChIP-seq kit for Histones x100 by Diagenode
