value_en	description_en	codesystem	code	description_code
454 Genome Sequence 20	454 Genome Sequence 20	OBI	http://purl.obolibrary.org/obo/OBI_0000689	454 Genome Sequence 20
AB SOLiD System	AB SOLiD System	OBI	http://purl.obolibrary.org/obo/OBI_0000696	AB SOLiD System
454 Genome Sequencer FLX	454 Genome Sequencer FLX	OBI	http://purl.obolibrary.org/obo/OBI_0000702	454 Genome Sequencer FLX
Illumina Genome Analyzer II	Illumina Genome Analyzer II	OBI	http://purl.obolibrary.org/obo/OBI_0000703	Illumina Genome Analyzer II
HeliScope Single Molecule Sequencer	HeliScope Single Molecule Sequencer	OBI	http://purl.obolibrary.org/obo/OBI_0000717	HeliScope Single Molecule Sequencer
Genome Analyzer IIx	Genome Analyzer IIx	OBI	http://purl.obolibrary.org/obo/OBI_0002000	Genome Analyzer IIx
Illumina HiSeq 2000	Illumina HiSeq 2000	OBI	http://purl.obolibrary.org/obo/OBI_0002001	Illumina HiSeq 2000
Illumina HiSeq 2500	Illumina HiSeq 2500	OBI	http://purl.obolibrary.org/obo/OBI_0002002	Illumina HiSeq 2500
MiSeq	MiSeq	OBI	http://purl.obolibrary.org/obo/OBI_0002003	MiSeq
SOLiD 3 Plus System	SOLiD 3 Plus System	OBI	http://purl.obolibrary.org/obo/OBI_0002007	SOLiD 3 Plus System
PacBio RS II	PacBio RS II	OBI	http://purl.obolibrary.org/obo/OBI_0002012	PacBio RS II
NextSeq 500	NextSeq 500	OBI	http://purl.obolibrary.org/obo/OBI_0002021	NextSeq 500
Illumina HiSeq 1000	Illumina HiSeq 1000	OBI	http://purl.obolibrary.org/obo/OBI_0002022	Illumina HiSeq 1000
SOLiD 4 System	SOLiD 4 System	OBI	http://purl.obolibrary.org/obo/OBI_0002024	SOLiD 4 System
Genome Analyzer IIe	Genome Analyzer IIe	OBI	http://purl.obolibrary.org/obo/OBI_0002027	Genome Analyzer IIe
Illumina HiSeq 3000	Illumina HiSeq 3000	OBI	http://purl.obolibrary.org/obo/OBI_0002048	Illumina HiSeq 3000
Illumina HiSeq 4000	Illumina HiSeq 4000	OBI	http://purl.obolibrary.org/obo/OBI_0002049	Illumina HiSeq 4000
SOLiD 4hq System	SOLiD 4hq System	GENEPIO	http://purl.obolibrary.org/obo/GENEPIO_0001928	SOLiD 4hq System
SOLiD 5500	SOLiD 5500	GENEPIO	http://purl.obolibrary.org/obo/GENEPIO_0001929	SOLiD 5500
SOLiD 5500xl	SOLiD 5500xl	GENEPIO	http://purl.obolibrary.org/obo/GENEPIO_0001930	SOLiD 5500xl
SOLiD PI System	SOLiD PI System	GENEPIO	http://purl.obolibrary.org/obo/GENEPIO_0001931	SOLiD PI System
SOLiD System 2.0	SOLiD System 2.0	GENEPIO	http://purl.obolibrary.org/obo/GENEPIO_0001932	SOLiD System 2.0
SOLiD System 3.0	SOLiD System 3.0	GENEPIO	http://purl.obolibrary.org/obo/GENEPIO_0001933	SOLiD System 3.0
Ion Torrent PGM	Ion Torrent PGM	GENEPIO	http://purl.obolibrary.org/obo/GENEPIO_0001935	Ion Torrent PGM
454 Genome Sequencer FLX Titanium	454 Genome Sequencer FLX Titanium	GENEPIO	http://purl.obolibrary.org/obo/GENEPIO_0001936	454 Genome Sequencer FLX Titanium
454 Genome Sequencer	454 Genome Sequencer	GENEPIO	http://purl.obolibrary.org/obo/GENEPIO_0001937	454 Genome Sequencer
454 Genome Sequencer Junior	454 Genome Sequencer Junior	GENEPIO	http://purl.obolibrary.org/obo/GENEPIO_0001938	454 Genome Sequencer Junior
Illumina HiSeq Sequencer	Illumina HiSeq Sequencer	GENEPIO	http://purl.obolibrary.org/obo/GENEPIO_0001939	Illumina HiSeq Sequencer
Illumina HiSeq X Five	Illumina HiSeq X Five	FG	https://w3id.org/fair-genomes/resource/FG_0000004	Illumina HiSeq X Five
Illumina HiSeq X Ten	Illumina HiSeq X Ten	FG	https://w3id.org/fair-genomes/resource/FG_0000005	Illumina HiSeq X Ten
Illumina MiniSeq	Illumina MiniSeq	FG	https://w3id.org/fair-genomes/resource/FG_0000006	Illumina MiniSeq
Illumina iSeq 100	Illumina iSeq 100	FG	https://w3id.org/fair-genomes/resource/FG_0000007	Illumina iSeq 100
Illumina NextSeq 550	Illumina NextSeq 550	FG	https://w3id.org/fair-genomes/resource/FG_0000008	Illumina NextSeq 550
Illumina NextSeq 2000	Illumina NextSeq 2000	FG	https://w3id.org/fair-genomes/resource/FG_0000009	Illumina NextSeq 2000
Illumina NovaSeq 6000	Illumina NovaSeq 6000	FG	https://w3id.org/fair-genomes/resource/FG_0000010	Illumina NovaSeq 6000
Illumina NextSeq 1000	Illumina NextSeq 1000	FG	https://w3id.org/fair-genomes/resource/FG_0000011	Illumina NextSeq 1000
Illumina NextSeq 550Dx	Illumina NextSeq 550Dx	FG	https://w3id.org/fair-genomes/resource/FG_0000012	Illumina NextSeq 550Dx
Illumina MiSeqDx	Illumina MiSeqDx	FG	https://w3id.org/fair-genomes/resource/FG_0000013	Illumina MiSeqDx
Illumina MiSeq FGx	Illumina MiSeq FGx	FG	https://w3id.org/fair-genomes/resource/FG_0000014	Illumina MiSeq FGx
NoInformation (NI, nullflavor)	The value is exceptional (missing, omitted, incomplete, improper). No information as to the reason for being an exceptional value is provided. This is the most general exceptional value. It is also the default exceptional value.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NI	NoInformation (NI, nullflavor)
Invalid (INV, nullflavor)	The value as represented in the instance is not a member of the set of permitted data values in the constrained value domain of a variable.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#INV	Invalid (INV, nullflavor)
Derived (DER, nullflavor)	An actual value may exist, but it must be derived from the provided information (usually an EXPR generic data type extension will be used to convey the derivation expression .	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#DER	Derived (DER, nullflavor)
Other (OTH, nullflavor)	The actual value is not a member of the set of permitted data values in the constrained value domain of a variable.The actual value is not a member of the set of permitted data values in the constrained value domain of a variable. (e.g., concept not provided by required code system).	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#OTH	Other (OTH, nullflavor)
Negative infinity (NINF, nullflavor)	Negative infinity of numbers.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NINF	Negative infinity (NINF, nullflavor)
Positive infinity (PINF, nullflavor)	Positive infinity of numbers.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#PINF	Positive infinity (PINF, nullflavor)
Un-encoded (UNC, nullflavor)	The actual value has not yet been encoded within the approved value domain.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#UNC	Un-encoded (UNC, nullflavor)
Masked (MSK, nullflavor)	There is information on this item available but it has not been provided by the sender due to security, privacy or other reasons. There may be an alternate mechanism for gaining access to this information.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#MSK	Masked (MSK, nullflavor)
Not applicable (NA, nullflavor)	Known to have no proper value (e.g., last menstrual period for a male).	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NA	Not applicable (NA, nullflavor)
Unknown (UNK, nullflavor)	A proper value is applicable, but not known.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#UNK	Unknown (UNK, nullflavor)
Asked but unknown (ASKU, nullflavor)	Information was sought but not found (e.g., patient was asked but didn't know)	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#ASKU	Asked but unknown (ASKU, nullflavor)
Temporarily unavailable (NAV, nullflavor)	Information is not available at this time but it is expected that it will be available later.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NAV	Temporarily unavailable (NAV, nullflavor)
Not asked (NASK, nullflavor)	This information has not been sought. (e.g., patient was not asked)	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NASK	Not asked (NASK, nullflavor)
Not available (NAVU, nullflavor)	Information is not available at this time (with no expectation regarding whether it will or will not be available in the future).	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NAVU	Not available (NAVU, nullflavor)
Sufficient quantity (QS, nullflavor)	The specific quantity is not known, but is known to be non-zero and is not specified because it makes up the bulk of the material. e.g. 'Add 10mg of ingredient X, 50mg of ingredient Y, and sufficient quantity of water to 100mL.' The null flavor would be used to express the quantity of water.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#QS	Sufficient quantity (QS, nullflavor)
Trace (TRC, nullflavor)	The content is greater than zero, but too small to be quantified.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#TRC	Trace (TRC, nullflavor)
