value_en	description_en	codesystem	code	description_code
PP tube 0.5–2mL (-85) to (-60)°C	Polypropylene tube 0.5–2mL at (-85) to (-60)°C	SPRECv3.0	https://medical-data-models.org/details/40242#Storage_A	PP tube 0.5–2mL (-85) to (-60)°C
PP tube 0.5–2mL (-35) to (-18)°C	Polypropylene tube 0.5–2mL at (-35) to (-18)°C	SPRECv3.0	https://medical-data-models.org/details/40242#Storage_B	PP tube 0.5–2mL (-35) to (-18)°C
PP tube 0.5–2mL <-135°C	Polypropylene tube 0.5–2mL at <-135°C, may correspond to liquid nitrogen vapor phase or to -150°C electrical freezer	SPRECv3.0	https://medical-data-models.org/details/40242#Storage_V	PP tube 0.5–2mL <-135°C
Cryotube 1–2mL LN	Cryotube 1–2mL in liquid nitrogen, refers to either vapor or liquid phase	SPRECv3.0	https://medical-data-models.org/details/40242#Storage_C	Cryotube 1–2mL LN
Cryotube 1–2mL (-85) to (-60)°C	Cryotube 1–2mL at (-85) to (-60)°C	SPRECv3.0	https://medical-data-models.org/details/40242#Storage_D	Cryotube 1–2mL (-85) to (-60)°C
Cryotube 1–2mL Programmable freezing to <-135°C	Cryotube 1–2mL at programmable freezing to <-135°C, may correspond to liquid nitrogen vapor phase or to -150°C electrical freezer	SPRECv3.0	https://medical-data-models.org/details/40242#Storage_E	Cryotube 1–2mL Programmable freezing to <-135°C
Plastic cryo straw LN	Plastic cryo straw in liquid nitrogen, refers to either vapor or liquid phase	SPRECv3.0	https://medical-data-models.org/details/40242#Storage_F	Plastic cryo straw LN
Straw (-85) to (-60)°C	Straw at (-85) to (-60)°C	SPRECv3.0	https://medical-data-models.org/details/40242#Storage_G	Straw (-85) to (-60)°C
Straw (-35) to (-18)°C	Straw at (-35) to (-18)°C	SPRECv3.0	https://medical-data-models.org/details/40242#Storage_H	Straw (-35) to (-18)°C
Straw Programmable freezing to <-135°C	Straw at programmable freezing to <-135°C, may correspond to liquid nitrogen vapor phase or to -150°C electrical freezer	SPRECv3.0	https://medical-data-models.org/details/40242#Storage_I	Straw Programmable freezing to <-135°C
