value	description	codesystem	code	iri
uterine cervix	uterine cervix	UBERON	0000002	http://purl.obolibrary.org/obo/UBERON_0000002
naris	naris	UBERON	0000003	http://purl.obolibrary.org/obo/UBERON_0000003
nose	nose	UBERON	0000004	http://purl.obolibrary.org/obo/UBERON_0000004
chemosensory organ	chemosensory organ	UBERON	0000005	http://purl.obolibrary.org/obo/UBERON_0000005
islet of Langerhans	islet of Langerhans	UBERON	0000006	http://purl.obolibrary.org/obo/UBERON_0000006
pituitary gland	pituitary gland	UBERON	0000007	http://purl.obolibrary.org/obo/UBERON_0000007
submucosa	submucosa	UBERON	0000009	http://purl.obolibrary.org/obo/UBERON_0000009
peripheral nervous system	peripheral nervous system	UBERON	0000010	http://purl.obolibrary.org/obo/UBERON_0000010
parasympathetic nervous system	parasympathetic nervous system	UBERON	0000011	http://purl.obolibrary.org/obo/UBERON_0000011
somatic nervous system	somatic nervous system	UBERON	0000012	http://purl.obolibrary.org/obo/UBERON_0000012
sympathetic nervous system	sympathetic nervous system	UBERON	0000013	http://purl.obolibrary.org/obo/UBERON_0000013
zone of skin	zone of skin	UBERON	0000014	http://purl.obolibrary.org/obo/UBERON_0000014
non-material anatomical boundary	non-material anatomical boundary	UBERON	0000015	http://purl.obolibrary.org/obo/UBERON_0000015
endocrine pancreas	endocrine pancreas	UBERON	0000016	http://purl.obolibrary.org/obo/UBERON_0000016
exocrine pancreas	exocrine pancreas	UBERON	0000017	http://purl.obolibrary.org/obo/UBERON_0000017
compound eye	compound eye	UBERON	0000018	http://purl.obolibrary.org/obo/UBERON_0000018
camera-type eye	camera-type eye	UBERON	0000019	http://purl.obolibrary.org/obo/UBERON_0000019
sense organ	sense organ	UBERON	0000020	http://purl.obolibrary.org/obo/UBERON_0000020
cutaneous appendage	cutaneous appendage	UBERON	0000021	http://purl.obolibrary.org/obo/UBERON_0000021
feather	feather	UBERON	0000022	http://purl.obolibrary.org/obo/UBERON_0000022
wing	wing	UBERON	0000023	http://purl.obolibrary.org/obo/UBERON_0000023
forelimb wing	forelimb wing	UBERON	0000024	http://purl.obolibrary.org/obo/UBERON_0000024
tube	tube	UBERON	0000025	http://purl.obolibrary.org/obo/UBERON_0000025
appendage	appendage	UBERON	0000026	http://purl.obolibrary.org/obo/UBERON_0000026
lymph node	lymph node	UBERON	0000029	http://purl.obolibrary.org/obo/UBERON_0000029
lamina propria	lamina propria	UBERON	0000030	http://purl.obolibrary.org/obo/UBERON_0000030
lamina propria of trachea	lamina propria of trachea	UBERON	0000031	http://purl.obolibrary.org/obo/UBERON_0000031
head	head	UBERON	0000033	http://purl.obolibrary.org/obo/UBERON_0000033
primary ovarian follicle	primary ovarian follicle	UBERON	0000035	http://purl.obolibrary.org/obo/UBERON_0000035
secondary ovarian follicle	secondary ovarian follicle	UBERON	0000036	http://purl.obolibrary.org/obo/UBERON_0000036
tertiary ovarian follicle	tertiary ovarian follicle	UBERON	0000037	http://purl.obolibrary.org/obo/UBERON_0000037
follicular fluid	follicular fluid	UBERON	0000038	http://purl.obolibrary.org/obo/UBERON_0000038
follicular antrum	follicular antrum	UBERON	0000039	http://purl.obolibrary.org/obo/UBERON_0000039
Leydig's organ	Leydig's organ	UBERON	0000040	http://purl.obolibrary.org/obo/UBERON_0000040
odontode scale	odontode scale	UBERON	0000041	http://purl.obolibrary.org/obo/UBERON_0000041
serous membrane	serous membrane	UBERON	0000042	http://purl.obolibrary.org/obo/UBERON_0000042
tendon	tendon	UBERON	0000043	http://purl.obolibrary.org/obo/UBERON_0000043
dorsal root ganglion	dorsal root ganglion	UBERON	0000044	http://purl.obolibrary.org/obo/UBERON_0000044
ganglion	ganglion	UBERON	0000045	http://purl.obolibrary.org/obo/UBERON_0000045
stemma	stemma	UBERON	0000046	http://purl.obolibrary.org/obo/UBERON_0000046
simple eye	simple eye	UBERON	0000047	http://purl.obolibrary.org/obo/UBERON_0000047
pinhole eye	pinhole eye	UBERON	0000048	http://purl.obolibrary.org/obo/UBERON_0000048
spherical lensed eye	spherical lensed eye	UBERON	0000049	http://purl.obolibrary.org/obo/UBERON_0000049
simple eye with multiple lenses	simple eye with multiple lenses	UBERON	0000050	http://purl.obolibrary.org/obo/UBERON_0000050
fornix of vagina	fornix of vagina	UBERON	0000051	http://purl.obolibrary.org/obo/UBERON_0000051
fornix of brain	fornix of brain	UBERON	0000052	http://purl.obolibrary.org/obo/UBERON_0000052
macula lutea	macula lutea	UBERON	0000053	http://purl.obolibrary.org/obo/UBERON_0000053
macula	macula	UBERON	0000054	http://purl.obolibrary.org/obo/UBERON_0000054
vessel	vessel	UBERON	0000055	http://purl.obolibrary.org/obo/UBERON_0000055
ureter	ureter	UBERON	0000056	http://purl.obolibrary.org/obo/UBERON_0000056
urethra	urethra	UBERON	0000057	http://purl.obolibrary.org/obo/UBERON_0000057
duct	duct	UBERON	0000058	http://purl.obolibrary.org/obo/UBERON_0000058
large intestine	large intestine	UBERON	0000059	http://purl.obolibrary.org/obo/UBERON_0000059
anatomical wall	anatomical wall	UBERON	0000060	http://purl.obolibrary.org/obo/UBERON_0000060
anatomical structure	anatomical structure	UBERON	0000061	http://purl.obolibrary.org/obo/UBERON_0000061
organ	organ	UBERON	0000062	http://purl.obolibrary.org/obo/UBERON_0000062
organ subunit	organ subunit	UBERON	0000063	http://purl.obolibrary.org/obo/UBERON_0000063
organ part	organ part	UBERON	0000064	http://purl.obolibrary.org/obo/UBERON_0000064
respiratory tract	respiratory tract	UBERON	0000065	http://purl.obolibrary.org/obo/UBERON_0000065
fully formed stage	fully formed stage	UBERON	0000066	http://purl.obolibrary.org/obo/UBERON_0000066
embryo stage	embryo stage	UBERON	0000068	http://purl.obolibrary.org/obo/UBERON_0000068
larval stage	larval stage	UBERON	0000069	http://purl.obolibrary.org/obo/UBERON_0000069
pupal stage	pupal stage	UBERON	0000070	http://purl.obolibrary.org/obo/UBERON_0000070
death stage	death stage	UBERON	0000071	http://purl.obolibrary.org/obo/UBERON_0000071
proximo-distal subdivision of respiratory tract	proximo-distal subdivision of respiratory tract	UBERON	0000072	http://purl.obolibrary.org/obo/UBERON_0000072
regional part of nervous system	regional part of nervous system	UBERON	0000073	http://purl.obolibrary.org/obo/UBERON_0000073
renal glomerulus	renal glomerulus	UBERON	0000074	http://purl.obolibrary.org/obo/UBERON_0000074
subdivision of skeletal system	subdivision of skeletal system	UBERON	0000075	http://purl.obolibrary.org/obo/UBERON_0000075
external ectoderm	external ectoderm	UBERON	0000076	http://purl.obolibrary.org/obo/UBERON_0000076
