value	description	codesystem	code	iri
Multiple epiphyseal dysplasia, Al-Gazali type	Multiple epiphyseal dysplasia, Al-Gazali type	Orphanet	166024	http://www.orpha.net/ORDO/Orphanet_166024
Alexander disease	Alexander disease	Orphanet	58	http://www.orpha.net/ORDO/Orphanet_58
Multiple epiphyseal dysplasia, with miniepiphyses	Multiple epiphyseal dysplasia, with miniepiphyses	Orphanet	166032	http://www.orpha.net/ORDO/Orphanet_166032
Alpha-mannosidosis	Alpha-mannosidosis	Orphanet	61	http://www.orpha.net/ORDO/Orphanet_61
Multiple epiphyseal dysplasia, with severe proximal femoral dysplasia	Multiple epiphyseal dysplasia, with severe proximal femoral dysplasia	Orphanet	166029	http://www.orpha.net/ORDO/Orphanet_166029
Metaphyseal chondrodysplasia, Kaitila type	Metaphyseal chondrodysplasia, Kaitila type	Orphanet	166038	http://www.orpha.net/ORDO/Orphanet_166038
Aspartylglucosaminuria	Aspartylglucosaminuria	Orphanet	93	http://www.orpha.net/ORDO/Orphanet_93
Brachydactyly-short stature-retinitis pigmentosa syndrome	Brachydactyly-short stature-retinitis pigmentosa syndrome	Orphanet	166035	http://www.orpha.net/ORDO/Orphanet_166035
Multiple sulfatase deficiency	Multiple sulfatase deficiency	Orphanet	585	http://www.orpha.net/ORDO/Orphanet_585
Beta-mannosidosis	Beta-mannosidosis	Orphanet	118	http://www.orpha.net/ORDO/Orphanet_118
Pontocerebellar hypoplasia type 5	Pontocerebellar hypoplasia type 5	Orphanet	166068	http://www.orpha.net/ORDO/Orphanet_166068
Canavan disease	Canavan disease	Orphanet	141	http://www.orpha.net/ORDO/Orphanet_141
Pontocerebellar hypoplasia type 4	Pontocerebellar hypoplasia type 4	Orphanet	166063	http://www.orpha.net/ORDO/Orphanet_166063
Von Willebrand disease type 1	Von Willebrand disease type 1	Orphanet	166078	http://www.orpha.net/ORDO/Orphanet_166078
NON RARE IN EUROPE: Crohn disease	NON RARE IN EUROPE: Crohn disease	Orphanet	206	http://www.orpha.net/ORDO/Orphanet_206
Pontocerebellar hypoplasia type 6	Pontocerebellar hypoplasia type 6	Orphanet	166073	http://www.orpha.net/ORDO/Orphanet_166073
Cystinosis	Cystinosis	Orphanet	213	http://www.orpha.net/ORDO/Orphanet_213
Von Willebrand disease type 2A	Von Willebrand disease type 2A	Orphanet	166084	http://www.orpha.net/ORDO/Orphanet_166084
Farber disease	Farber disease	Orphanet	333	http://www.orpha.net/ORDO/Orphanet_333
Von Willebrand disease type 2	Von Willebrand disease type 2	Orphanet	166081	http://www.orpha.net/ORDO/Orphanet_166081
Fucosidosis	Fucosidosis	Orphanet	349	http://www.orpha.net/ORDO/Orphanet_349
Von Willebrand disease type 2M	Von Willebrand disease type 2M	Orphanet	166090	http://www.orpha.net/ORDO/Orphanet_166090
Glycogen storage disease due to acid maltase deficiency	Glycogen storage disease due to acid maltase deficiency	Orphanet	365	http://www.orpha.net/ORDO/Orphanet_365
Von Willebrand disease type 2B	Von Willebrand disease type 2B	Orphanet	166087	http://www.orpha.net/ORDO/Orphanet_166087
Glycogen storage disease due to glycogen debranching enzyme deficiency	Glycogen storage disease due to glycogen debranching enzyme deficiency	Orphanet	366	http://www.orpha.net/ORDO/Orphanet_366
Von Willebrand disease type 2N	Von Willebrand disease type 2N	Orphanet	166093	http://www.orpha.net/ORDO/Orphanet_166093
Glycogen storage disease due to muscle glycogen phosphorylase deficiency	Glycogen storage disease due to muscle glycogen phosphorylase deficiency	Orphanet	368	http://www.orpha.net/ORDO/Orphanet_368
Von Willebrand disease type 3	Von Willebrand disease type 3	Orphanet	166096	http://www.orpha.net/ORDO/Orphanet_166096
Glycogen storage disease due to glycogen branching enzyme deficiency	Glycogen storage disease due to glycogen branching enzyme deficiency	Orphanet	367	http://www.orpha.net/ORDO/Orphanet_367
Autosomal dominant otospondylomegaepiphyseal dysplasia	Autosomal dominant otospondylomegaepiphyseal dysplasia	Orphanet	166100	http://www.orpha.net/ORDO/Orphanet_166100
Glycogen storage disease due to muscle phosphofructokinase deficiency	Glycogen storage disease due to muscle phosphofructokinase deficiency	Orphanet	371	http://www.orpha.net/ORDO/Orphanet_371
FASTKD2-related infantile mitochondrial encephalomyopathy	FASTKD2-related infantile mitochondrial encephalomyopathy	Orphanet	166105	http://www.orpha.net/ORDO/Orphanet_166105
Glycogen storage disease due to liver glycogen phosphorylase deficiency	Glycogen storage disease due to liver glycogen phosphorylase deficiency	Orphanet	369	http://www.orpha.net/ORDO/Orphanet_369
Paroxysmal nocturnal hemoglobinuria	Paroxysmal nocturnal hemoglobinuria	Orphanet	447	http://www.orpha.net/ORDO/Orphanet_447
Intellectual disability, Birk-Barel type	Intellectual disability, Birk-Barel type	Orphanet	166108	http://www.orpha.net/ORDO/Orphanet_166108
Bazex syndrome	Bazex syndrome	Orphanet	166113	http://www.orpha.net/ORDO/Orphanet_166113
Rare cutaneous lupus erythematosus	Rare cutaneous lupus erythematosus	Orphanet	535	http://www.orpha.net/ORDO/Orphanet_535
Isolated osteopoikilosis	Isolated osteopoikilosis	Orphanet	166119	http://www.orpha.net/ORDO/Orphanet_166119
Krabbe disease	Krabbe disease	Orphanet	487	http://www.orpha.net/ORDO/Orphanet_487
Dentinogenesis imperfecta type 2	Dentinogenesis imperfecta type 2	Orphanet	166260	http://www.orpha.net/ORDO/Orphanet_166260
Dentinogenesis imperfecta type 3	Dentinogenesis imperfecta type 3	Orphanet	166265	http://www.orpha.net/ORDO/Orphanet_166265
Mucopolysaccharidosis type 6	Mucopolysaccharidosis type 6	Orphanet	583	http://www.orpha.net/ORDO/Orphanet_583
Odontochondrodysplasia	Odontochondrodysplasia	Orphanet	166272	http://www.orpha.net/ORDO/Orphanet_166272
Mucolipidosis type II	Mucolipidosis type II	Orphanet	576	http://www.orpha.net/ORDO/Orphanet_576
Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia	Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia	Orphanet	166277	http://www.orpha.net/ORDO/Orphanet_166277
Sialidosis type 1	Sialidosis type 1	Orphanet	812	http://www.orpha.net/ORDO/Orphanet_812
Familial sick sinus syndrome	Familial sick sinus syndrome	Orphanet	166282	http://www.orpha.net/ORDO/Orphanet_166282
Mucolipidosis type IV	Mucolipidosis type IV	Orphanet	578	http://www.orpha.net/ORDO/Orphanet_578
Porokeratotic eccrine ostial and dermal duct nevus	Porokeratotic eccrine ostial and dermal duct nevus	Orphanet	166286	http://www.orpha.net/ORDO/Orphanet_166286
Mucolipidosis type III	Mucolipidosis type III	Orphanet	577	http://www.orpha.net/ORDO/Orphanet_577
Dirofilariasis	Dirofilariasis	Orphanet	166291	http://www.orpha.net/ORDO/Orphanet_166291
Benign non-familial infantile seizures	Benign non-familial infantile seizures	Orphanet	166295	http://www.orpha.net/ORDO/Orphanet_166295
NON RARE IN EUROPE: Ulcerative colitis	NON RARE IN EUROPE: Ulcerative colitis	Orphanet	771	http://www.orpha.net/ORDO/Orphanet_771
Benign infantile focal epilepsy with midline spikes and waves during sleep	Benign infantile focal epilepsy with midline spikes and waves during sleep	Orphanet	166308	http://www.orpha.net/ORDO/Orphanet_166308
Benign infantile seizures associated with mild gastroenteritis	Benign infantile seizures associated with mild gastroenteritis	Orphanet	166305	http://www.orpha.net/ORDO/Orphanet_166305
Poliomyelitis	Poliomyelitis	Orphanet	2912	http://www.orpha.net/ORDO/Orphanet_2912
Benign partial epilepsy with secondarily generalized seizures in infancy	Benign partial epilepsy with secondarily generalized seizures in infancy	Orphanet	166302	http://www.orpha.net/ORDO/Orphanet_166302
Benign partial epilepsy of infancy with complex partial seizures	Benign partial epilepsy of infancy with complex partial seizures	Orphanet	166299	http://www.orpha.net/ORDO/Orphanet_166299
Sandhoff disease	Sandhoff disease	Orphanet	796	http://www.orpha.net/ORDO/Orphanet_796
Photosensitive epilepsy	Photosensitive epilepsy	Orphanet	166409	http://www.orpha.net/ORDO/Orphanet_166409
Scleroderma	Scleroderma	Orphanet	801	http://www.orpha.net/ORDO/Orphanet_801
Benign partial infantile seizures	Benign partial infantile seizures	Orphanet	166311	http://www.orpha.net/ORDO/Orphanet_166311
Recessive X-linked ichthyosis	Recessive X-linked ichthyosis	Orphanet	461	http://www.orpha.net/ORDO/Orphanet_461
Orgasm-induced seizures	Orgasm-induced seizures	Orphanet	166421	http://www.orpha.net/ORDO/Orphanet_166421
NON RARE IN EUROPE: Tourette syndrome	NON RARE IN EUROPE: Tourette syndrome	Orphanet	856	http://www.orpha.net/ORDO/Orphanet_856
Eating reflex epilepsy	Eating reflex epilepsy	Orphanet	166418	http://www.orpha.net/ORDO/Orphanet_166418
Audiogenic seizures	Audiogenic seizures	Orphanet	166415	http://www.orpha.net/ORDO/Orphanet_166415
Mucopolysaccharidosis type 7	Mucopolysaccharidosis type 7	Orphanet	584	http://www.orpha.net/ORDO/Orphanet_584
NON RARE IN EUROPE: Ankylosing spondylitis	NON RARE IN EUROPE: Ankylosing spondylitis	Orphanet	825	http://www.orpha.net/ORDO/Orphanet_825
