value	description	codesystem	code	iri
A/A	Anterior to Anterior; Anterior to Anterior.	FG	0000788	https://w3id.org/fair-genomes/resource/0000788
A/P	Anterior to Posterior; Posterior to Anterior.	FG	0000789	https://w3id.org/fair-genomes/resource/0000789
A/L	Anterior to Left; Left to Anterior.	FG	0000790	https://w3id.org/fair-genomes/resource/0000790
A/R	Anterior to Right; Right to Anterior.	FG	0000791	https://w3id.org/fair-genomes/resource/0000791
A/H	Anterior to Superior; Superior to Anterior.	FG	0000792	https://w3id.org/fair-genomes/resource/0000792
A/F	Anterior to Inferior; Inferior to Anterior.	FG	0000793	https://w3id.org/fair-genomes/resource/0000793
P/A	Posterior to Anterior; Anterior to Posterior.	FG	0000794	https://w3id.org/fair-genomes/resource/0000794
P/P	Posterior to Posterior; Posterior to Posterior.	FG	0000795	https://w3id.org/fair-genomes/resource/0000795
P/L	Posterior to Left; Left to Posterior.	FG	0000796	https://w3id.org/fair-genomes/resource/0000796
P/R	Posterior to Right; Right to Posterior.	FG	0000797	https://w3id.org/fair-genomes/resource/0000797
P/H	Posterior to Superior; Superior to Posterior.	FG	0000798	https://w3id.org/fair-genomes/resource/0000798
P/F	Posterior to Inferior; Inferior to Posterior.	FG	0000799	https://w3id.org/fair-genomes/resource/0000799
L/A	Left to Anterior; Anterior to Left.	FG	0000800	https://w3id.org/fair-genomes/resource/0000800
L/P	Left to Posterior; Posterior to Left.	FG	0000801	https://w3id.org/fair-genomes/resource/0000801
L/L	Left to Left; Left to Left.	FG	0000802	https://w3id.org/fair-genomes/resource/0000802
L/R	Left to Right; Right to Left.	FG	0000803	https://w3id.org/fair-genomes/resource/0000803
L/H	Left to Superior; Superior to Left.	FG	0000804	https://w3id.org/fair-genomes/resource/0000804
L/F	Left to Inferior; Inferior to Left.	FG	0000805	https://w3id.org/fair-genomes/resource/0000805
R/A	Right to Anterior; Anterior to Right.	FG	0000806	https://w3id.org/fair-genomes/resource/0000806
R/P	Right to Posterior; Posterior to Right.	FG	0000807	https://w3id.org/fair-genomes/resource/0000807
R/L	Right to Left; Left to Right.	FG	0000808	https://w3id.org/fair-genomes/resource/0000808
R/R	Right to Right; Right to Right.	FG	0000809	https://w3id.org/fair-genomes/resource/0000809
R/H	Right to Superior; Superior to Right.	FG	0000810	https://w3id.org/fair-genomes/resource/0000810
R/F	Right to Inferior; Inferior to Right.	FG	0000811	https://w3id.org/fair-genomes/resource/0000811
H/A	Superior to Anterior; Anterior to Superior.	FG	0000812	https://w3id.org/fair-genomes/resource/0000812
H/P	Superior to Posterior; Posterior to Superior.	FG	0000813	https://w3id.org/fair-genomes/resource/0000813
H/L	Superior to Left; Left to Superior.	FG	0000814	https://w3id.org/fair-genomes/resource/0000814
H/R	Superior to Right; Right to Superior.	FG	0000815	https://w3id.org/fair-genomes/resource/0000815
H/H	Superior to Superior; Superior to Superior.	FG	0000816	https://w3id.org/fair-genomes/resource/0000816
H/F	Superior to Inferior; Inferior to Superior.	FG	0000817	https://w3id.org/fair-genomes/resource/0000817
F/A	Inferior to Anterior; Anterior to Inferior.	FG	0000818	https://w3id.org/fair-genomes/resource/0000818
F/P	Inferior to Posterior; Posterior to Inferior.	FG	0000819	https://w3id.org/fair-genomes/resource/0000819
F/L	Inferior to Left; Left to Inferior.	FG	0000820	https://w3id.org/fair-genomes/resource/0000820
F/R	Inferior to Right; Right to Inferior.	FG	0000821	https://w3id.org/fair-genomes/resource/0000821
F/H	Inferior to Superior; Superior to Inferior.	FG	0000822	https://w3id.org/fair-genomes/resource/0000822
F/F	Inferior to Inferior; Inferior to Inferior.	FG	0000823	https://w3id.org/fair-genomes/resource/0000823
