value	description	codesystem	code	iri
454 Genome Sequence 20	454 Genome Sequence 20	OBI	0000689	http://purl.obolibrary.org/obo/OBI_0000689
AB SOLiD System	AB SOLiD System	OBI	0000696	http://purl.obolibrary.org/obo/OBI_0000696
454 Genome Sequencer FLX	454 Genome Sequencer FLX	OBI	0000702	http://purl.obolibrary.org/obo/OBI_0000702
Illumina Genome Analyzer II	Illumina Genome Analyzer II	OBI	0000703	http://purl.obolibrary.org/obo/OBI_0000703
HeliScope Single Molecule Sequencer	HeliScope Single Molecule Sequencer	OBI	0000717	http://purl.obolibrary.org/obo/OBI_0000717
Genome Analyzer IIx	Genome Analyzer IIx	OBI	0002000	http://purl.obolibrary.org/obo/OBI_0002000
Illumina HiSeq 2000	Illumina HiSeq 2000	OBI	0002001	http://purl.obolibrary.org/obo/OBI_0002001
Illumina HiSeq 2500	Illumina HiSeq 2500	OBI	0002002	http://purl.obolibrary.org/obo/OBI_0002002
MiSeq	MiSeq	OBI	0002003	http://purl.obolibrary.org/obo/OBI_0002003
SOLiD 3 Plus System	SOLiD 3 Plus System	OBI	0002007	http://purl.obolibrary.org/obo/OBI_0002007
PacBio RS II	PacBio RS II	OBI	0002012	http://purl.obolibrary.org/obo/OBI_0002012
NextSeq 500	NextSeq 500	OBI	0002021	http://purl.obolibrary.org/obo/OBI_0002021
Illumina HiSeq 1000	Illumina HiSeq 1000	OBI	0002022	http://purl.obolibrary.org/obo/OBI_0002022
SOLiD 4 System	SOLiD 4 System	OBI	0002024	http://purl.obolibrary.org/obo/OBI_0002024
Genome Analyzer IIe	Genome Analyzer IIe	OBI	0002027	http://purl.obolibrary.org/obo/OBI_0002027
Illumina HiSeq 3000	Illumina HiSeq 3000	OBI	0002048	http://purl.obolibrary.org/obo/OBI_0002048
Illumina HiSeq 4000	Illumina HiSeq 4000	OBI	0002049	http://purl.obolibrary.org/obo/OBI_0002049
SOLiD 4hq System	SOLiD 4hq System	GENEPIO	0001928	http://purl.obolibrary.org/obo/GENEPIO_0001928
SOLiD 5500	SOLiD 5500	GENEPIO	0001929	http://purl.obolibrary.org/obo/GENEPIO_0001929
SOLiD 5500xl	SOLiD 5500xl	GENEPIO	0001930	http://purl.obolibrary.org/obo/GENEPIO_0001930
SOLiD PI System	SOLiD PI System	GENEPIO	0001931	http://purl.obolibrary.org/obo/GENEPIO_0001931
SOLiD System 2.0	SOLiD System 2.0	GENEPIO	0001932	http://purl.obolibrary.org/obo/GENEPIO_0001932
SOLiD System 3.0	SOLiD System 3.0	GENEPIO	0001933	http://purl.obolibrary.org/obo/GENEPIO_0001933
Ion Torrent PGM	Ion Torrent PGM	GENEPIO	0001935	http://purl.obolibrary.org/obo/GENEPIO_0001935
454 Genome Sequencer FLX Titanium	454 Genome Sequencer FLX Titanium	GENEPIO	0001936	http://purl.obolibrary.org/obo/GENEPIO_0001936
454 Genome Sequencer	454 Genome Sequencer	GENEPIO	0001937	http://purl.obolibrary.org/obo/GENEPIO_0001937
454 Genome Sequencer Junior	454 Genome Sequencer Junior	GENEPIO	0001938	http://purl.obolibrary.org/obo/GENEPIO_0001938
Illumina HiSeq Sequencer	Illumina HiSeq Sequencer	GENEPIO	0001939	http://purl.obolibrary.org/obo/GENEPIO_0001939
Illumina HiSeq X Five	Illumina HiSeq X Five	FG	SIM1	https://fair-genomes.org/SIM1
Illumina HiSeq X Ten	Illumina HiSeq X Ten	FG	SIM2	https://fair-genomes.org/SIM2
Illumina MiniSeq	Illumina MiniSeq	FG	SIM3	https://fair-genomes.org/SIM3
Illumina iSeq 100	Illumina iSeq 100	FG	SIM4	https://fair-genomes.org/SIM4
Illumina NextSeq 550	Illumina NextSeq 550	FG	SIM5	https://fair-genomes.org/SIM5
Illumina NextSeq 2000	Illumina NextSeq 2000	FG	SIM6	https://fair-genomes.org/SIM6
Illumina NovaSeq 6000	Illumina NovaSeq 6000	FG	SIM7	https://fair-genomes.org/SIM7
Illumina NextSeq 1000	Illumina NextSeq 1000	FG	SIM8	https://fair-genomes.org/SIM8
Illumina NextSeq 550Dx	Illumina NextSeq 550Dx	FG	SIM9	https://fair-genomes.org/SIM9
Illumina MiSeqDx	Illumina MiSeqDx	FG	SIM10	https://fair-genomes.org/SIM10
Illumina MiSeq FGx	Illumina MiSeq FGx	FG	SIM11	https://fair-genomes.org/SIM11
