value	description	codesystem	code	iri
acid phosphatase stain	acid phosphatase stain	SNOMED-CT	255792001	http://snomed.info/id/255792001
Albert's stain	Albert's stain	SNOMED-CT	255793006	http://snomed.info/id/255793006
alcian blue 8GX stain	alcian blue 8GX stain	SNOMED-CT	4656000	http://snomed.info/id/4656000
alcohol soluble nigrosine stain	alcohol soluble nigrosine stain	SNOMED-CT	47795002	http://snomed.info/id/47795002
aldehyde fuchsin stain	aldehyde fuchsin stain	SNOMED-CT	406981005	http://snomed.info/id/406981005
alizarin blue S stain	alizarin blue S stain	SNOMED-CT	54432009	http://snomed.info/id/54432009
alizarin cyanine green stain	alizarin cyanine green stain	SNOMED-CT	21951008	http://snomed.info/id/21951008
alizarin red S stain	alizarin red S stain	SNOMED-CT	65580004	http://snomed.info/id/65580004
alizarin yellow GG stain	alizarin yellow GG stain	SNOMED-CT	27016007	http://snomed.info/id/27016007
alizarin yellow R stain	alizarin yellow R stain	SNOMED-CT	28622002	http://snomed.info/id/28622002
alkaline phosphatase stain	alkaline phosphatase stain	SNOMED-CT	406971006	http://snomed.info/id/406971006
aniline blue stain	aniline blue stain	SNOMED-CT	406990003	http://snomed.info/id/406990003
auramine stain	auramine stain	SNOMED-CT	255794000	http://snomed.info/id/255794000
azo black stain	azo black stain	SNOMED-CT	85066006	http://snomed.info/id/85066006
azocarmine G stain	azocarmine G stain	SNOMED-CT	76048000	http://snomed.info/id/76048000
azophloxin stain	azophloxin stain	SNOMED-CT	35609001	http://snomed.info/id/35609001
azorubin S stain	azorubin S stain	SNOMED-CT	2159007	http://snomed.info/id/2159007
azure A stain	azure A stain	SNOMED-CT	16836001	http://snomed.info/id/16836001
azure B stain	azure B stain	SNOMED-CT	8926000	http://snomed.info/id/8926000
azure C stain	azure C stain	SNOMED-CT	11069001	http://snomed.info/id/11069001
bauers chromic acid leucofuchsin stain	bauers chromic acid leucofuchsin stain	SNOMED-CT	406982003	http://snomed.info/id/406982003
benzo fast scarlet stain	benzo fast scarlet stain	SNOMED-CT	27844007	http://snomed.info/id/27844007
beta-glucuronidase stain	beta-glucuronidase stain	SNOMED-CT	255795004	http://snomed.info/id/255795004
biebrich scarlet stain	biebrich scarlet stain	SNOMED-CT	76605005	http://snomed.info/id/76605005
bismark brown R stain	bismark brown R stain	SNOMED-CT	41448008	http://snomed.info/id/41448008
bismark brown Y stain	bismark brown Y stain	SNOMED-CT	85190005	http://snomed.info/id/85190005
blue shade eosin stain	blue shade eosin stain	SNOMED-CT	1346008	http://snomed.info/id/1346008
brazilin stain	brazilin stain	SNOMED-CT	41750006	http://snomed.info/id/41750006
brilliant cresyl blue stain	brilliant cresyl blue stain	SNOMED-CT	8342001	http://snomed.info/id/8342001
brilliant crocein stain	brilliant crocein stain	SNOMED-CT	86541009	http://snomed.info/id/86541009
brilliant orange stain	brilliant orange stain	SNOMED-CT	8429000	http://snomed.info/id/8429000
brilliant yellow stain	brilliant yellow stain	SNOMED-CT	57753006	http://snomed.info/id/57753006
butyrate esterase stain	butyrate esterase stain	SNOMED-CT	406955006	http://snomed.info/id/406955006
carbol fuchsin stain	carbol fuchsin stain	SNOMED-CT	764166003	http://snomed.info/id/764166003
carmine stain	carmine stain	SNOMED-CT	73892005	http://snomed.info/id/73892005
carmimic acid stain	carmimic acid stain	SNOMED-CT	432003	http://snomed.info/id/432003
