value	description	codesystem	code	iri
PP tube 0.5–2mL (-85) to (-60)°C	Polypropylene tube 0.5–2mL at (-85) to (-60)°C	SPRECv3.0	A	https://www.isber.org/page/SPREC/v3.0/Storage/A
PP tube 0.5–2mL (-35) to (-18)°C	Polypropylene tube 0.5–2mL at (-35) to (-18)°C	SPRECv3.0	B	https://www.isber.org/page/SPREC/v3.0/Storage/B
PP tube 0.5–2mL <-135°C	Polypropylene tube 0.5–2mL at <-135°C, may correspond to liquid nitrogen vapor phase or to -150°C electrical freezer	SPRECv3.0	V	https://www.isber.org/page/SPREC/v3.0/Storage/V
Cryotube 1–2mL LN	Cryotube 1–2mL in liquid nitrogen, refers to either vapor or liquid phase	SPRECv3.0	C	https://www.isber.org/page/SPREC/v3.0/Storage/C
Cryotube 1–2mL (-85) to (-60)°C	Cryotube 1–2mL at (-85) to (-60)°C	SPRECv3.0	D	https://www.isber.org/page/SPREC/v3.0/Storage/D
Cryotube 1–2mL Programmable freezing to <-135°C	Cryotube 1–2mL at programmable freezing to <-135°C, may correspond to liquid nitrogen vapor phase or to -150°C electrical freezer	SPRECv3.0	E	https://www.isber.org/page/SPREC/v3.0/Storage/E
Plastic cryo straw LN	Plastic cryo straw in liquid nitrogen, refers to either vapor or liquid phase	SPRECv3.0	F	https://www.isber.org/page/SPREC/v3.0/Storage/F
Straw (-85) to (-60)°C	Straw at (-85) to (-60)°C	SPRECv3.0	G	https://www.isber.org/page/SPREC/v3.0/Storage/G
Straw (-35) to (-18)°C	Straw at (-35) to (-18)°C	SPRECv3.0	H	https://www.isber.org/page/SPREC/v3.0/Storage/H
Straw Programmable freezing to <-135°C	Straw at programmable freezing to <-135°C, may correspond to liquid nitrogen vapor phase or to -150°C electrical freezer	SPRECv3.0	I	https://www.isber.org/page/SPREC/v3.0/Storage/I
PP tube ≥5mL (-85) to (-60)°C	Polypropylene tube ≥5mL at (-85) to (-60)°C	SPRECv3.0	J	https://www.isber.org/page/SPREC/v3.0/Storage/J
PP tube ≥5mL (-35) to (-18)°C	Polypropylene tube ≥5mL at (-35) to (-18)°C	SPRECv3.0	K	https://www.isber.org/page/SPREC/v3.0/Storage/K
Microplate well (-85) to (-60)°C	Microplate well at (-85) to (-60)°C	SPRECv3.0	L	https://www.isber.org/page/SPREC/v3.0/Storage/L
Microplate well (-35) to (-18)°C	Microplate well at (-35) to (-18)°C	SPRECv3.0	M	https://www.isber.org/page/SPREC/v3.0/Storage/M
Cryotube 1–2mL LN after temporary (-85) to (-60)°C	Cryotube 1–2mL in liquid nitrogen, refers to either vapor or liquid phase, after temporary (-85) to (-60)°C	SPRECv3.0	N	https://www.isber.org/page/SPREC/v3.0/Storage/N
Straw LN after temporary (-85) to (-60)°C	Straw in liquid nitrogen, refers to either vapor or liquid phase, after temporary (-85) to (-60)°C	SPRECv3.0	O	https://www.isber.org/page/SPREC/v3.0/Storage/O
Paraffin block RT or 2 to 10°C	Paraffin block at room temperature or 2 to 10°C	SPRECv3.0	P	https://www.isber.org/page/SPREC/v3.0/Storage/P
Paraffin block (-35) to (-18)°C	Paraffin block at (-35) to (-18)°C	SPRECv3.0	U	https://www.isber.org/page/SPREC/v3.0/Storage/U
Bag LN	Bag in liquid nitrogen, refers to either vapor or liquid phase	SPRECv3.0	Q	https://www.isber.org/page/SPREC/v3.0/Storage/Q
Dry technology medium RT	Dry technology medium at room temperature	SPRECv3.0	R	https://www.isber.org/page/SPREC/v3.0/Storage/R
PP tube 40–500 μL (-85) to (-60)°C	Polypropylene tube 40–500 μL at (-85) to (-60)°C	SPRECv3.0	S	https://www.isber.org/page/SPREC/v3.0/Storage/S
PP tube 40–500 μL (-35) to (-18)°C	Polypropylene tube 40–500 μL at (-35) to (-18)°C	SPRECv3.0	T	https://www.isber.org/page/SPREC/v3.0/Storage/T
PP tube 40–500 μL <-135°C	Polypropylene tube 40–500 μL at <-135°C, may correspond to liquid nitrogen vapor phase or to -150°C electrical freezer	SPRECv3.0	W	https://www.isber.org/page/SPREC/v3.0/Storage/W
Original primary container (-35) to (-18)°C or (-85) to (-60)°C	Original primary container at (-35) to (-18)°C or (-85) to (-60)°C	SPRECv3.0	Y	https://www.isber.org/page/SPREC/v3.0/Storage/Y
Unknown	Unknown	SPRECv3.0	X	https://www.isber.org/page/SPREC/v3.0/Storage/X
Other	Other	SPRECv3.0	Z	https://www.isber.org/page/SPREC/v3.0/Storage/Z
