value_en	description_en	codesystem	code	description_code	iri
sesamoid bone of pes	sesamoid bone of pes	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0008000
submucosa of small intestine	submucosa of small intestine	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0001205
deep artery of penis	deep artery of penis	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0008321
M. coracoradialis	M. coracoradialis	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	3010725
musculotendinous bundle	musculotendinous bundle	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	4200218
dermatological-muscosal system	dermatological-muscosal system	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0012125
perichondrium	perichondrium	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0002222
peritoneal vaginal process	peritoneal vaginal process	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0005344
blood vessel layer of choroid	blood vessel layer of choroid	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0013399
eyelid gland	eyelid gland	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0013229
ossified transcapular ligament	ossified transcapular ligament	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	2001684
parapophysis	parapophysis	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0003109
olfactory cortex layer 3	olfactory cortex layer 3	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0035044
anterior superior frontal sulcus	anterior superior frontal sulcus	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0027716
molariform tooth	molariform tooth	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0013164
anterior neural rod	anterior neural rod	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	2007031
medial zone of hypothalamus	medial zone of hypothalamus	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0002272
cardiogenic plate	cardiogenic plate	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0004139
olfactory cortex layer 1	olfactory cortex layer 1	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0022317
olfactory cortex layer 2	olfactory cortex layer 2	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0022318
ureter smooth muscle	ureter smooth muscle	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0009919
common iliac vein	common iliac vein	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0001139
intrinsic muscle	intrinsic muscle	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0035112
ventricular system choroidal fissure	ventricular system choroidal fissure	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0002192
taenia marginalis anterior	taenia marginalis anterior	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	2001505
anterior ectoderm derivative	anterior ectoderm derivative	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	6025991
koniocortex	koniocortex	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0013589
theca externa	theca externa	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0000156
outer digits of pes	outer digits of pes	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	4200109
ventrolateral sulcus of medulla oblongata	ventrolateral sulcus of medulla oblongata	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0008335
rostral parvocellular preoptic nucleus	rostral parvocellular preoptic nucleus	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	2000426
sternebral bone pre-cartilage condensation	sternebral bone pre-cartilage condensation	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0006295
femoral vein	femoral vein	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0001361
anal fin skeleton	anal fin skeleton	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	4000166
submucosa of biliary tree	submucosa of biliary tree	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0004938
palatoglossus muscle	palatoglossus muscle	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0001574
bone marrow	bone marrow	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0002371
lateral mesethmoid wing	lateral mesethmoid wing	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	2001747
alimentary part of gastrointestinal system	alimentary part of gastrointestinal system	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0005409
pisiform	pisiform	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0001429
plantaris	plantaris	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0011905
spinal cord white commissure	spinal cord white commissure	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0007838
lobe of lacrimal gland	lobe of lacrimal gland	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0019326
anterior wall of left ventricle	anterior wall of left ventricle	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0036288
stegural	stegural	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	2002167
triangular part of inferior frontal gyrus	triangular part of inferior frontal gyrus	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0002629
bilaminar disc	bilaminar disc	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0000091
auditory ossicle bone	auditory ossicle bone	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0001686
sphenoid region	sphenoid region	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0003111
bone tissue of distal epiphysis	bone tissue of distal epiphysis	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0004401
pelvic appendage field	pelvic appendage field	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0005730
prostate epithelium	prostate epithelium	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0000428
dorsal fin distal radial element 6	dorsal fin distal radial element 6	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	2105377
manual digit 2 digitopodial skeleton	manual digit 2 digitopodial skeleton	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	5103622
dorsal fin distal radial element 7	dorsal fin distal radial element 7	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	2105378
mesethmoid-premaxillary ligament	mesethmoid-premaxillary ligament	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	2001945
dorsal fin distal radial element 4	dorsal fin distal radial element 4	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	2105375
epithelial lining fluid	epithelial lining fluid	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0035963
dorsal fin distal radial element 5	dorsal fin distal radial element 5	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	2105376
pretectal nucleus	pretectal nucleus	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0014450
upper premolar tooth	upper premolar tooth	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0016944
dorsal fin distal radial element 8	dorsal fin distal radial element 8	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	2105379
skeleton	skeleton	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0004288
paired fin radial bone	paired fin radial bone	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	1500006
terminal nerve	terminal nerve	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0002924
Ongur, Price, and Ferry (2003) area 32	Ongur, Price, and Ferry (2003) area 32	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0028424
forelimb zeugopod bone	forelimb zeugopod bone	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0003466
stylohyoid muscle	stylohyoid muscle	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0008712
major calyx	major calyx	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0001226
spleen follicular dendritic cell network	spleen follicular dendritic cell network	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0010756
cervical loop	cervical loop	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0006949
tusk	tusk	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0010879
