value_en	description_en	codesystem	code	description_code	iri
cdsxml	cdsxml	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2184
BioXSD (XML)	BioXSD (XML)	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2352
Phylip tree distance format	Phylip tree distance format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1445
BioPAX	BioPAX	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3156
Sequence profile format	Sequence profile format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2069
Nexus format	Nexus format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1912
SBGN-ML	SBGN-ML	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3692
SBML	SBML	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2585
selex	selex	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2000
pure dna	pure dna	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1215
GenBank format	GenBank format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1936
Mass spectrometry data format	Mass spectrometry data format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3245
BioPAX Manchester OWL Syntax format	BioPAX Manchester OWL Syntax format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	SWO	SWO_3000056
ambiguous	ambiguous	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2097
PRIDE XML	PRIDE XML	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3684
Ontology format	Ontology format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2195
SDF	SDF	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3814
ebwt	ebwt	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3484
affymetrix	affymetrix	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1639
Binary format	Binary format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2333
FieldML	FieldML	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	SWO	SWO_3000075
pepXML	pepXML	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3655
BCF	BCF	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3020
GML	GML	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3822
raw	raw	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1957
unambiguous pure rna sequence	unambiguous pure rna sequence	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1216
Phylip distance matrix	Phylip distance matrix	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1423
AB1	AB1	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3000
netCDF	netCDF	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3650
cdt	cdt	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	SWO	SWO_0000493
Sequence feature table format (text)	Sequence feature table format (text)	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2206
FASTA-like (text)	FASTA-like (text)	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2200
mzML	mzML	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3244
mega	mega	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1991
Pcons report format	Pcons report format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1551
BioC	BioC	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3782
bedstrict	bedstrict	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3584
ABI	ABI	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1628
OBO format	OBO format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2196
plain text file format	plain text file format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	SWO	SWO_3000043
SBOL	SBOL	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3725
cel	cel	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1638
mega variant	mega variant	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2923
Sequence trace format	Sequence trace format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2057
SFF	SFF	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3284
rcc	rcc	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3580
ZTR	ZTR	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3018
Chemical formula format	Chemical formula format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2035
Nucleic acid features (restriction sites) format	Nucleic acid features (restriction sites) format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2158
BED	BED	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3003
InterPro protein view report format	InterPro protein view report format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1342
GFF3-seq	GFF3-seq	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1939
xlsx	xlsx	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3620
dhf	dhf	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1336
ACE	ACE	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3001
Thermo RAW	Thermo RAW	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3712
CATH domain report format	CATH domain report format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3100
FASTA-like	FASTA-like	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2546
BEL	BEL	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3691
GPML	GPML	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3657
SMILES	SMILES	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1196
scores format	scores format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1999
.fastq	.fastq	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1930
Sequence cluster format	Sequence cluster format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2170
rda	rda	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	SWO	SWO_0000684
CT	CT	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3309
SBRML	SBRML	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3155
Phylogenetic discrete states format	Phylogenetic discrete states format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2038
xpm	xpm	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3599
PMML	PMML	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3726
EMBOSS simple format	EMBOSS simple format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2001
uniprotkb-like format	uniprotkb-like format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2547
qualillumina	qualillumina	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3609
LocARNA PP	LocARNA PP	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3728
unambiguous pure nucleotide	unambiguous pure nucleotide	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1211
completely unambiguous	completely unambiguous	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2566
GPR	GPR	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3829
spML	spML	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3250
CHP	CHP	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1644
MEME Dirichlet prior	MEME Dirichlet prior	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1350
FASTQ	FASTQ	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1930
latex	latex	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3817
mzTab	mzTab	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3681
UniProtKB RDF	UniProtKB RDF	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3771
FASTG	FASTG	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3823
qualsolid	qualsolid	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3610
SED-ML	SED-ML	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3685
hssp	hssp	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1455
FASTA	FASTA	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1929
arff	arff	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3581
Turtle	Turtle	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3255
EMBOSS repeat	EMBOSS repeat	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1297
Sequence motif format	Sequence motif format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2068
Protein structure report (quality evaluation) format	Protein structure report (quality evaluation) format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2065
markx10	markx10	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1987
pptx	pptx	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3838
HMMER Dirichlet prior	HMMER Dirichlet prior	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1349
SIF	SIF	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	SWO	SWO_3000049
Sequence assembly format (text)	Sequence assembly format (text)	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2561
GTrack	GTrack	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3164
pbm	pbm	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3601
STRING entry format (XML)	STRING entry format (XML)	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2304
Phylogenetic tree report (invariants) format	Phylogenetic tree report (invariants) format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2040
Vienna local RNA secondary structure format	Vienna local RNA secondary structure format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1458
Query language	Query language	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3787
CRAM	CRAM	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3462
Textual format	Textual format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2330
xsd	xsd	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3804
InChI	InChI	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1197
BedGraph	BedGraph	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	SWO	SWO_3000072
JSON	JSON	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3464
Sequence-profile alignment format	Sequence-profile alignment format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2014
rgb	rgb	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3600
JASPAR format	JASPAR format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1367
PDB	PDB	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1476
pcd	pcd	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3594
Alignment format (text)	Alignment format (text)	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2554
sif	sif	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3619
JSON-LD	JSON-LD	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3749
findkm	findkm	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1582
PDF	PDF	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3508
CHP binary format	CHP binary format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	SWO	SWO_1100122
SDF format	SDF format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	SWO	SWO_0000381
GenBank-like format	GenBank-like format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2559
RNA secondary structure format	RNA secondary structure format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2076
OBO	OBO	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2549
markx0 variant	markx0 variant	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2922
afg	afg	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3582
PubTator format	PubTator format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3783
pcx	pcx	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3595
rast	rast	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3605
.sam	.sam	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2573
AGP	AGP	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3693
Map format	Map format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2060
qual454	qual454	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3611
PED	PED	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3286
consensusXML	consensusXML	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3832
.wig	.wig	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3005
BIOM format	BIOM format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3746
mira	mira	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1629
unpure	unpure	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2095
GTF	GTF	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2306
unambiguous pure protein	unambiguous pure protein	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1218
FASTA search results format	FASTA search results format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1332
fitch program	fitch program	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1934
affymetrix-exp	affymetrix-exp	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1641
UniProtKB format	UniProtKB format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1963
Microarray experiment data format	Microarray experiment data format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2056
EPS	EPS	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3466
idXML	idXML	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3764
Medline Display Format	Medline Display Format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1735
OWL/XML	OWL/XML	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3262
PSI MI XML (MIF)	PSI MI XML (MIF)	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3158
genePred	genePred	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3011
Tab delimited file format	Tab delimited file format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	SWO	SWO_3000046
Pileup	Pileup	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3015
jackknifernon	jackknifernon	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1970
mzXML	mzXML	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3654
3D-1D scoring matrix format	3D-1D scoring matrix format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_2064
tabix	tabix	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3616
dna	dna	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1212
Phylip character frequencies format	Phylip character frequencies format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1432
ig	ig	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1942
Image format	Image format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3547
Gemini SQLite format	Gemini SQLite format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3622
meganon	meganon	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1992
PHYLIP format	PHYLIP format	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1997
im	im	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_3593
gtr	gtr	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	SWO	SWO_0000569
