value_en	description_en	codesystem	code	description_code	iri
Rubella panencephalitis	Rubella panencephalitis	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	83616
Genetic neurological muscular channelopathy	Genetic neurological muscular channelopathy	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	98737
Spinocerebellar ataxia type 31	Spinocerebellar ataxia type 31	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	217012
Unilateral hemispheric polymicrogyria	Unilateral hemispheric polymicrogyria	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	101071
Spinocerebellar ataxia type 32	Spinocerebellar ataxia type 32	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	276183
Acquired pituitary hormone deficiency	Acquired pituitary hormone deficiency	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	95502
Immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections-lymphopenia syndrome	Immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections-lymphopenia syndrome	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	529977
Spinocerebellar ataxia type 34	Spinocerebellar ataxia type 34	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	1955
Spinocerebellar ataxia type 35	Spinocerebellar ataxia type 35	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	276193
Spinocerebellar ataxia type 36	Spinocerebellar ataxia type 36	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	276198
Rare biliary tract disease	Rare biliary tract disease	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	101941
Lenz-Majewski hyperostotic dwarfism	Lenz-Majewski hyperostotic dwarfism	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	2658
Spinocerebellar ataxia type 37	Spinocerebellar ataxia type 37	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	363710
Spinocerebellar ataxia type 38	Spinocerebellar ataxia type 38	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	423296
Disorder of methionine cycle and sulfur amino acid metabolism	Disorder of methionine cycle and sulfur amino acid metabolism	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	79173
Pheochromocytoma-paraganglioma	Pheochromocytoma-paraganglioma	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	573163
Benign cephalic histiocytosis	Benign cephalic histiocytosis	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	157997
Protein S acquired deficiency	Protein S acquired deficiency	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	26349
Non-syndromic preaxial polydactyly	Non-syndromic preaxial polydactyly	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	498464
Primary qualitative or quantitative defects of alpha-dystroglycan	Primary qualitative or quantitative defects of alpha-dystroglycan	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	371040
Usher syndrome	Usher syndrome	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	886
Acyl-CoA dehydrogenase 9 deficiency	Acyl-CoA dehydrogenase 9 deficiency	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	99901
Microcephaly-lymphedema-chorioretinopathy syndrome	Microcephaly-lymphedema-chorioretinopathy syndrome	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	2526
Rhizomelic syndrome, Urbach type	Rhizomelic syndrome, Urbach type	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	3098
Spinocerebellar ataxia type 30	Spinocerebellar ataxia type 30	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	211017
46,XY ovotesticular disorder of sex development	46,XY ovotesticular disorder of sex development	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	325345
Genetic intestinal polyposis	Genetic intestinal polyposis	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	363314
Late-onset distal myopathy, Markesbery-Griggs type	Late-onset distal myopathy, Markesbery-Griggs type	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	98912
Charlie M syndrome	Charlie M syndrome	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	1406
Familial dilated cardiomyopathy with conduction defect due to LMNA mutation	Familial dilated cardiomyopathy with conduction defect due to LMNA mutation	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	300751
Spinocerebellar ataxia type 28	Spinocerebellar ataxia type 28	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	101109
Monoamine oxidase A deficiency	Monoamine oxidase A deficiency	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	3057
Spinocerebellar ataxia type 29	Spinocerebellar ataxia type 29	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	208513
Familial intrahepatic cholestasis	Familial intrahepatic cholestasis	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	284385
Thymic carcinoma	Thymic carcinoma	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	99868
Ring chromosome 12 syndrome	Ring chromosome 12 syndrome	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	1439
Tessier number 6 facial cleft	Tessier number 6 facial cleft	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	141265
Severe neonatal lactic acidosis due to NFS1-ISD11 complex deficiency	Severe neonatal lactic acidosis due to NFS1-ISD11 complex deficiency	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	397593
Spinocerebellar ataxia type 20	Spinocerebellar ataxia type 20	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	101110
Okihiro syndrome due to 20q13 microdeletion	Okihiro syndrome due to 20q13 microdeletion	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	261638
Spinocerebellar ataxia type 21	Spinocerebellar ataxia type 21	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	98773
Spinocerebellar ataxia type 22	Spinocerebellar ataxia type 22	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	101107
Partial pancreatic agenesis	Partial pancreatic agenesis	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	2805
Spinocerebellar ataxia type 23	Spinocerebellar ataxia type 23	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	101108
Williams-Campbell syndrome	Williams-Campbell syndrome	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	411501
Steroid dehydrogenase deficiency-dental anomalies syndrome	Steroid dehydrogenase deficiency-dental anomalies syndrome	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	3196
Spinocerebellar ataxia type 25	Spinocerebellar ataxia type 25	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	101111
Spinocerebellar ataxia type 26	Spinocerebellar ataxia type 26	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	101112
Hypertrichosis cubiti	Hypertrichosis cubiti	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	2220
Spinocerebellar ataxia type 27	Spinocerebellar ataxia type 27	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	98764
Rare disease with odontological manifestation	Rare disease with odontological manifestation	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	98027
X-linked complicated corpus callosum dysgenesis	X-linked complicated corpus callosum dysgenesis	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	1497
Oligodontia-cancer predisposition syndrome	Oligodontia-cancer predisposition syndrome	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	300576
Distal monosomy 1q	Distal monosomy 1q	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	36367
Tibio-fibular synostosis	Tibio-fibular synostosis	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	295028
Familial papillary or follicular thyroid carcinoma	Familial papillary or follicular thyroid carcinoma	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	319487
Conductive deafness-ptosis-skeletal anomalies syndrome	Conductive deafness-ptosis-skeletal anomalies syndrome	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	3236
Bicornuate uterus	Bicornuate uterus	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	180134
Hereditary hypercarotenemia and vitamin A deficiency	Hereditary hypercarotenemia and vitamin A deficiency	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	199285
Congenital abducens nerve palsy	Congenital abducens nerve palsy	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	440233
Primary immunodeficiency with post-measles-mumps-rubella vaccine viral infection	Primary immunodeficiency with post-measles-mumps-rubella vaccine viral infection	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	431166
Double uterus-hemivagina-renal agenesis syndrome	Double uterus-hemivagina-renal agenesis syndrome	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	3411
Syndactyly-telecanthus-anogenital and renal malformations syndrome	Syndactyly-telecanthus-anogenital and renal malformations syndrome	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	140952
Autosomal recessive spastic ataxia	Autosomal recessive spastic ataxia	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	316240
NON RARE IN EUROPE: Psoriatic arthritis	NON RARE IN EUROPE: Psoriatic arthritis	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	40050
Hydroa vacciniforme-like lymphoma	Hydroa vacciniforme-like lymphoma	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	364039
DOCK2 deficiency	DOCK2 deficiency	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	447737
Rare parathyroid tumor	Rare parathyroid tumor	A diagnosis made from a study of the signs and symptoms of a disease.	Orphanet	100090
