value_en	description_en	codesystem	code	description_code	iri
Identical Twin Sister	Identical Twin Sister	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C165849
Identical Twin Brother	Identical Twin Brother	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C165848
Biological Daughter	Biological Daughter	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C150887
Biological Paternal Grandmother	Biological Paternal Grandmother	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C96584
Half-brother with Mother as Common Parent	Half-brother with Mother as Common Parent	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C96656
Great Grandchild	Great Grandchild	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C165847
Great Niece	Great Niece	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C165846
Half-brother with Father as Common Parent	Half-brother with Father as Common Parent	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C96655
Biological Son	Biological Son	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C150888
Full Sister	Full Sister	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C111202
Biological Maternal Cousin	Biological Maternal Cousin	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C96576
Biological Maternal Grandmother	Biological Maternal Grandmother	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C96578
Grandson	Grandson	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C71398
Nephew	Nephew	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C71409
Paternal Great Uncle	Paternal Great Uncle	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C165857
Biological Paternal Cousin	Biological Paternal Cousin	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C96582
Fraternal Twin Brother	Fraternal Twin Brother	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C165796
Maternal Great Grandparent	Maternal Great Grandparent	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C166127
Biological Father	Biological Father	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C96572
Biological Paternal Aunt	Biological Paternal Aunt	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C96581
Full Brother	Full Brother	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C111201
Maternal Great Uncle	Maternal Great Uncle	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C165854
Biological Maternal Grandfather	Biological Maternal Grandfather	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C96577
Great Nephew	Great Nephew	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C165798
Biological Maternal Aunt	Biological Maternal Aunt	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C96575
Biological Paternal Uncle	Biological Paternal Uncle	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C96585
Descendent	Descendent	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C42674
Half-sister with Father as Common Parent	Half-sister with Father as Common Parent	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C96657
Biological Paternal Grandfather	Biological Paternal Grandfather	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C96583
Granddaughter	Granddaughter	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C71399
Niece	Niece	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C71408
Paternal Great Grandparent	Paternal Great Grandparent	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C166128
Half-sister with Mother as Common Parent	Half-sister with Mother as Common Parent	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C96658
Fraternal Twin Sister	Fraternal Twin Sister	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C165797
Paternal First Cousin Once Removed	Paternal First Cousin Once Removed	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C165852
Maternal Great Aunt	Maternal Great Aunt	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C165853
Biological Maternal Uncle	Biological Maternal Uncle	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C96579
Ancestor	Ancestor	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C42609
Maternal First Cousin Once Removed	Maternal First Cousin Once Removed	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C165851
Paternal Great Aunt	Paternal Great Aunt	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C165856
Biological Mother	Biological Mother	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C96580
