value_en	description_en	codesystem	code	description_code	iri
HTR4	HTR4	Gene affected by pathogenic variation that is causal for disease of the patient.	HGNC	5299
CRHBP	CRHBP	Gene affected by pathogenic variation that is causal for disease of the patient.	HGNC	2356
HTR6	HTR6	Gene affected by pathogenic variation that is causal for disease of the patient.	HGNC	5301
HTR7	HTR7	Gene affected by pathogenic variation that is causal for disease of the patient.	HGNC	5302
LURAP1L	LURAP1L	Gene affected by pathogenic variation that is causal for disease of the patient.	HGNC	31452
BBX	BBX	Gene affected by pathogenic variation that is causal for disease of the patient.	HGNC	14422
GSTK1	GSTK1	Gene affected by pathogenic variation that is causal for disease of the patient.	HGNC	16906
WDR83OS	WDR83OS	Gene affected by pathogenic variation that is causal for disease of the patient.	HGNC	30203
DHDH	DHDH	Gene affected by pathogenic variation that is causal for disease of the patient.	HGNC	17887
INSYN1	INSYN1	Gene affected by pathogenic variation that is causal for disease of the patient.	HGNC	33753
BCR	BCR	Gene affected by pathogenic variation that is causal for disease of the patient.	HGNC	1014
ORAI3	ORAI3	Gene affected by pathogenic variation that is causal for disease of the patient.	HGNC	28185
AGTR1	AGTR1	Gene affected by pathogenic variation that is causal for disease of the patient.	HGNC	336
ORAI2	ORAI2	Gene affected by pathogenic variation that is causal for disease of the patient.	HGNC	21667
ORAI1	ORAI1	Gene affected by pathogenic variation that is causal for disease of the patient.	HGNC	25896
VOPP1	VOPP1	Gene affected by pathogenic variation that is causal for disease of the patient.	HGNC	34518
AGTR2	AGTR2	Gene affected by pathogenic variation that is causal for disease of the patient.	HGNC	338
HOATZ	HOATZ	Gene affected by pathogenic variation that is causal for disease of the patient.	HGNC	25061
CLEC20A	CLEC20A	Gene affected by pathogenic variation that is causal for disease of the patient.	HGNC	34521
COL13A1	COL13A1	Gene affected by pathogenic variation that is causal for disease of the patient.	HGNC	2190
SHMT2	SHMT2	Gene affected by pathogenic variation that is causal for disease of the patient.	HGNC	10852
SHMT1	SHMT1	Gene affected by pathogenic variation that is causal for disease of the patient.	HGNC	10850
B3GLCT	B3GLCT	Gene affected by pathogenic variation that is causal for disease of the patient.	HGNC	20207
RDH12	RDH12	Gene affected by pathogenic variation that is causal for disease of the patient.	HGNC	19977
RDH11	RDH11	Gene affected by pathogenic variation that is causal for disease of the patient.	HGNC	17964
RDH10	RDH10	Gene affected by pathogenic variation that is causal for disease of the patient.	HGNC	19975
RDH16	RDH16	Gene affected by pathogenic variation that is causal for disease of the patient.	HGNC	29674
RDH14	RDH14	Gene affected by pathogenic variation that is causal for disease of the patient.	HGNC	19979
RDH13	RDH13	Gene affected by pathogenic variation that is causal for disease of the patient.	HGNC	19978
GTF2IRD2B	GTF2IRD2B	Gene affected by pathogenic variation that is causal for disease of the patient.	HGNC	33125
GSTM4	GSTM4	Gene affected by pathogenic variation that is causal for disease of the patient.	HGNC	4636
GSTM3	GSTM3	Gene affected by pathogenic variation that is causal for disease of the patient.	HGNC	4635
GSTM2	GSTM2	Gene affected by pathogenic variation that is causal for disease of the patient.	HGNC	4634
