value_en	description_en	codesystem	code	description_code	iri
Urine	Urine	Material distinguishable as an identifiable class based on common qualities.	MIABIS-2.0-14	material-type#Urine
Plasma	Plasma	Material distinguishable as an identifiable class based on common qualities.	MIABIS-2.0-14	material-type#Plasma
RNA	RNA	Material distinguishable as an identifiable class based on common qualities.	MIABIS-2.0-14	material-type#RNA
Immortalized Cell Lines	Immortalized Cell Lines	Material distinguishable as an identifiable class based on common qualities.	MIABIS-2.0-14	material-type#Immortalized Cell Lines
Blood	Blood	Material distinguishable as an identifiable class based on common qualities.	MIABIS-2.0-14	material-type#Blood
Isolated Pathogen	Isolated Pathogen	Material distinguishable as an identifiable class based on common qualities.	MIABIS-2.0-14	material-type#Isolated Pathogen
Tissue (FFPE)	Tissue (FFPE)	Material distinguishable as an identifiable class based on common qualities.	MIABIS-2.0-14	material-type#Tissue (FFPE)
Tissue (Frozen)	Tissue (Frozen)	Material distinguishable as an identifiable class based on common qualities.	MIABIS-2.0-14	material-type#Tissue (Frozen)
DNA	DNA	Material distinguishable as an identifiable class based on common qualities.	MIABIS-2.0-14	material-type#DNA
Serum	Serum	Material distinguishable as an identifiable class based on common qualities.	MIABIS-2.0-14	material-type#Serum
Saliva	Saliva	Material distinguishable as an identifiable class based on common qualities.	MIABIS-2.0-14	material-type#Saliva
Faeces	Faeces	Material distinguishable as an identifiable class based on common qualities.	MIABIS-2.0-14	material-type#Faeces
Other	Other	Material distinguishable as an identifiable class based on common qualities.	MIABIS-2.0-14	material-type#Other
