value_en	description_en	codesystem	code	description_code	iri
Heart Valve Repair	Heart Valve Repair	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C50818
Hair Removal	Hair Removal	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C157869
Total Abdominal Hysterectomy with Bilateral Salpingo-Oophorectomy	Total Abdominal Hysterectomy with Bilateral Salpingo-Oophorectomy	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C51761
Transmetatarsal Amputation of Foot	Transmetatarsal Amputation of Foot	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C51938
construction of penis	construction of penis	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	GSSO	001645
abdominal phalloplasty	abdominal phalloplasty	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	GSSO	001731
Incidental Appendectomy	Incidental Appendectomy	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C51888
Bilateral Nephrectomy	Bilateral Nephrectomy	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C94459
Parathyroidectomy	Parathyroidectomy	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C51593
Perineal Prostatectomy	Perineal Prostatectomy	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C15400
Unknown if Chief Complaint Caused by Trauma	Unknown if Chief Complaint Caused by Trauma	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C168476
orchiopexy	orchiopexy	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	GSSO	001639
vulvoplasty	vulvoplasty	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	GSSO	009702
Percutaneous Endoscopic Gastrostomy	Percutaneous Endoscopic Gastrostomy	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C106040
Hair Replacement	Hair Replacement	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C157870
Percutaneous Thrombectomy	Percutaneous Thrombectomy	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C157951
Transhiatal Esophagectomy	Transhiatal Esophagectomy	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C140888
Retroperitoneal Lymph Node Dissection	Retroperitoneal Lymph Node Dissection	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C48184
Intentional Left Cardiac Atrial Appendage Occlusion Procedure	Intentional Left Cardiac Atrial Appendage Occlusion Procedure	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C99965
Bilateral Oophorectomy	Bilateral Oophorectomy	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C51590
DIEP Flap	DIEP Flap	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C93318
Repeat Cesarean Birth	Repeat Cesarean Birth	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C114140
Modified Radical Neck Dissection	Modified Radical Neck Dissection	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C51904
Sternotomy	Sternotomy	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C25220
excision of vulva	excision of vulva	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	GSSO	006735
Re-Excision	Re-Excision	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C48600
ligation surgery	ligation surgery	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	GSSO	006708
Known History of Allergy to Medication	Known History of Allergy to Medication	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C168298
Valvular Surgery	Valvular Surgery	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C157742
Personal Medical History	Personal Medical History	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C18772
Stenting	Stenting	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C71316
masculinizing chest contouring surgery	masculinizing chest contouring surgery	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	GSSO	002034
History of Peripheral Vascular Disease	History of Peripheral Vascular Disease	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C66923
Adrenalectomy	Adrenalectomy	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C15177
Debridement	Debridement	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C51682
Transoral Robotic Surgery	Transoral Robotic Surgery	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C94439
integumentary system surgical procedure	integumentary system surgical procedure	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	GSSO	002322
Melanoma Surgery	Melanoma Surgery	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C157920
masculinizing intersex surgery	masculinizing intersex surgery	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	GSSO	001633
Cardiovascular History	Cardiovascular History	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C66921
Discectomy	Discectomy	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C21009
Radical Perineal Prostatectomy	Radical Perineal Prostatectomy	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C94451
clitoridectomy	clitoridectomy	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	GSSO	001702
Inguinal Lymphadenectomy	Inguinal Lymphadenectomy	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C51619
urethral surgical procedure	urethral surgical procedure	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	GSSO	001640
