value_en	description_en	codesystem	code	description_code	iri
SureSelect RNA 0.5-2.9Mb,16,RO by Agilent Technologies	SureSelect RNA 0.5-2.9Mb,16,RO by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT304
SureSelectXT RNA Reagent kit, ILM, 16 by Agilent Technologies	SureSelectXT RNA Reagent kit, ILM, 16 by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT187
SSEL XT Focused Exome Plus 2, 96 auto by Agilent Technologies	SSEL XT Focused Exome Plus 2, 96 auto by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT525
HaloPlex Exome, ILM, 16 by Agilent Technologies	HaloPlex Exome, ILM, 16 by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT579
OneSeq 1Mb CNV Backbone+1-499Kb, 96 by Agilent Technologies	OneSeq 1Mb CNV Backbone+1-499Kb, 96 by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT539
SureSelectXT DNA Kinome, 16 samples. Add by Agilent Technologies	SureSelectXT DNA Kinome, 16 samples. Add by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT212
SSel XT HS 17-32 + 6-11.9 Mb, 16rxn by Agilent Technologies	SSel XT HS 17-32 + 6-11.9 Mb, 16rxn by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT366
SSEL XT2 Hu. AllExon V5+UTRs, 96, Auto by Agilent Technologies	SSEL XT2 Hu. AllExon V5+UTRs, 96, Auto by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT500
SSELXT Human All Exon V6+UTR V6, 16 by Agilent Technologies	SSELXT Human All Exon V6+UTR V6, 16 by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT460
SureSelectXT2 Custom 1kb-499kb,96, Auto by Agilent Technologies	SureSelectXT2 Custom 1kb-499kb,96, Auto by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT166
SureSelectXT2 Custom 3-5.9Mb, 16 by Agilent Technologies	SureSelectXT2 Custom 3-5.9Mb, 16 by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT168
SureSelectXT2 Custom 12-24Mb,480,Auto,RO by Agilent Technologies	SureSelectXT2 Custom 12-24Mb,480,Auto,RO by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT156
SureSelectXT Human Methyl-Seq, 16 by Agilent Technologies	SureSelectXT Human Methyl-Seq, 16 by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT223
KAPA Stranded RNA-Seq KitIllumina by Roche	KAPA Stranded RNA-Seq KitIllumina by Roche	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT53
SureSelectXT2 Custom 6-11.9Mb, 96, RO by Agilent Technologies	SureSelectXT2 Custom 6-11.9Mb, 96, RO by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT127
SSELXT2 Human All Exon V6 Plus 1, 96 aut by Agilent Technologies	SSELXT2 Human All Exon V6 Plus 1, 96 aut by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT434
Blunt/TA Ligase Master Mix by New England Biolabs	Blunt/TA Ligase Master Mix by New England Biolabs	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT13
SureSelectXT2 Mouse All Exon, 16 by Agilent Technologies	SureSelectXT2 Mouse All Exon, 16 by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT107
HyperCap Workflow by Roche	HyperCap Workflow by Roche	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT8
SureSelectXT2 Custom 12-24Mb, 96 by Agilent Technologies	SureSelectXT2 Custom 12-24Mb, 96 by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT153
SSXT Human All Exon V5+lncRNA, 16 by Agilent Technologies	SSXT Human All Exon V5+lncRNA, 16 by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT400
KAPA Low throughput Library Preparation KitIon Torrent, PCR free by Roche	KAPA Low throughput Library Preparation KitIon Torrent, PCR free by Roche	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT50
SureSelectXT Bovine All Exon, 96 by Agilent Technologies	SureSelectXT Bovine All Exon, 96 by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT279
OneSeq Hi Res Backbone, 0.5-2.9Mb, 96 by Agilent Technologies	OneSeq Hi Res Backbone, 0.5-2.9Mb, 96 by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT557
SureSelect RNA 3-5.9Mb, 480 by Agilent Technologies	SureSelect RNA 3-5.9Mb, 480 by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT314
MagJET NGS Cleanup and Size Selection Kit (10 x 96 preps) by Thermo Fisher Scientific	MagJET NGS Cleanup and Size Selection Kit (10 x 96 preps) by Thermo Fisher Scientific	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT94
ClearSeq Comprehensive Cancer Plus, 96 a by Agilent Technologies	ClearSeq Comprehensive Cancer Plus, 96 a by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT601
SSel XT HS 1-16 + 1-499 kb, 16rxn by Agilent Technologies	SSel XT HS 1-16 + 1-499 kb, 16rxn by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT353
SureSelect XT Reagent kit, HSQ, 480 by Agilent Technologies	SureSelect XT Reagent kit, HSQ, 480 by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT266
SSel XT HS 96 + 6-11.9 Mb, 96rxn by Agilent Technologies	SSel XT HS 96 + 6-11.9 Mb, 96rxn by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT376
SSEL XT CRE V2 Plus 1, 96 rxn by Agilent Technologies	SSEL XT CRE V2 Plus 1, 96 rxn by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT517
SureSelectXT2 Custom6-11.9Mb,480,Auto,RO by Agilent Technologies	SureSelectXT2 Custom6-11.9Mb,480,Auto,RO by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT132
SSEL XT Focused Exome Plus, 96rxn by Agilent Technologies	SSEL XT Focused Exome Plus, 96rxn by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT529
SSELXT2 Human All Exon V6+ COSMIC,96auto by Agilent Technologies	SSELXT2 Human All Exon V6+ COSMIC,96auto by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT441
SSELXT HS 17-32 + V7 Plus 2, 16 rxn by Agilent Technologies	SSELXT HS 17-32 + V7 Plus 2, 16 rxn by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT451
OneSeq 1Mb CNV Backbone+6-11.9Mb, 16 by Agilent Technologies	OneSeq 1Mb CNV Backbone+6-11.9Mb, 16 by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT547
SureSelectXT2 Custom 12-24Mb,96,Auto,RO by Agilent Technologies	SureSelectXT2 Custom 12-24Mb,96,Auto,RO by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT157
ChIP-seq Kit For Histones (High Sensitivity) by BosterBio	ChIP-seq Kit For Histones (High Sensitivity) by BosterBio	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT6
SureSelectXT Custom 12-24Mb, 480, Auto by Agilent Technologies	SureSelectXT Custom 12-24Mb, 480, Auto by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT234
SureSelectXT Mouse All Exon, 16 by Agilent Technologies	SureSelectXT Mouse All Exon, 16 by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT182
ClearSeq Cardiomyopathy, ILM by Agilent Technologies	ClearSeq Cardiomyopathy, ILM by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT600
SureSelectXT HumanAllExon V4, 96 by Agilent Technologies	SureSelectXT HumanAllExon V4, 96 by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT231
SureSelectXT HumanAllExon V4+UTRs, 480 by Agilent Technologies	SureSelectXT HumanAllExon V4+UTRs, 480 by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT227
SSEL XT Focused Exome Plus 2, 16rxn by Agilent Technologies	SSEL XT Focused Exome Plus 2, 16rxn by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT524
ClearSeq Inherited Disease Plus, 16, XT by Agilent Technologies	ClearSeq Inherited Disease Plus, 16, XT by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT611
KAPA Real-time PCR library amplification Kit, with fluorescent standards by Roche	KAPA Real-time PCR library amplification Kit, with fluorescent standards by Roche	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT52
SureSelectXT Custom 12-24Mb, 16, RO by Agilent Technologies	SureSelectXT Custom 12-24Mb, 16, RO by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT292
SureSelectQXT Library Prep Kit NSQ, 16 by Agilent Technologies	SureSelectQXT Library Prep Kit NSQ, 16 by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT268
OneSeq 1Mb BB+Human All Exon V7,96Rxn by Agilent Technologies	OneSeq 1Mb BB+Human All Exon V7,96Rxn by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT535
SureSelectXT2 Reagent kit, HSQ, 96,Auto by Agilent Technologies	SureSelectXT2 Reagent kit, HSQ, 96,Auto by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT114
SureSelectXT Custom 12-24Mb, 96 by Agilent Technologies	SureSelectXT Custom 12-24Mb, 96 by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT236
HaloPlexHS 1-500kb, ILMFST, 48 by Agilent Technologies	HaloPlexHS 1-500kb, ILMFST, 48 by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT585
KAPA Low throughput Library Preparation KitIllumina, with real-time PCR library amplification by Roche	KAPA Low throughput Library Preparation KitIllumina, with real-time PCR library amplification by Roche	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT47
SSEL XT2 CRE V2 Plus 2, 96 rxn by Agilent Technologies	SSEL XT2 CRE V2 Plus 2, 96 rxn by Agilent Technologies	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT487
EpiNext ChIP-Seq High-Sensitivity Kit (Illumina) by EpiGentek	EpiNext ChIP-Seq High-Sensitivity Kit (Illumina) by EpiGentek	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT20
Adapter Kit, barcodes 9 - 16 by Roche	Adapter Kit, barcodes 9 - 16 by Roche	Any of various techniques designed to select or increase a target item in a mixed sample.	FG	KIT63
