value_en	description_en	codesystem	code	description_code	iri
Stippling of the epiphysis of the middle phalanx of the 4th finger	Stippling of the epiphysis of the middle phalanx of the 4th finger	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0009223
Absence of subcutaneous fat	Absence of subcutaneous fat	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0007485
Centrilobular ground-glass opacification on pulmonary HRCT	Centrilobular ground-glass opacification on pulmonary HRCT	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0025180
Phonic tics	Phonic tics	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0100035
Ocular hypertension	Ocular hypertension	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0007906
Reduced upper to lower segment ratio	Reduced upper to lower segment ratio	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0012773
Stippling of the epiphysis of the distal phalanx of the 2nd finger	Stippling of the epiphysis of the distal phalanx of the 2nd finger	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0009511
Toe pain	Toe pain	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0030841
Contracture of the metatarsophalangeal joint of the 2nd toe	Contracture of the metatarsophalangeal joint of the 2nd toe	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0100356
Abnormality of the Achilles tendon	Abnormality of the Achilles tendon	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0005109
Colonic arteriovenous malformation	Colonic arteriovenous malformation	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0031345
Diplopia	Diplopia	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0000651
Elevated haptoglobin level	Elevated haptoglobin level	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0020180
Glomerular basement membrane wrinkling	Glomerular basement membrane wrinkling	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0033289
Elevated hepatic iron concentration	Elevated hepatic iron concentration	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0012465
Transphyseal fracture of the distal humerus	Transphyseal fracture of the distal humerus	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0033262
Increased circulating prolactin concentration	Increased circulating prolactin concentration	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0000870
Gingival overgrowth	Gingival overgrowth	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0000212
Hyperechogenic pancreas	Hyperechogenic pancreas	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0006276
Abnormal flow cytometry test result	Abnormal flow cytometry test result	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0031550
Sclerosis of the proximal phalanx of the 2nd toe	Sclerosis of the proximal phalanx of the 2nd toe	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0100931
Radial dysplasia	Radial dysplasia	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0006433
Hypocitraturia	Hypocitraturia	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0012405
Unilateral cleft palate	Unilateral cleft palate	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0100334
Constriction of peripheral visual field	Constriction of peripheral visual field	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0001133
Abnormality of the nasal cartilage	Abnormality of the nasal cartilage	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0030027
Bull's eye rash	Bull's eye rash	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0040325
Intermittent jaundice	Intermittent jaundice	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0001046
Laterally sloping humeral metaphysis	Laterally sloping humeral metaphysis	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0003921
Abnormal carbon dioxide level in cord blood	Abnormal carbon dioxide level in cord blood	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0500258
Bulging epiphyses	Bulging epiphyses	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0003013
obsolete Wide/broad phalanges of the ring finger	obsolete Wide/broad phalanges of the ring finger	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0004198
Fractured orbit of skull	Fractured orbit of skull	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0041156
Nail pits	Nail pits	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0001803
CSF pleocytosis	CSF pleocytosis	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0012229
Infra-orbital fold	Infra-orbital fold	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0011232
Prolonged bleeding following circumcision	Prolonged bleeding following circumcision	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0030137
Jejunal diverticula	Jejunal diverticula	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0004786
Small epiphysis of the middle phalanx of the 5th toe	Small epiphysis of the middle phalanx of the 5th toe	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0100221
Precocious puberty	Precocious puberty	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0000826
Compression-fractured thoracic vertebra	Compression-fractured thoracic vertebra	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0041084
Maternal autoimmune disease	Maternal autoimmune disease	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0011437
Single ventricle	Single ventricle	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0001750
Telangiectasia of the ear	Telangiectasia of the ear	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0009893
Thin upper lip vermilion	Thin upper lip vermilion	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0000219
Abdominal wall defect	Abdominal wall defect	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0010866
High maternal serum chorionic gonadotropin	High maternal serum chorionic gonadotropin	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0011433
Morphological abnormality of the vestibule of the inner ear	Morphological abnormality of the vestibule of the inner ear	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0011376
Narrow palpebral fissure	Narrow palpebral fissure	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HP	0045025
