value_en	description_en	codesystem	code	description_code	iri
Illumina HiSeq 2500	Illumina HiSeq 2500	A product name and model number of a manufacturer's genomic (dna) sequencer.	OBI	0002002
Illumina NextSeq 1000	Illumina NextSeq 1000	A product name and model number of a manufacturer's genomic (dna) sequencer.	FG	SIM8
454 Genome Sequencer FLX	454 Genome Sequencer FLX	A product name and model number of a manufacturer's genomic (dna) sequencer.	OBI	0000702
SOLiD PI System	SOLiD PI System	A product name and model number of a manufacturer's genomic (dna) sequencer.	GENEPIO	0001931
Illumina HiSeq 4000	Illumina HiSeq 4000	A product name and model number of a manufacturer's genomic (dna) sequencer.	OBI	0002049
Illumina NovaSeq 6000	Illumina NovaSeq 6000	A product name and model number of a manufacturer's genomic (dna) sequencer.	FG	SIM7
454 Genome Sequence 20	454 Genome Sequence 20	A product name and model number of a manufacturer's genomic (dna) sequencer.	OBI	0000689
Illumina HiSeq 2000	Illumina HiSeq 2000	A product name and model number of a manufacturer's genomic (dna) sequencer.	OBI	0002001
Illumina NextSeq 550Dx	Illumina NextSeq 550Dx	A product name and model number of a manufacturer's genomic (dna) sequencer.	FG	SIM9
Ion Torrent PGM	Ion Torrent PGM	A product name and model number of a manufacturer's genomic (dna) sequencer.	GENEPIO	0001935
Genome Analyzer IIe	Genome Analyzer IIe	A product name and model number of a manufacturer's genomic (dna) sequencer.	OBI	0002027
Illumina MiSeq FGx	Illumina MiSeq FGx	A product name and model number of a manufacturer's genomic (dna) sequencer.	FG	SIM11
454 Genome Sequencer	454 Genome Sequencer	A product name and model number of a manufacturer's genomic (dna) sequencer.	GENEPIO	0001937
SOLiD System 3.0	SOLiD System 3.0	A product name and model number of a manufacturer's genomic (dna) sequencer.	GENEPIO	0001933
PacBio RS II	PacBio RS II	A product name and model number of a manufacturer's genomic (dna) sequencer.	OBI	0002012
SOLiD System 2.0	SOLiD System 2.0	A product name and model number of a manufacturer's genomic (dna) sequencer.	GENEPIO	0001932
Illumina HiSeq X Ten	Illumina HiSeq X Ten	A product name and model number of a manufacturer's genomic (dna) sequencer.	FG	SIM2
454 Genome Sequencer Junior	454 Genome Sequencer Junior	A product name and model number of a manufacturer's genomic (dna) sequencer.	GENEPIO	0001938
Genome Analyzer IIx	Genome Analyzer IIx	A product name and model number of a manufacturer's genomic (dna) sequencer.	OBI	0002000
SOLiD 4hq System	SOLiD 4hq System	A product name and model number of a manufacturer's genomic (dna) sequencer.	GENEPIO	0001928
SOLiD 4 System	SOLiD 4 System	A product name and model number of a manufacturer's genomic (dna) sequencer.	OBI	0002024
AB SOLiD System	AB SOLiD System	A product name and model number of a manufacturer's genomic (dna) sequencer.	OBI	0000696
NextSeq 500	NextSeq 500	A product name and model number of a manufacturer's genomic (dna) sequencer.	OBI	0002021
SOLiD 3 Plus System	SOLiD 3 Plus System	A product name and model number of a manufacturer's genomic (dna) sequencer.	OBI	0002007
MiSeq	MiSeq	A product name and model number of a manufacturer's genomic (dna) sequencer.	OBI	0002003
Illumina NextSeq 2000	Illumina NextSeq 2000	A product name and model number of a manufacturer's genomic (dna) sequencer.	FG	SIM6
Illumina HiSeq 3000	Illumina HiSeq 3000	A product name and model number of a manufacturer's genomic (dna) sequencer.	OBI	0002048
Illumina HiSeq 1000	Illumina HiSeq 1000	A product name and model number of a manufacturer's genomic (dna) sequencer.	OBI	0002022
SOLiD 5500	SOLiD 5500	A product name and model number of a manufacturer's genomic (dna) sequencer.	GENEPIO	0001929
Illumina MiSeqDx	Illumina MiSeqDx	A product name and model number of a manufacturer's genomic (dna) sequencer.	FG	SIM10
454 Genome Sequencer FLX Titanium	454 Genome Sequencer FLX Titanium	A product name and model number of a manufacturer's genomic (dna) sequencer.	GENEPIO	0001936
Illumina Genome Analyzer II	Illumina Genome Analyzer II	A product name and model number of a manufacturer's genomic (dna) sequencer.	OBI	0000703
Illumina NextSeq 550	Illumina NextSeq 550	A product name and model number of a manufacturer's genomic (dna) sequencer.	FG	SIM5
Illumina HiSeq X Five	Illumina HiSeq X Five	A product name and model number of a manufacturer's genomic (dna) sequencer.	FG	SIM1
Illumina MiniSeq	Illumina MiniSeq	A product name and model number of a manufacturer's genomic (dna) sequencer.	FG	SIM3
Illumina iSeq 100	Illumina iSeq 100	A product name and model number of a manufacturer's genomic (dna) sequencer.	FG	SIM4
HeliScope Single Molecule Sequencer	HeliScope Single Molecule Sequencer	A product name and model number of a manufacturer's genomic (dna) sequencer.	OBI	0000717
SOLiD 5500xl	SOLiD 5500xl	A product name and model number of a manufacturer's genomic (dna) sequencer.	GENEPIO	0001930
Illumina HiSeq Sequencer	Illumina HiSeq Sequencer	A product name and model number of a manufacturer's genomic (dna) sequencer.	GENEPIO	0001939
