value_en	description_en	codesystem	code	description_code	iri
Next Generation Targeted Sequencing	Next Generation Targeted Sequencing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C130177
BGISEQ-500 Sequencing	BGISEQ-500 Sequencing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C146812
DNA Resequencing	DNA Resequencing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C41254
Ion Semiconductor Sequencing	Ion Semiconductor Sequencing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C125894
Targeted Transcriptome Sequencing	Targeted Transcriptome Sequencing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C158252
Nucleic Acid Sequencing	Nucleic Acid Sequencing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C18881
Dideoxy Chain Termination DNA Sequencing	Dideoxy Chain Termination DNA Sequencing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C19641
Illumina Sequencing	Illumina Sequencing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C146817
Paired-End Sequencing	Paired-End Sequencing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C150423
Whole Transcriptome Sequencing	Whole Transcriptome Sequencing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C124261
Large-Scale Sequencing	Large-Scale Sequencing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C19645
mRNA Sequencing	mRNA Sequencing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C129432
Second-strand Library Sequencing	Second-strand Library Sequencing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C150426
Whole-Genome Shotgun Sequencing	Whole-Genome Shotgun Sequencing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C19653
454 Sequencing	454 Sequencing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C146809
SMRT Sequencing	SMRT Sequencing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C146819
Pyrosequencing	Pyrosequencing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C99481
Immune Repertoire Deep Sequencing	Immune Repertoire Deep Sequencing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C158249
Radioactive Sequencing	Radioactive Sequencing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C19658
Shotgun Sequencing	Shotgun Sequencing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C19646
Complete Genomics Sequencing	Complete Genomics Sequencing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C146815
Helicos Sequencing	Helicos Sequencing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C146816
First-strand Library Sequencing	First-strand Library Sequencing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C150428
Oxford Nanopore Sequencing	Oxford Nanopore Sequencing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C146818
DNA Sequencing	DNA Sequencing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C153598
Whole Genome Sequencing	Whole Genome Sequencing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C101294
Whole Exome Sequencing	Whole Exome Sequencing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C101295
Sequence-based Typing	Sequence-based Typing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C130180
Population Sequencing	Population Sequencing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C135457
ABI SOLiD Sequencing	ABI SOLiD Sequencing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C146811
MicroRNA Sequencing	MicroRNA Sequencing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C156057
Targeted Genome Sequencing	Targeted Genome Sequencing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C158253
Capillary Sequencing	Capillary Sequencing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C146814
Unstranded Library Sequencing	Unstranded Library Sequencing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C150427
Next Generation Sequencing	Next Generation Sequencing	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C101293
