value_en	description_en	codesystem	code	description_code	iri
PP tube 0.5–2mL (-35) to (-18)°C	PP tube 0.5–2mL (-35) to (-18)°C	The conditions specified for the storage of a biological material.	SPRECv3.0	B
PP tube 40–500 μL (-35) to (-18)°C	PP tube 40–500 μL (-35) to (-18)°C	The conditions specified for the storage of a biological material.	SPRECv3.0	T
Straw (-85) to (-60)°C	Straw (-85) to (-60)°C	The conditions specified for the storage of a biological material.	SPRECv3.0	G
Microplate well (-85) to (-60)°C	Microplate well (-85) to (-60)°C	The conditions specified for the storage of a biological material.	SPRECv3.0	L
Cryotube 1–2mL LN after temporary (-85) to (-60)°C	Cryotube 1–2mL LN after temporary (-85) to (-60)°C	The conditions specified for the storage of a biological material.	SPRECv3.0	N
PP tube 0.5–2mL <-135°C	PP tube 0.5–2mL <-135°C	The conditions specified for the storage of a biological material.	SPRECv3.0	V
Cryotube 1–2mL LN	Cryotube 1–2mL LN	The conditions specified for the storage of a biological material.	SPRECv3.0	C
PP tube 0.5–2mL (-85) to (-60)°C	PP tube 0.5–2mL (-85) to (-60)°C	The conditions specified for the storage of a biological material.	SPRECv3.0	A
PP tube 40–500 μL (-85) to (-60)°C	PP tube 40–500 μL (-85) to (-60)°C	The conditions specified for the storage of a biological material.	SPRECv3.0	S
Unknown	Unknown	The conditions specified for the storage of a biological material.	SPRECv3.0	X
Plastic cryo straw LN	Plastic cryo straw LN	The conditions specified for the storage of a biological material.	SPRECv3.0	F
Paraffin block (-35) to (-18)°C	Paraffin block (-35) to (-18)°C	The conditions specified for the storage of a biological material.	SPRECv3.0	U
Dry technology medium RT	Dry technology medium RT	The conditions specified for the storage of a biological material.	SPRECv3.0	R
Straw (-35) to (-18)°C	Straw (-35) to (-18)°C	The conditions specified for the storage of a biological material.	SPRECv3.0	H
Bag LN	Bag LN	The conditions specified for the storage of a biological material.	SPRECv3.0	Q
Paraffin block RT or 2 to 10°C	Paraffin block RT or 2 to 10°C	The conditions specified for the storage of a biological material.	SPRECv3.0	P
Cryotube 1–2mL Programmable freezing to <-135°C	Cryotube 1–2mL Programmable freezing to <-135°C	The conditions specified for the storage of a biological material.	SPRECv3.0	E
Cryotube 1–2mL (-85) to (-60)°C	Cryotube 1–2mL (-85) to (-60)°C	The conditions specified for the storage of a biological material.	SPRECv3.0	D
Microplate well (-35) to (-18)°C	Microplate well (-35) to (-18)°C	The conditions specified for the storage of a biological material.	SPRECv3.0	M
PP tube 40–500 μL <-135°C	PP tube 40–500 μL <-135°C	The conditions specified for the storage of a biological material.	SPRECv3.0	W
Straw LN after temporary (-85) to (-60)°C	Straw LN after temporary (-85) to (-60)°C	The conditions specified for the storage of a biological material.	SPRECv3.0	O
PP tube ≥5mL (-85) to (-60)°C	PP tube ≥5mL (-85) to (-60)°C	The conditions specified for the storage of a biological material.	SPRECv3.0	J
PP tube ≥5mL (-35) to (-18)°C	PP tube ≥5mL (-35) to (-18)°C	The conditions specified for the storage of a biological material.	SPRECv3.0	K
Straw Programmable freezing to <-135°C	Straw Programmable freezing to <-135°C	The conditions specified for the storage of a biological material.	SPRECv3.0	I
Original primary container (-35) to (-18)°C or (-85) to (-60)°C	Original primary container (-35) to (-18)°C or (-85) to (-60)°C	The conditions specified for the storage of a biological material.	SPRECv3.0	Y
Other	Other	The conditions specified for the storage of a biological material.	SPRECv3.0	Z
