value	description	codesystem	code	iri
NEXTFLEX Unique Dual Index Barcodes by PerkinElmer	NEXTFLEX Unique Dual Index Barcodes by PerkinElmer sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT1	https://fair-genomes.org/KIT1
SEQuoia Complete Stranded RNA Library Prep Kit by Bio-Rad	SEQuoia Complete Stranded RNA Library Prep Kit by Bio-Rad sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT2	https://fair-genomes.org/KIT2
KAPA HyperPlus Kits by Roche	KAPA HyperPlus Kits by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT3	https://fair-genomes.org/KIT3
Twist Human Core Exome Kit by Twist Bioscience	Twist Human Core Exome Kit by Twist Bioscience sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT4	https://fair-genomes.org/KIT4
Driver-Map Human Genome-Wide Targeted Expression Profiling Kit (24 reactions) by Cellecta	Driver-Map Human Genome-Wide Targeted Expression Profiling Kit (24 reactions) by Cellecta sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT5	https://fair-genomes.org/KIT5
ChIP-seq Kit For Histones (High Sensitivity) by BosterBio	ChIP-seq Kit For Histones (High Sensitivity) by BosterBio sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT6	https://fair-genomes.org/KIT6
ChIP-seq Kit For Transcription Factors (High Sensitivity) by BosterBio	ChIP-seq Kit For Transcription Factors (High Sensitivity) by BosterBio sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT7	https://fair-genomes.org/KIT7
HyperCap Workflow by Roche	HyperCap Workflow by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT8	https://fair-genomes.org/KIT8
SeqCap RNA System by Roche	SeqCap RNA System by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT9	https://fair-genomes.org/KIT9
MagicPureTM Size Selection DNA Beads by TransGen Biotech Co., LTD	MagicPureTM Size Selection DNA Beads by TransGen Biotech Co., LTD sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT10	https://fair-genomes.org/KIT10
NEXTFLEX UDI Barcodes (1-1,536) by PerkinElmer	NEXTFLEX UDI Barcodes (1-1,536) by PerkinElmer sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT11	https://fair-genomes.org/KIT11
NEXTflex Small RNA Sequencing Kit v3 for Illumina Platforms by PerkinElmer	NEXTflex Small RNA Sequencing Kit v3 for Illumina Platforms by PerkinElmer sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT12	https://fair-genomes.org/KIT12
Blunt/TA Ligase Master Mix by New England Biolabs	Blunt/TA Ligase Master Mix by New England Biolabs sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT13	https://fair-genomes.org/KIT13
NEBNext ChIP-Seq Library Prep Master Mix Set for Illumina by New England Biolabs	NEBNext ChIP-Seq Library Prep Master Mix Set for Illumina by New England Biolabs sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT14	https://fair-genomes.org/KIT14
Auto ChIPmentation for Histones by Diagenode	Auto ChIPmentation for Histones by Diagenode sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT15	https://fair-genomes.org/KIT15
