value	description	codesystem	code	iri
454 Genome Sequence 20	454 Genome Sequence 20	OBI	0000689	http://purl.obolibrary.org/obo/OBI_0000689
AB SOLiD System	AB SOLiD System	OBI	0000696	http://purl.obolibrary.org/obo/OBI_0000696
454 Genome Sequencer FLX	454 Genome Sequencer FLX	OBI	0000702	http://purl.obolibrary.org/obo/OBI_0000702
Illumina Genome Analyzer II	Illumina Genome Analyzer II	OBI	0000703	http://purl.obolibrary.org/obo/OBI_0000703
HeliScope Single Molecule Sequencer	HeliScope Single Molecule Sequencer	OBI	0000717	http://purl.obolibrary.org/obo/OBI_0000717
Genome Analyzer IIx	Genome Analyzer IIx	OBI	0002000	http://purl.obolibrary.org/obo/OBI_0002000
Illumina HiSeq 2000	Illumina HiSeq 2000	OBI	0002001	http://purl.obolibrary.org/obo/OBI_0002001
Illumina HiSeq 2500	Illumina HiSeq 2500	OBI	0002002	http://purl.obolibrary.org/obo/OBI_0002002
MiSeq	MiSeq	OBI	0002003	http://purl.obolibrary.org/obo/OBI_0002003
SOLiD 3 Plus System	SOLiD 3 Plus System	OBI	0002007	http://purl.obolibrary.org/obo/OBI_0002007
PacBio RS II	PacBio RS II	OBI	0002012	http://purl.obolibrary.org/obo/OBI_0002012
NextSeq 500	NextSeq 500	OBI	0002021	http://purl.obolibrary.org/obo/OBI_0002021
Illumina HiSeq 1000	Illumina HiSeq 1000	OBI	0002022	http://purl.obolibrary.org/obo/OBI_0002022
SOLiD 4 System	SOLiD 4 System	OBI	0002024	http://purl.obolibrary.org/obo/OBI_0002024
Genome Analyzer IIe	Genome Analyzer IIe	OBI	0002027	http://purl.obolibrary.org/obo/OBI_0002027
Illumina HiSeq 3000	Illumina HiSeq 3000	OBI	0002048	http://purl.obolibrary.org/obo/OBI_0002048
Illumina HiSeq 4000	Illumina HiSeq 4000	OBI	0002049	http://purl.obolibrary.org/obo/OBI_0002049
SOLiD 4hq System	SOLiD 4hq System	GENEPIO	0001928	http://purl.obolibrary.org/obo/GENEPIO_0001928
SOLiD 5500	SOLiD 5500	GENEPIO	0001929	http://purl.obolibrary.org/obo/GENEPIO_0001929
SOLiD 5500xl	SOLiD 5500xl	GENEPIO	0001930	http://purl.obolibrary.org/obo/GENEPIO_0001930
SOLiD PI System	SOLiD PI System	GENEPIO	0001931	http://purl.obolibrary.org/obo/GENEPIO_0001931
SOLiD System 2.0	SOLiD System 2.0	GENEPIO	0001932	http://purl.obolibrary.org/obo/GENEPIO_0001932
SOLiD System 3.0	SOLiD System 3.0	GENEPIO	0001933	http://purl.obolibrary.org/obo/GENEPIO_0001933
Ion Torrent PGM	Ion Torrent PGM	GENEPIO	0001935	http://purl.obolibrary.org/obo/GENEPIO_0001935
454 Genome Sequencer FLX Titanium	454 Genome Sequencer FLX Titanium	GENEPIO	0001936	http://purl.obolibrary.org/obo/GENEPIO_0001936
454 Genome Sequencer	454 Genome Sequencer	GENEPIO	0001937	http://purl.obolibrary.org/obo/GENEPIO_0001937
454 Genome Sequencer Junior	454 Genome Sequencer Junior	GENEPIO	0001938	http://purl.obolibrary.org/obo/GENEPIO_0001938
Illumina HiSeq Sequencer	Illumina HiSeq Sequencer	GENEPIO	0001939	http://purl.obolibrary.org/obo/GENEPIO_0001939
Illumina HiSeq X Five	Illumina HiSeq X Five	FG	SIM1	https://fair-genomes.org/SIM1
Illumina HiSeq X Ten	Illumina HiSeq X Ten	FG	SIM2	https://fair-genomes.org/SIM2
Illumina MiniSeq	Illumina MiniSeq	FG	SIM3	https://fair-genomes.org/SIM3
Illumina iSeq 100	Illumina iSeq 100	FG	SIM4	https://fair-genomes.org/SIM4
Illumina NextSeq 550	Illumina NextSeq 550	FG	SIM5	https://fair-genomes.org/SIM5
Illumina NextSeq 2000	Illumina NextSeq 2000	FG	SIM6	https://fair-genomes.org/SIM6
Illumina NovaSeq 6000	Illumina NovaSeq 6000	FG	SIM7	https://fair-genomes.org/SIM7
Illumina NextSeq 1000	Illumina NextSeq 1000	FG	SIM8	https://fair-genomes.org/SIM8
Illumina NextSeq 550Dx	Illumina NextSeq 550Dx	FG	SIM9	https://fair-genomes.org/SIM9
Illumina MiSeqDx	Illumina MiSeqDx	FG	SIM10	https://fair-genomes.org/SIM10
Illumina MiSeq FGx	Illumina MiSeq FGx	FG	SIM11	https://fair-genomes.org/SIM11
NoInformation (NI, nullflavor)	The value is exceptional (missing, omitted, incomplete, improper). No information as to the reason for being an exceptional value is provided. This is the most general exceptional value. It is also the default exceptional value.	HL7	NI	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NI
Invalid (INV, nullflavor)	The value as represented in the instance is not a member of the set of permitted data values in the constrained value domain of a variable.	HL7	INV	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#INV
Derived (DER, nullflavor)	An actual value may exist, but it must be derived from the provided information (usually an EXPR generic data type extension will be used to convey the derivation expression .	HL7	DER	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#DER
Other (OTH, nullflavor)	The actual value is not a member of the set of permitted data values in the constrained value domain of a variable.The actual value is not a member of the set of permitted data values in the constrained value domain of a variable. (e.g., concept not provided by required code system).	HL7	OTH	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#OTH
Negative infinity (NINF, nullflavor)	Negative infinity of numbers.	HL7	NINF	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NINF
Positive infinity (PINF, nullflavor)	Positive infinity of numbers.	HL7	PINF	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#PINF
Un-encoded (UNC, nullflavor)	The actual value has not yet been encoded within the approved value domain.	HL7	UNC	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#UNC
Masked (MSK, nullflavor)	There is information on this item available but it has not been provided by the sender due to security, privacy or other reasons. There may be an alternate mechanism for gaining access to this information.	HL7	MSK	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#MSK
Not applicable (NA, nullflavor)	Known to have no proper value (e.g., last menstrual period for a male).	HL7	NA	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NA
Unknown (UNK, nullflavor)	A proper value is applicable, but not known.	HL7	UNK	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#UNK
Asked but unknown (ASKU, nullflavor)	Information was sought but not found (e.g., patient was asked but didn't know)	HL7	ASKU	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#ASKU
Temporarily unavailable (NAV, nullflavor)	Information is not available at this time but it is expected that it will be available later.	HL7	NAV	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NAV
Not asked (NASK, nullflavor)	This information has not been sought. (e.g., patient was not asked)	HL7	NASK	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NASK
Not available (NAVU, nullflavor)	Information is not available at this time (with no expectation regarding whether it will or will not be available in the future).	HL7	NAVU	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NAVU
Sufficient quantity (QS, nullflavor)	The specific quantity is not known, but is known to be non-zero and is not specified because it makes up the bulk of the material. e.g. 'Add 10mg of ingredient X, 50mg of ingredient Y, and sufficient quantity of water to 100mL.' The null flavor would be used to express the quantity of water.	HL7	QS	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#QS
Trace (TRC, nullflavor)	The content is greater than zero, but too small to be quantified.	HL7	TRC	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#TRC
