value_en	description_en	codesystem	code	description_code
sesamoid bone of pes	sesamoid bone of pes	UBERON	0008000	sesamoid bone of pes
submucosa of small intestine	submucosa of small intestine	UBERON	0001205	submucosa of small intestine
deep artery of penis	deep artery of penis	UBERON	0008321	deep artery of penis
M. coracoradialis	M. coracoradialis	UBERON	3010725	M. coracoradialis
musculotendinous bundle	musculotendinous bundle	UBERON	4200218	musculotendinous bundle
dermatological-muscosal system	dermatological-muscosal system	UBERON	0012125	dermatological-muscosal system
perichondrium	perichondrium	UBERON	0002222	perichondrium
peritoneal vaginal process	peritoneal vaginal process	UBERON	0005344	peritoneal vaginal process
blood vessel layer of choroid	blood vessel layer of choroid	UBERON	0013399	blood vessel layer of choroid
eyelid gland	eyelid gland	UBERON	0013229	eyelid gland
ossified transcapular ligament	ossified transcapular ligament	UBERON	2001684	ossified transcapular ligament
parapophysis	parapophysis	UBERON	0003109	parapophysis
olfactory cortex layer 3	olfactory cortex layer 3	UBERON	0035044	olfactory cortex layer 3
anterior superior frontal sulcus	anterior superior frontal sulcus	UBERON	0027716	anterior superior frontal sulcus
molariform tooth	molariform tooth	UBERON	0013164	molariform tooth
anterior neural rod	anterior neural rod	UBERON	2007031	anterior neural rod
medial zone of hypothalamus	medial zone of hypothalamus	UBERON	0002272	medial zone of hypothalamus
cardiogenic plate	cardiogenic plate	UBERON	0004139	cardiogenic plate
olfactory cortex layer 1	olfactory cortex layer 1	UBERON	0022317	olfactory cortex layer 1
olfactory cortex layer 2	olfactory cortex layer 2	UBERON	0022318	olfactory cortex layer 2
ureter smooth muscle	ureter smooth muscle	UBERON	0009919	ureter smooth muscle
common iliac vein	common iliac vein	UBERON	0001139	common iliac vein
intrinsic muscle	intrinsic muscle	UBERON	0035112	intrinsic muscle
ventricular system choroidal fissure	ventricular system choroidal fissure	UBERON	0002192	ventricular system choroidal fissure
taenia marginalis anterior	taenia marginalis anterior	UBERON	2001505	taenia marginalis anterior
anterior ectoderm derivative	anterior ectoderm derivative	UBERON	6025991	anterior ectoderm derivative
koniocortex	koniocortex	UBERON	0013589	koniocortex
theca externa	theca externa	UBERON	0000156	theca externa
