id	description_en	codesystem	code	data_type	description_code	codelist_ref	input_type	properties	parent	comments
Study	A detailed examination, analysis, or critical inspection of a subject designed to discover facts about it.	NCIT	C63536	ST	Study		multi-select	{url=http://purl.obolibrary.org/obo/NCIT_C63536}		
Identifier	A sample collection or study proper name that is centrally registered and unique within one framework.	OMIABIS	0000006	ST	Identifier		text	{url=http://purl.obolibrary.org/obo/OMIABIS_0000006}	Study	
Name	A proper name that designates a study.	OMIABIS	0000037	ST	Name		text	{url=http://purl.obolibrary.org/obo/OMIABIS_0000037}	Study	
Description	A textual entity describing a study aim or a sample collection.	OMIABIS	0000036	ST	Description		text	{url=http://purl.obolibrary.org/obo/OMIABIS_0000036}	Study	
Inclusion criteria	An inclusion criterion defines and states a condition which, if met, makes an entity suitable for a given task or participation in a given process.	OBI	0500027	ST	Inclusion criteria	InclusionCriteria	multi-select	{url=http://purl.obolibrary.org/obo/OBI_0500027}	Study	
Principal investigator	The principle investigtor or responsible person for a study or a sample collection.	OMIABIS	0000100	ST	Principal investigator		text	{url=http://purl.obolibrary.org/obo/OMIABIS_0000100}	Study	
Contact information	An email address for the purpose of contacting a sample collection or study contact person.	OMIABIS	0000035	ST	Contact information		text	{url=http://purl.obolibrary.org/obo/OMIABIS_0000035}	Study	
Study design	A plan specification comprised of protocols (which may specify how and what kinds of data will be gathered) that are executed as part of an investigation and is realized during a study design execution.	OBI	0500000	ST	Study design		text	{url=http://purl.obolibrary.org/obo/OBI_0500000}	Study	
Start date	The date on which a study began.	NCIT	C69208	DATE	Start date		text	{url=http://purl.obolibrary.org/obo/NCIT_C69208}	Study	
Completion date	The date on which the concluding information for a clinical investigation is completed. Usually, this is when the last subject has a final visit or any other protocol-defined completion date.	NCIT	C142702	DATE	Completion date		text	{url=http://purl.obolibrary.org/obo/NCIT_C142702}	Study	
Personal	Data, facts or figures about an individual; the set of relevant items would depend on the use case.	NCIT	C90492	ST	Personal		multi-select	{url=http://purl.obolibrary.org/obo/NCIT_C90492}		
Personal identifier	An alphanumeric identifier assigned to a specific patient.	NCIT	C164337	ST	Personal identifier		text	{url=http://purl.obolibrary.org/obo/NCIT_C164337}	Personal	
Phenotypic sex	An organismal quality inhering in a bearer by virtue of the bearer's physical expression of sexual characteristics.	PATO	0001894	ST	Phenotypic sex	PhenotypicSex	single-select	{url=http://purl.obolibrary.org/obo/PATO_0001894}	Personal	
Genotypic sex	A biological sex quality inhering in an individual based upon genotypic composition of sex chromosomes.	PATO	0020000	ST	Genotypic sex	GenotypicSex	single-select	{url=http://purl.obolibrary.org/obo/PATO_0020000}	Personal	
Country of residence	Country of Residence at Enrollment.	NCIT	C171105	ST	Country of residence	Countries	single-select	{url=http://purl.obolibrary.org/obo/NCIT_C171105}	Personal	
Ethnicity	The biological quality of membership in a social group based on a common heritage.	SIO	001014	ST	Ethnicity	Countries	multi-select	{url=http://semanticscience.org/resource/SIO_001014}	Personal	
Country of birth	The country that a given person was born in.	GENEPIO	0001094	ST	Country of birth	Countries	single-select	{url=http://purl.obolibrary.org/obo/GENEPIO_0001094}	Personal	
Year of birth	The year in which a person was born.	NCIT	C83164	INT	Year of birth		text	{url=http://purl.obolibrary.org/obo/NCIT_C83164}	Personal	
Inclusion status	An indicator that provides information on the current health status of a patient.	NCIT	C166244	ST	Inclusion status	InclusionStatus	single-select	{url=http://purl.obolibrary.org/obo/NCIT_C166244}	Personal	
Age at death	The age at which death occurred.	NCIT	C135383	INT	Age at death		text	{url=http://purl.obolibrary.org/obo/NCIT_C135383}	Personal	
Primary affiliated institute	The most significant institute for medical consultation and/or study inclusion in context of the genetic disease of a person.	SIO	000688	ST	Primary affiliated institute	Institutes	single-select	{url=https://semanticscience.org/resource/SIO_000688}	Personal	
Resources in other institutes	Material or data not captured by this system though known to be available in other institutes such as biobanks or hospitals.	SIO	000688	ST	Resources in other institutes	Institutes	multi-select	{url=https://semanticscience.org/resource/SIO_000688}	Personal	
Participates in study	The study or studies in which this person participates.	RO	0000056	ST	Participates in study		text	{url=http://purl.obolibrary.org/obo/RO_0000056}	Personal	
Leaflet and consent form	A document explaining all the relevant information to assist an individual in understanding the expectations and risks in making a decision about a procedure. This document is presented to and signed by the individual or guardian.	NCIT	C16468	ST	Leaflet and consent form		multi-select	{url=http://purl.obolibrary.org/obo/NCIT_C16468}		
Leaflet title	A name given to the resource.	DC	title	ST	Leaflet title		text	{url=http://purl.org/dc/terms/title}	Leaflet and consent form	
Leaflet date	A point or period of time associated with an event in the lifecycle of the resource.	DC	date	DATE	Leaflet date		text	{url=http://purl.org/dc/terms/date}	Leaflet and consent form	
Leaflet version	A related resource that is a version, edition, or adaptation of the described resource.	DC	hasVersion	ST	Leaflet version		text	{url=http://purl.org/dc/terms/hasVersion}	Leaflet and consent form	
Consent form identifier	An unambiguous reference to the resource within a given context. Using a DOI would be optimal. Using a resolvable URL is suboptimal but preferable over a string value.	DC	identifier	ST	Consent form identifier		text	{url=http://purl.org/dc/terms/identifier}	Leaflet and consent form	
Consent form accepted date	Date of acceptance of the resource.	DC	dateAccepted	DATE	Consent form accepted date		text	{url=http://purl.org/dc/terms/dateAccepted}	Leaflet and consent form	
Consent form valid until	End date of the validity of a resource.	DC	valid	DATE	Consent form valid until		text	{url=http://purl.org/dc/terms/valid}	Leaflet and consent form	
