value_en	description_en	codesystem	code	description_code
xsd	xsd	EDAM	format_3804	xsd
XMFA	XMFA	EDAM	format_3811	XMFA
GEN	GEN	EDAM	format_3812	GEN
SAMPLE file format	SAMPLE file format	EDAM	format_3813	SAMPLE file format
SDF	SDF	EDAM	format_3814	SDF
Molfile	Molfile	EDAM	format_3815	Molfile
Mol2	Mol2	EDAM	format_3816	Mol2
latex	latex	EDAM	format_3817	latex
ELAND format	ELAND format	EDAM	format_3818	ELAND format
Relaxed PHYLIP Interleaved	Relaxed PHYLIP Interleaved	EDAM	format_3819	Relaxed PHYLIP Interleaved
Relaxed PHYLIP Sequential	Relaxed PHYLIP Sequential	EDAM	format_3820	Relaxed PHYLIP Sequential
VisML	VisML	EDAM	format_3821	VisML
GML	GML	EDAM	format_3822	GML
FASTG	FASTG	EDAM	format_3823	FASTG
Raw NMR data format	Raw NMR data format	EDAM	format_3824	Raw NMR data format
nmrML	nmrML	EDAM	format_3825	nmrML
proBAM	proBAM	EDAM	format_3826	proBAM
proBED	proBED	EDAM	format_3827	proBED
Raw microarray data format	Raw microarray data format	EDAM	format_3828	Raw microarray data format
GPR	GPR	EDAM	format_3829	GPR
ARB	ARB	EDAM	format_3830	ARB
consensusXML	consensusXML	EDAM	format_3832	consensusXML
featureXML	featureXML	EDAM	format_3833	featureXML
mzData	mzData	EDAM	format_3834	mzData
TIDE TXT	TIDE TXT	EDAM	format_3835	TIDE TXT
BLAST XML v2 results format	BLAST XML v2 results format	EDAM	format_3836	BLAST XML v2 results format
pptx	pptx	EDAM	format_3838	pptx
ibd	ibd	EDAM	format_3839	ibd
SMILES	SMILES	EDAM	format_1196	SMILES
InChI	InChI	EDAM	format_1197	InChI
mf	mf	EDAM	format_1198	mf
InChIKey	InChIKey	EDAM	format_1199	InChIKey
smarts	smarts	EDAM	format_1200	smarts
unambiguous pure	unambiguous pure	EDAM	format_1206	unambiguous pure
nucleotide	nucleotide	EDAM	format_1207	nucleotide
protein	protein	EDAM	format_1208	protein
consensus	consensus	EDAM	format_1209	consensus
pure nucleotide	pure nucleotide	EDAM	format_1210	pure nucleotide
unambiguous pure nucleotide	unambiguous pure nucleotide	EDAM	format_1211	unambiguous pure nucleotide
dna	dna	EDAM	format_1212	dna
rna	rna	EDAM	format_1213	rna
unambiguous pure dna	unambiguous pure dna	EDAM	format_1214	unambiguous pure dna
pure dna	pure dna	EDAM	format_1215	pure dna
unambiguous pure rna sequence	unambiguous pure rna sequence	EDAM	format_1216	unambiguous pure rna sequence
pure rna	pure rna	EDAM	format_1217	pure rna
unambiguous pure protein	unambiguous pure protein	EDAM	format_1218	unambiguous pure protein
pure protein	pure protein	EDAM	format_1219	pure protein
EMBL feature location	EMBL feature location	EDAM	format_1248	EMBL feature location
quicktandem	quicktandem	EDAM	format_1295	quicktandem
Sanger inverted repeats	Sanger inverted repeats	EDAM	format_1296	Sanger inverted repeats
EMBOSS repeat	EMBOSS repeat	EDAM	format_1297	EMBOSS repeat
est2genome format	est2genome format	EDAM	format_1316	est2genome format
restrict format	restrict format	EDAM	format_1318	restrict format
restover format	restover format	EDAM	format_1319	restover format
REBASE restriction sites	REBASE restriction sites	EDAM	format_1320	REBASE restriction sites
FASTA search results format	FASTA search results format	EDAM	format_1332	FASTA search results format
BLAST results	BLAST results	EDAM	format_1333	BLAST results
mspcrunch	mspcrunch	EDAM	format_1334	mspcrunch
Smith-Waterman format	Smith-Waterman format	EDAM	format_1335	Smith-Waterman format
dhf	dhf	EDAM	format_1336	dhf
lhf	lhf	EDAM	format_1337	lhf
InterPro hits format	InterPro hits format	EDAM	format_1341	InterPro hits format
InterPro protein view report format	InterPro protein view report format	EDAM	format_1342	InterPro protein view report format
InterPro match table format	InterPro match table format	EDAM	format_1343	InterPro match table format
HMMER Dirichlet prior	HMMER Dirichlet prior	EDAM	format_1349	HMMER Dirichlet prior
MEME Dirichlet prior	MEME Dirichlet prior	EDAM	format_1350	MEME Dirichlet prior
HMMER emission and transition	HMMER emission and transition	EDAM	format_1351	HMMER emission and transition
prosite-pattern	prosite-pattern	EDAM	format_1356	prosite-pattern
EMBOSS sequence pattern	EMBOSS sequence pattern	EDAM	format_1357	EMBOSS sequence pattern
meme-motif	meme-motif	EDAM	format_1360	meme-motif
prosite-profile	prosite-profile	EDAM	format_1366	prosite-profile
JASPAR format	JASPAR format	EDAM	format_1367	JASPAR format
MEME background Markov model	MEME background Markov model	EDAM	format_1369	MEME background Markov model
HMMER format	HMMER format	EDAM	format_1370	HMMER format
HMMER-aln	HMMER-aln	EDAM	format_1391	HMMER-aln
DIALIGN format	DIALIGN format	EDAM	format_1392	DIALIGN format
daf	daf	EDAM	format_1393	daf
Sequence-MEME profile alignment	Sequence-MEME profile alignment	EDAM	format_1419	Sequence-MEME profile alignment
HMMER profile alignment (sequences versus HMMs)	HMMER profile alignment (sequences versus HMMs)	EDAM	format_1421	HMMER profile alignment (sequences versus HMMs)
HMMER profile alignment (HMM versus sequences)	HMMER profile alignment (HMM versus sequences)	EDAM	format_1422	HMMER profile alignment (HMM versus sequences)
Phylip distance matrix	Phylip distance matrix	EDAM	format_1423	Phylip distance matrix
ClustalW dendrogram	ClustalW dendrogram	EDAM	format_1424	ClustalW dendrogram
Phylip tree raw	Phylip tree raw	EDAM	format_1425	Phylip tree raw
Phylip continuous quantitative characters	Phylip continuous quantitative characters	EDAM	format_1430	Phylip continuous quantitative characters
Phylip character frequencies format	Phylip character frequencies format	EDAM	format_1432	Phylip character frequencies format
Phylip discrete states format	Phylip discrete states format	EDAM	format_1433	Phylip discrete states format
Phylip cliques format	Phylip cliques format	EDAM	format_1434	Phylip cliques format
Phylip tree format	Phylip tree format	EDAM	format_1435	Phylip tree format
TreeBASE format	TreeBASE format	EDAM	format_1436	TreeBASE format
TreeFam format	TreeFam format	EDAM	format_1437	TreeFam format
Phylip tree distance format	Phylip tree distance format	EDAM	format_1445	Phylip tree distance format
dssp	dssp	EDAM	format_1454	dssp
hssp	hssp	EDAM	format_1455	hssp
Dot-bracket format	Dot-bracket format	EDAM	format_1457	Dot-bracket format
Vienna local RNA secondary structure format	Vienna local RNA secondary structure format	EDAM	format_1458	Vienna local RNA secondary structure format
PDB database entry format	PDB database entry format	EDAM	format_1475	PDB database entry format
PDB	PDB	EDAM	format_1476	PDB
mmCIF	mmCIF	EDAM	format_1477	mmCIF
aaindex	aaindex	EDAM	format_1504	aaindex
Pcons report format	Pcons report format	EDAM	format_1551	Pcons report format
ProQ report format	ProQ report format	EDAM	format_1552	ProQ report format
findkm	findkm	EDAM	format_1582	findkm
Primer3 primer	Primer3 primer	EDAM	format_1627	Primer3 primer
ABI	ABI	EDAM	format_1628	ABI
mira	mira	EDAM	format_1629	mira
CAF	CAF	EDAM	format_1630	CAF
EXP	EXP	EDAM	format_1631	EXP
SCF	SCF	EDAM	format_1632	SCF
PHD	PHD	EDAM	format_1633	PHD
dat	dat	EDAM	format_1637	dat
cel	cel	EDAM	format_1638	cel
affymetrix	affymetrix	EDAM	format_1639	affymetrix
affymetrix-exp	affymetrix-exp	EDAM	format_1641	affymetrix-exp
CHP	CHP	EDAM	format_1644	CHP
