value_en	description_en	codesystem	code	description_code
Rubella panencephalitis	Rubella panencephalitis	Orphanet	83616	Rubella panencephalitis
Genetic neurological muscular channelopathy	Genetic neurological muscular channelopathy	Orphanet	98737	Genetic neurological muscular channelopathy
Spinocerebellar ataxia type 31	Spinocerebellar ataxia type 31	Orphanet	217012	Spinocerebellar ataxia type 31
Unilateral hemispheric polymicrogyria	Unilateral hemispheric polymicrogyria	Orphanet	101071	Unilateral hemispheric polymicrogyria
Spinocerebellar ataxia type 32	Spinocerebellar ataxia type 32	Orphanet	276183	Spinocerebellar ataxia type 32
Acquired pituitary hormone deficiency	Acquired pituitary hormone deficiency	Orphanet	95502	Acquired pituitary hormone deficiency
Immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections-lymphopenia syndrome	Immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections-lymphopenia syndrome	Orphanet	529977	Immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections-lymphopenia syndrome
Spinocerebellar ataxia type 34	Spinocerebellar ataxia type 34	Orphanet	1955	Spinocerebellar ataxia type 34
Spinocerebellar ataxia type 35	Spinocerebellar ataxia type 35	Orphanet	276193	Spinocerebellar ataxia type 35
Spinocerebellar ataxia type 36	Spinocerebellar ataxia type 36	Orphanet	276198	Spinocerebellar ataxia type 36
Rare biliary tract disease	Rare biliary tract disease	Orphanet	101941	Rare biliary tract disease
Lenz-Majewski hyperostotic dwarfism	Lenz-Majewski hyperostotic dwarfism	Orphanet	2658	Lenz-Majewski hyperostotic dwarfism
Spinocerebellar ataxia type 37	Spinocerebellar ataxia type 37	Orphanet	363710	Spinocerebellar ataxia type 37
Spinocerebellar ataxia type 38	Spinocerebellar ataxia type 38	Orphanet	423296	Spinocerebellar ataxia type 38
Disorder of methionine cycle and sulfur amino acid metabolism	Disorder of methionine cycle and sulfur amino acid metabolism	Orphanet	79173	Disorder of methionine cycle and sulfur amino acid metabolism
Pheochromocytoma-paraganglioma	Pheochromocytoma-paraganglioma	Orphanet	573163	Pheochromocytoma-paraganglioma
Benign cephalic histiocytosis	Benign cephalic histiocytosis	Orphanet	157997	Benign cephalic histiocytosis
Protein S acquired deficiency	Protein S acquired deficiency	Orphanet	26349	Protein S acquired deficiency
Non-syndromic preaxial polydactyly	Non-syndromic preaxial polydactyly	Orphanet	498464	Non-syndromic preaxial polydactyly
Primary qualitative or quantitative defects of alpha-dystroglycan	Primary qualitative or quantitative defects of alpha-dystroglycan	Orphanet	371040	Primary qualitative or quantitative defects of alpha-dystroglycan
Usher syndrome	Usher syndrome	Orphanet	886	Usher syndrome
Acyl-CoA dehydrogenase 9 deficiency	Acyl-CoA dehydrogenase 9 deficiency	Orphanet	99901	Acyl-CoA dehydrogenase 9 deficiency
Microcephaly-lymphedema-chorioretinopathy syndrome	Microcephaly-lymphedema-chorioretinopathy syndrome	Orphanet	2526	Microcephaly-lymphedema-chorioretinopathy syndrome
Rhizomelic syndrome, Urbach type	Rhizomelic syndrome, Urbach type	Orphanet	3098	Rhizomelic syndrome, Urbach type
Spinocerebellar ataxia type 30	Spinocerebellar ataxia type 30	Orphanet	211017	Spinocerebellar ataxia type 30
46,XY ovotesticular disorder of sex development	46,XY ovotesticular disorder of sex development	Orphanet	325345	46,XY ovotesticular disorder of sex development
Genetic intestinal polyposis	Genetic intestinal polyposis	Orphanet	363314	Genetic intestinal polyposis
Late-onset distal myopathy, Markesbery-Griggs type	Late-onset distal myopathy, Markesbery-Griggs type	Orphanet	98912	Late-onset distal myopathy, Markesbery-Griggs type
Charlie M syndrome	Charlie M syndrome	Orphanet	1406	Charlie M syndrome
Familial dilated cardiomyopathy with conduction defect due to LMNA mutation	Familial dilated cardiomyopathy with conduction defect due to LMNA mutation	Orphanet	300751	Familial dilated cardiomyopathy with conduction defect due to LMNA mutation
Spinocerebellar ataxia type 28	Spinocerebellar ataxia type 28	Orphanet	101109	Spinocerebellar ataxia type 28
Monoamine oxidase A deficiency	Monoamine oxidase A deficiency	Orphanet	3057	Monoamine oxidase A deficiency
Spinocerebellar ataxia type 29	Spinocerebellar ataxia type 29	Orphanet	208513	Spinocerebellar ataxia type 29
Familial intrahepatic cholestasis	Familial intrahepatic cholestasis	Orphanet	284385	Familial intrahepatic cholestasis
Thymic carcinoma	Thymic carcinoma	Orphanet	99868	Thymic carcinoma
Ring chromosome 12 syndrome	Ring chromosome 12 syndrome	Orphanet	1439	Ring chromosome 12 syndrome
Tessier number 6 facial cleft	Tessier number 6 facial cleft	Orphanet	141265	Tessier number 6 facial cleft
Severe neonatal lactic acidosis due to NFS1-ISD11 complex deficiency	Severe neonatal lactic acidosis due to NFS1-ISD11 complex deficiency	Orphanet	397593	Severe neonatal lactic acidosis due to NFS1-ISD11 complex deficiency
Spinocerebellar ataxia type 20	Spinocerebellar ataxia type 20	Orphanet	101110	Spinocerebellar ataxia type 20
Okihiro syndrome due to 20q13 microdeletion	Okihiro syndrome due to 20q13 microdeletion	Orphanet	261638	Okihiro syndrome due to 20q13 microdeletion
Spinocerebellar ataxia type 21	Spinocerebellar ataxia type 21	Orphanet	98773	Spinocerebellar ataxia type 21
