value_en	description_en	codesystem	code	description_code
silicones	silicones	UATC	http://purl.bioontology.org/ontology/UATC/A03AX13	silicones
cefatrizine	cefatrizine	UATC	http://purl.bioontology.org/ontology/UATC/J01DB07	cefatrizine
Technetium 99m compounds, central nervous system diagnostic radiopharmaceuticals	Technetium 99m compounds, central nervous system diagnostic radiopharmaceuticals	UATC	http://purl.bioontology.org/ontology/UATC/V09AA	Technetium 99m compounds, central nervous system diagnostic radiopharmaceuticals
urofollitropin	urofollitropin	UATC	http://purl.bioontology.org/ontology/UATC/G03GA04	urofollitropin
promethazine	promethazine	UATC	http://purl.bioontology.org/ontology/UATC/D04AA10	promethazine
pinacidil and diuretics	pinacidil and diuretics	UATC	http://purl.bioontology.org/ontology/UATC/C02LX01	pinacidil and diuretics
sargramostim	sargramostim	UATC	http://purl.bioontology.org/ontology/UATC/L03AA09	sargramostim
cilostazol	cilostazol	UATC	http://purl.bioontology.org/ontology/UATC/B01AC23	cilostazol
emepronium, combinations	emepronium, combinations	UATC	http://purl.bioontology.org/ontology/UATC/N05CX05	emepronium, combinations
lanadelumab	lanadelumab	UATC	http://purl.bioontology.org/ontology/UATC/B06AC05	lanadelumab
androstanolone	androstanolone	UATC	http://purl.bioontology.org/ontology/UATC/A14AA01	androstanolone
Beta blocking agents, selective, thiazides and other diuretics	Beta blocking agents, selective, thiazides and other diuretics	UATC	http://purl.bioontology.org/ontology/UATC/C07DB	Beta blocking agents, selective, thiazides and other diuretics
mefenorex	mefenorex	UATC	http://purl.bioontology.org/ontology/UATC/A08AA09	mefenorex
emtricitabine	emtricitabine	UATC	http://purl.bioontology.org/ontology/UATC/J05AF09	emtricitabine
aliskiren and amlodipine	aliskiren and amlodipine	UATC	http://purl.bioontology.org/ontology/UATC/C09XA53	aliskiren and amlodipine
imiquimod	imiquimod	UATC	http://purl.bioontology.org/ontology/UATC/D06BB10	imiquimod
THYROID THERAPY DRUGS	THYROID THERAPY DRUGS	UATC	http://purl.bioontology.org/ontology/UATC/H03	THYROID THERAPY DRUGS
chloroform	chloroform	UATC	http://purl.bioontology.org/ontology/UATC/N01AB02	chloroform
ciclonicate	ciclonicate	UATC	http://purl.bioontology.org/ontology/UATC/C04AC07	ciclonicate
Sulfonamides (heterocyclic), blood glucose lowering drugs	Sulfonamides (heterocyclic), blood glucose lowering drugs	UATC	http://purl.bioontology.org/ontology/UATC/A10BC	Sulfonamides (heterocyclic), blood glucose lowering drugs
euflavine	euflavine	UATC	http://purl.bioontology.org/ontology/UATC/D08AA03	euflavine
propyphenazone, combinations excl. psycholeptics	propyphenazone, combinations excl. psycholeptics	UATC	http://purl.bioontology.org/ontology/UATC/N02BB54	propyphenazone, combinations excl. psycholeptics
succinylsulfathiazole	succinylsulfathiazole	UATC	http://purl.bioontology.org/ontology/UATC/A07AB04	succinylsulfathiazole
hydrocortisone aceponate	hydrocortisone aceponate	UATC	http://purl.bioontology.org/ontology/UATC/D07AC16	hydrocortisone aceponate
Hypnotics and sedatives in combination, excl. barbiturates	Hypnotics and sedatives in combination, excl. barbiturates	UATC	http://purl.bioontology.org/ontology/UATC/N05CX	Hypnotics and sedatives in combination, excl. barbiturates
morphine, combinations	morphine, combinations	UATC	http://purl.bioontology.org/ontology/UATC/N02AA51	morphine, combinations
phenylbutazone	phenylbutazone	UATC	http://purl.bioontology.org/ontology/UATC/M02AA01	phenylbutazone
flumetasone and antiinfectives	flumetasone and antiinfectives	UATC	http://purl.bioontology.org/ontology/UATC/S02CA02	flumetasone and antiinfectives
isoniazid, sulfamethoxazole, trimethoprim and pyridoxine	isoniazid, sulfamethoxazole, trimethoprim and pyridoxine	UATC	http://purl.bioontology.org/ontology/UATC/J04AM08	isoniazid, sulfamethoxazole, trimethoprim and pyridoxine
levothyroxine sodium	levothyroxine sodium	UATC	http://purl.bioontology.org/ontology/UATC/H03AA01	levothyroxine sodium
betahistine	betahistine	UATC	http://purl.bioontology.org/ontology/UATC/N07CA01	betahistine
Other magnetic resonance imaging contrast media in ATC	Other magnetic resonance imaging contrast media in ATC	UATC	http://purl.bioontology.org/ontology/UATC/V08CX	Other magnetic resonance imaging contrast media in ATC
copper usnate	copper usnate	UATC	http://purl.bioontology.org/ontology/UATC/G01AX15	copper usnate
hexamidine	hexamidine	UATC	http://purl.bioontology.org/ontology/UATC/S03AA05	hexamidine
Occupational Activity	Occupational Activity	STY	http://purl.bioontology.org/ontology/STY/T057	Occupational Activity
