value_en	description_en	codesystem	code	description_code
Biological Daughter	A female progeny with genetic makeup inherited from the parent.	NCIT	http://purl.obolibrary.org/obo/NCIT_C150887	Biological Daughter
Biological Son	A male progeny with genetic makeup inherited from the parent.	NCIT	http://purl.obolibrary.org/obo/NCIT_C150888	Biological Son
Biological Maternal Grandfather	A male relative who is the biological father of the biological mother.	NCIT	http://purl.obolibrary.org/obo/NCIT_C96577	Biological Maternal Grandfather
Biological Paternal Grandfather	A male relative who is the biological father of the biological father.	NCIT	http://purl.obolibrary.org/obo/NCIT_C96583	Biological Paternal Grandfather
Biological Paternal Grandmother	A female relative who is the biological mother of the biological father.	NCIT	http://purl.obolibrary.org/obo/NCIT_C96584	Biological Paternal Grandmother
Biological Maternal Grandmother	A female relative who is the biological mother of the biological mother.	NCIT	http://purl.obolibrary.org/obo/NCIT_C96578	Biological Maternal Grandmother
Biological Maternal Cousin	A relative who is the offspring of a sibling of the biological mother and thus sharing a common ancestor.	NCIT	http://purl.obolibrary.org/obo/NCIT_C96576	Biological Maternal Cousin
Biological Paternal Cousin	A relative who is the offspring of a sibling of the biological father and thus sharing a common ancestor.	NCIT	http://purl.obolibrary.org/obo/NCIT_C96582	Biological Paternal Cousin
Biological Paternal Aunt	A female relative who is a sibling of the biological father, and who both share a common ancestor.	NCIT	http://purl.obolibrary.org/obo/NCIT_C96581	Biological Paternal Aunt
Biological Maternal Aunt	A female relative who is a sibling of the biological mother, and who both share a common ancestor.	NCIT	http://purl.obolibrary.org/obo/NCIT_C96575	Biological Maternal Aunt
Biological Father	A male who contributes to the genetic makeup of his offspring through the fertilization of an ovum by his sperm.	NCIT	http://purl.obolibrary.org/obo/NCIT_C96572	Biological Father
Biological Mother	A female who contributes to the genetic makeup of her offspring from the fertilization of her ovum.	NCIT	http://purl.obolibrary.org/obo/NCIT_C96580	Biological Mother
Half-brother with Father as Common Parent	A male sibling who shares the genetic makeup inherited from only the biological father.	NCIT	http://purl.obolibrary.org/obo/NCIT_C96655	Half-brother with Father as Common Parent
Half-sister with Father as Common Parent	A female sibling who shares the genetic makeup inherited from only the biological father.	NCIT	http://purl.obolibrary.org/obo/NCIT_C96657	Half-sister with Father as Common Parent
Half-brother with Mother as Common Parent	A male sibling who shares the genetic makeup inherited from only the biological mother.	NCIT	http://purl.obolibrary.org/obo/NCIT_C96656	Half-brother with Mother as Common Parent
Half-sister with Mother as Common Parent	A female sibling who shares the genetic makeup inherited from only the biological mother.	NCIT	http://purl.obolibrary.org/obo/NCIT_C96658	Half-sister with Mother as Common Parent
Fraternal Twin Brother	A male full sibling that developed from a separately fertilized ova during the same pregnancy.	NCIT	http://purl.obolibrary.org/obo/NCIT_C165796	Fraternal Twin Brother
Fraternal Twin Sister	A female full sibling that developed from a separately fertilized ova during the same pregnancy.	NCIT	http://purl.obolibrary.org/obo/NCIT_C165797	Fraternal Twin Sister
Identical Twin Brother	A male full sibling that developed from a shared ovum.	NCIT	http://purl.obolibrary.org/obo/NCIT_C165848	Identical Twin Brother
Identical Twin Sister	A female full sibling that developed from a shared ovum.	NCIT	http://purl.obolibrary.org/obo/NCIT_C165849	Identical Twin Sister
Full Brother	A male who shares with his sibling the genetic makeup inherited from both of the biological parents.	NCIT	http://purl.obolibrary.org/obo/NCIT_C111201	Full Brother
Full Sister	A female who shares with her sibling the genetic makeup inherited from both of the biological parents.	NCIT	http://purl.obolibrary.org/obo/NCIT_C111202	Full Sister
Grandson	A male grandchild.	NCIT	http://purl.obolibrary.org/obo/NCIT_C71398	Grandson
Granddaughter	A female grandchild.	NCIT	http://purl.obolibrary.org/obo/NCIT_C71399	Granddaughter
Biological Maternal Uncle	A male relative who is a sibling of the biological mother, and who both share a common ancestor.	NCIT	http://purl.obolibrary.org/obo/NCIT_C96579	Biological Maternal Uncle
Biological Paternal Uncle	A male relative who is a sibling of the biological father, and who both share a common ancestor.	NCIT	http://purl.obolibrary.org/obo/NCIT_C96585	Biological Paternal Uncle
Niece	A daughter of your brother or sister.	NCIT	http://purl.obolibrary.org/obo/NCIT_C71408	Niece
Nephew	A son of your brother or sister.	NCIT	http://purl.obolibrary.org/obo/NCIT_C71409	Nephew
Ancestor	Someone from whom you are descended (but usually more remote than a grandparent).	NCIT	http://purl.obolibrary.org/obo/NCIT_C42609	Ancestor
Maternal First Cousin Once Removed	A child of one's first cousin who is related by lineage through the mother's side of the family.	NCIT	http://purl.obolibrary.org/obo/NCIT_C165851	Maternal First Cousin Once Removed
Paternal First Cousin Once Removed	A child of one's first cousin who is related by lineage through the father's side of the family.	NCIT	http://purl.obolibrary.org/obo/NCIT_C165852	Paternal First Cousin Once Removed
Descendent	Someone deriving or descending from an ancestor.	NCIT	http://purl.obolibrary.org/obo/NCIT_C42674	Descendent
Great Grandchild	A child of one's grandchild.	NCIT	http://purl.obolibrary.org/obo/NCIT_C165847	Great Grandchild
Maternal Great Grandparent	A parent of one's maternal grandparent.	NCIT	http://purl.obolibrary.org/obo/NCIT_C166127	Maternal Great Grandparent
Paternal Great Grandparent	A parent of one's paternal grandparent.	NCIT	http://purl.obolibrary.org/obo/NCIT_C166128	Paternal Great Grandparent
Great Nephew	A male child of one's niece or nephew.	NCIT	http://purl.obolibrary.org/obo/NCIT_C165798	Great Nephew
Great Niece	A female child of one's niece or nephew.	NCIT	http://purl.obolibrary.org/obo/NCIT_C165846	Great Niece
Maternal Great Aunt	The aunt of one's mother.	NCIT	http://purl.obolibrary.org/obo/NCIT_C165853	Maternal Great Aunt
Maternal Great Uncle	The uncle of one's mother.	NCIT	http://purl.obolibrary.org/obo/NCIT_C165854	Maternal Great Uncle
Paternal Great Aunt	The aunt of one's father.	NCIT	http://purl.obolibrary.org/obo/NCIT_C165856	Paternal Great Aunt
Paternal Great Uncle	The uncle of one's father.	NCIT	http://purl.obolibrary.org/obo/NCIT_C165857	Paternal Great Uncle
NoInformation (NI, nullflavor)	The value is exceptional (missing, omitted, incomplete, improper). No information as to the reason for being an exceptional value is provided. This is the most general exceptional value. It is also the default exceptional value.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NI	NoInformation (NI, nullflavor)
Invalid (INV, nullflavor)	The value as represented in the instance is not a member of the set of permitted data values in the constrained value domain of a variable.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#INV	Invalid (INV, nullflavor)
Derived (DER, nullflavor)	An actual value may exist, but it must be derived from the provided information (usually an EXPR generic data type extension will be used to convey the derivation expression .	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#DER	Derived (DER, nullflavor)
Other (OTH, nullflavor)	The actual value is not a member of the set of permitted data values in the constrained value domain of a variable.The actual value is not a member of the set of permitted data values in the constrained value domain of a variable. (e.g., concept not provided by required code system).	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#OTH	Other (OTH, nullflavor)
Negative infinity (NINF, nullflavor)	Negative infinity of numbers.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NINF	Negative infinity (NINF, nullflavor)
Positive infinity (PINF, nullflavor)	Positive infinity of numbers.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#PINF	Positive infinity (PINF, nullflavor)
Un-encoded (UNC, nullflavor)	The actual value has not yet been encoded within the approved value domain.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#UNC	Un-encoded (UNC, nullflavor)
Masked (MSK, nullflavor)	There is information on this item available but it has not been provided by the sender due to security, privacy or other reasons. There may be an alternate mechanism for gaining access to this information.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#MSK	Masked (MSK, nullflavor)
Not applicable (NA, nullflavor)	Known to have no proper value (e.g., last menstrual period for a male).	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NA	Not applicable (NA, nullflavor)
Unknown (UNK, nullflavor)	A proper value is applicable, but not known.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#UNK	Unknown (UNK, nullflavor)
