value_en	description_en	codesystem	code	description_code
HTR4	5-hydroxytryptamine receptor 4	HGNC	5299	HTR4
CRHBP	corticotropin releasing hormone binding protein	HGNC	2356	CRHBP
HTR6	5-hydroxytryptamine receptor 6	HGNC	5301	HTR6
HTR7	5-hydroxytryptamine receptor 7	HGNC	5302	HTR7
LURAP1L	leucine rich adaptor protein 1 like	HGNC	31452	LURAP1L
BBX	BBX high mobility group box domain containing	HGNC	14422	BBX
GSTK1	glutathione S-transferase kappa 1	HGNC	16906	GSTK1
WDR83OS	WD repeat domain 83 opposite strand	HGNC	30203	WDR83OS
DHDH	dihydrodiol dehydrogenase	HGNC	17887	DHDH
INSYN1	inhibitory synaptic factor 1	HGNC	33753	INSYN1
BCR	BCR activator of RhoGEF and GTPase	HGNC	1014	BCR
ORAI3	ORAI calcium release-activated calcium modulator 3	HGNC	28185	ORAI3
AGTR1	angiotensin II receptor type 1	HGNC	336	AGTR1
ORAI2	ORAI calcium release-activated calcium modulator 2	HGNC	21667	ORAI2
ORAI1	ORAI calcium release-activated calcium modulator 1	HGNC	25896	ORAI1
VOPP1	VOPP1 WW domain binding protein	HGNC	34518	VOPP1
AGTR2	angiotensin II receptor type 2	HGNC	338	AGTR2
HOATZ	HOATZ cilia and flagella associated protein	HGNC	25061	HOATZ
CLEC20A	C-type lectin domain containing 20A	HGNC	34521	CLEC20A
COL13A1	collagen type XIII alpha 1 chain	HGNC	2190	COL13A1
SHMT2	serine hydroxymethyltransferase 2	HGNC	10852	SHMT2
SHMT1	serine hydroxymethyltransferase 1	HGNC	10850	SHMT1
B3GLCT	beta 3-glucosyltransferase	HGNC	20207	B3GLCT
RDH12	retinol dehydrogenase 12	HGNC	19977	RDH12
RDH11	retinol dehydrogenase 11	HGNC	17964	RDH11
RDH10	retinol dehydrogenase 10	HGNC	19975	RDH10
RDH16	retinol dehydrogenase 16	HGNC	29674	RDH16
RDH14	retinol dehydrogenase 14	HGNC	19979	RDH14
RDH13	retinol dehydrogenase 13	HGNC	19978	RDH13
GTF2IRD2B	GTF2I repeat domain containing 2B	HGNC	33125	GTF2IRD2B
GSTM4	glutathione S-transferase mu 4	HGNC	4636	GSTM4
GSTM3	glutathione S-transferase mu 3	HGNC	4635	GSTM3
GSTM2	glutathione S-transferase mu 2	HGNC	4634	GSTM2
GSTM1	glutathione S-transferase mu 1	HGNC	4632	GSTM1
NEBL	nebulette	HGNC	16932	NEBL
DHFR	dihydrofolate reductase	HGNC	2861	DHFR
PKIB	cAMP-dependent protein kinase inhibitor beta	HGNC	9018	PKIB
STRC	stereocilin	HGNC	16035	STRC
PKIA	cAMP-dependent protein kinase inhibitor alpha	HGNC	9017	PKIA
L1TD1	LINE1 type transposase domain containing 1	HGNC	25595	L1TD1
STRN	striatin	HGNC	11424	STRN
PKIG	cAMP-dependent protein kinase inhibitor gamma	HGNC	9019	PKIG
GSTM5	glutathione S-transferase mu 5	HGNC	4637	GSTM5
GTF2H2C	GTF2H2 family member C	HGNC	31394	GTF2H2C
KCNC1	potassium voltage-gated channel subfamily C member 1	HGNC	6233	KCNC1
KCNC2	potassium voltage-gated channel subfamily C member 2	HGNC	6234	KCNC2
KCNC3	potassium voltage-gated channel subfamily C member 3	HGNC	6235	KCNC3
KCNC4	potassium voltage-gated channel subfamily C member 4	HGNC	6236	KCNC4
BBC3	BCL2 binding component 3	HGNC	17868	BBC3
NPAP1	nuclear pore associated protein 1	HGNC	1190	NPAP1
GLT1D1	glycosyltransferase 1 domain containing 1	HGNC	26483	GLT1D1
NEFL	neurofilament light	HGNC	7739	NEFL
NEFM	neurofilament medium	HGNC	7734	NEFM
NEFH	neurofilament heavy	HGNC	7737	NEFH
STUM	stum, mechanosensory transduction mediator homolog	HGNC	30491	STUM
MYBPC3	myosin binding protein C3	HGNC	7551	MYBPC3
MYBPC1	myosin binding protein C1	HGNC	7549	MYBPC1
KCND1	potassium voltage-gated channel subfamily D member 1	HGNC	6237	KCND1
MYBPC2	myosin binding protein C2	HGNC	7550	MYBPC2
GSTO2	glutathione S-transferase omega 2	HGNC	23064	GSTO2
KCND2	potassium voltage-gated channel subfamily D member 2	HGNC	6238	KCND2
GSTO1	glutathione S-transferase omega 1	HGNC	13312	GSTO1
KCND3	potassium voltage-gated channel subfamily D member 3	HGNC	6239	KCND3
BGN	biglycan	HGNC	1044	BGN
TMEFF1	transmembrane protein with EGF like and two follistatin like domains 1	HGNC	11866	TMEFF1
TMEFF2	transmembrane protein with EGF like and two follistatin like domains 2	HGNC	11867	TMEFF2
PKN3	protein kinase N3	HGNC	17999	PKN3
GSTP1	glutathione S-transferase pi 1	HGNC	4638	GSTP1
KCNA1	potassium voltage-gated channel subfamily A member 1	HGNC	6218	KCNA1
SYNPO2	synaptopodin 2	HGNC	17732	SYNPO2
KCNA2	potassium voltage-gated channel subfamily A member 2	HGNC	6220	KCNA2
PTAFR	platelet activating factor receptor	HGNC	9582	PTAFR
ADAM22	ADAM metallopeptidase domain 22	HGNC	201	ADAM22
KCNA3	potassium voltage-gated channel subfamily A member 3	HGNC	6221	KCNA3
ADAM21	ADAM metallopeptidase domain 21	HGNC	200	ADAM21
KCNA4	potassium voltage-gated channel subfamily A member 4	HGNC	6222	KCNA4
ADAM20	ADAM metallopeptidase domain 20	HGNC	199	ADAM20
KCNA5	potassium voltage-gated channel subfamily A member 5	HGNC	6224	KCNA5
KCNA6	potassium voltage-gated channel subfamily A member 6	HGNC	6225	KCNA6
KCNA7	potassium voltage-gated channel subfamily A member 7	HGNC	6226	KCNA7
SDAD1	SDA1 domain containing 1	HGNC	25537	SDAD1
ADAM29	ADAM metallopeptidase domain 29	HGNC	207	ADAM29
ADAM28	ADAM metallopeptidase domain 28	HGNC	206	ADAM28
ADAM23	ADAM metallopeptidase domain 23	HGNC	202	ADAM23
STX6	syntaxin 6	HGNC	11441	STX6
STX5	syntaxin 5	HGNC	11440	STX5
STX4	syntaxin 4	HGNC	11439	STX4
STX3	syntaxin 3	HGNC	11438	STX3
BID	BH3 interacting domain death agonist	HGNC	1050	BID
STX2	syntaxin 2	HGNC	3403	STX2
SPDEF	SAM pointed domain containing ETS transcription factor	HGNC	17257	SPDEF
MBD3	methyl-CpG binding domain protein 3	HGNC	6918	MBD3
MBD4	methyl-CpG binding domain 4, DNA glycosylase	HGNC	6919	MBD4
MBD5	methyl-CpG binding domain protein 5	HGNC	20444	MBD5
MBD6	methyl-CpG binding domain protein 6	HGNC	20445	MBD6
PKLR	pyruvate kinase L/R	HGNC	9020	PKLR
BIK	BCL2 interacting killer	HGNC	1051	BIK
KCNB1	potassium voltage-gated channel subfamily B member 1	HGNC	6231	KCNB1
KCNB2	potassium voltage-gated channel subfamily B member 2	HGNC	6232	KCNB2
MBD1	methyl-CpG binding domain protein 1	HGNC	6916	MBD1
MBD2	methyl-CpG binding domain protein 2	HGNC	6917	MBD2
ADAM33	ADAM metallopeptidase domain 33	HGNC	15478	ADAM33
KIAA2012	KIAA2012	HGNC	51250	KIAA2012
ADAM32	ADAM metallopeptidase domain 32	HGNC	15479	ADAM32
ADAM30	ADAM metallopeptidase domain 30	HGNC	208	ADAM30
KIAA2013	KIAA2013	HGNC	28513	KIAA2013
MITD1	microtubule interacting and trafficking domain containing 1	HGNC	25207	MITD1
PKN2	protein kinase N2	HGNC	9406	PKN2
PKN1	protein kinase N1	HGNC	9405	PKN1
KCNG1	potassium voltage-gated channel modifier subfamily G member 1	HGNC	6248	KCNG1
KCNG2	potassium voltage-gated channel modifier subfamily G member 2	HGNC	6249	KCNG2
KCNG3	potassium voltage-gated channel modifier subfamily G member 3	HGNC	18306	KCNG3
KCNG4	potassium voltage-gated channel modifier subfamily G member 4	HGNC	19697	KCNG4
RASL11B	RAS like family 11 member B	HGNC	23804	RASL11B
FBXO27	F-box protein 27	HGNC	18753	FBXO27
FBXO28	F-box protein 28	HGNC	29046	FBXO28
RASL11A	RAS like family 11 member A	HGNC	23802	RASL11A
FBXO25	F-box protein 25	HGNC	13596	FBXO25
GOLIM4	golgi integral membrane protein 4	HGNC	15448	GOLIM4
FBXO24	F-box protein 24	HGNC	13595	FBXO24
FBXO21	F-box protein 21	HGNC	13592	FBXO21
FBXO22	F-box protein 22	HGNC	13593	FBXO22
FADS3	fatty acid desaturase 3	HGNC	3576	FADS3
FADS2	fatty acid desaturase 2	HGNC	3575	FADS2
POTEM	POTE ankyrin domain family member M	HGNC	37096	POTEM
POFUT2	protein O-fucosyltransferase 2	HGNC	14683	POFUT2
PTAR1	protein prenyltransferase alpha subunit repeat containing 1	HGNC	30449	PTAR1
FNTA	farnesyltransferase, CAAX box, alpha	HGNC	3782	FNTA
MYBPHL	myosin binding protein H like	HGNC	30434	MYBPHL
POTEH	POTE ankyrin domain family member H	HGNC	133	POTEH
FADS6	fatty acid desaturase 6	HGNC	30459	FADS6
POFUT1	protein O-fucosyltransferase 1	HGNC	14988	POFUT1
POTEI	POTE ankyrin domain family member I	HGNC	37093	POTEI
POTEJ	POTE ankyrin domain family member J	HGNC	37094	POTEJ
FNTB	farnesyltransferase, CAAX box, beta	HGNC	3785	FNTB
POTED	POTE ankyrin domain family member D	HGNC	23822	POTED
NEK1	NIMA related kinase 1	HGNC	7744	NEK1
POTEE	POTE ankyrin domain family member E	HGNC	33895	POTEE
TNFRSF8	TNF receptor superfamily member 8	HGNC	11923	TNFRSF8
NEK2	NIMA related kinase 2	HGNC	7745	NEK2
POTEF	POTE ankyrin domain family member F	HGNC	33905	POTEF
NEK3	NIMA related kinase 3	HGNC	7746	NEK3
POTEG	POTE ankyrin domain family member G	HGNC	33896	POTEG
POTEA	POTE ankyrin domain family member A	HGNC	33893	POTEA
TNFRSF4	TNF receptor superfamily member 4	HGNC	11918	TNFRSF4
FADS1	fatty acid desaturase 1	HGNC	3574	FADS1
POTEB	POTE ankyrin domain family member B	HGNC	33734	POTEB
KCNH1	potassium voltage-gated channel subfamily H member 1	HGNC	6250	KCNH1
POTEC	POTE ankyrin domain family member C	HGNC	33894	POTEC
KCNH2	potassium voltage-gated channel subfamily H member 2	HGNC	6251	KCNH2
PIAS4	protein inhibitor of activated STAT 4	HGNC	17002	PIAS4
KCNH3	potassium voltage-gated channel subfamily H member 3	HGNC	6252	KCNH3
PIAS3	protein inhibitor of activated STAT 3	HGNC	16861	PIAS3
KCNH4	potassium voltage-gated channel subfamily H member 4	HGNC	6253	KCNH4
DGAT2	diacylglycerol O-acyltransferase 2	HGNC	16940	DGAT2
KCNH5	potassium voltage-gated channel subfamily H member 5	HGNC	6254	KCNH5
DGAT1	diacylglycerol O-acyltransferase 1	HGNC	2843	DGAT1
KCNH6	potassium voltage-gated channel subfamily H member 6	HGNC	18862	KCNH6
KCNH7	potassium voltage-gated channel subfamily H member 7	HGNC	18863	KCNH7
FBXO16	F-box protein 16	HGNC	13618	FBXO16
KCNH8	potassium voltage-gated channel subfamily H member 8	HGNC	18864	KCNH8
STX8	syntaxin 8	HGNC	11443	STX8
FBXO17	F-box protein 17	HGNC	18754	FBXO17
STX7	syntaxin 7	HGNC	11442	STX7
FBXO15	F-box protein 15	HGNC	13617	FBXO15
FBXO10	F-box protein 10	HGNC	13589	FBXO10
FBXO11	F-box protein 11	HGNC	13590	FBXO11
PIAS2	protein inhibitor of activated STAT 2	HGNC	17311	PIAS2
LENEP	lens epithelial protein	HGNC	14429	LENEP
PIAS1	protein inhibitor of activated STAT 1	HGNC	2752	PIAS1
LENG1	leukocyte receptor cluster member 1	HGNC	15502	LENG1
NPAS4	neuronal PAS domain protein 4	HGNC	18983	NPAS4
MINPP1	multiple inositol-polyphosphate phosphatase 1	HGNC	7102	MINPP1
DMTF1	cyclin D binding myb like transcription factor 1	HGNC	14603	DMTF1
PKP2	plakophilin 2	HGNC	9024	PKP2
PKP1	plakophilin 1	HGNC	9023	PKP1
PKP4	plakophilin 4	HGNC	9026	PKP4
PKP3	plakophilin 3	HGNC	9025	PKP3
BLK	BLK proto-oncogene, Src family tyrosine kinase	HGNC	1057	BLK
BLM	BLM RecQ like helicase	HGNC	1058	BLM
KCNE1	potassium voltage-gated channel subfamily E regulatory subunit 1	HGNC	6240	KCNE1
KCNE2	potassium voltage-gated channel subfamily E regulatory subunit 2	HGNC	6242	KCNE2
KCNE3	potassium voltage-gated channel subfamily E regulatory subunit 3	HGNC	6243	KCNE3
KCNE4	potassium voltage-gated channel subfamily E regulatory subunit 4	HGNC	6244	KCNE4
KCNE5	potassium voltage-gated channel subfamily E regulatory subunit 5	HGNC	6241	KCNE5
ZC4H2	zinc finger C4H2-type containing	HGNC	24931	ZC4H2
GSTT4	glutathione S-transferase theta 4	HGNC	26930	GSTT4
IREB2	iron responsive element binding protein 2	HGNC	6115	IREB2
FBXO47	F-box protein 47	HGNC	31969	FBXO47
FBXO48	F-box protein 48	HGNC	33857	FBXO48
GSTT2	glutathione S-transferase theta 2 (gene/pseudogene)	HGNC	4642	GSTT2
FBXO45	F-box protein 45	HGNC	29148	FBXO45
FBXO46	F-box protein 46	HGNC	25069	FBXO46
FBXO43	F-box protein 43	HGNC	28521	FBXO43
FBXO44	F-box protein 44	HGNC	24847	FBXO44
NPAS1	neuronal PAS domain protein 1	HGNC	7894	NPAS1
CCDC144A	coiled-coil domain containing 144A	HGNC	29072	CCDC144A
FBXO41	F-box protein 41	HGNC	29409	FBXO41
NPAS2	neuronal PAS domain protein 2	HGNC	7895	NPAS2
FBXO42	F-box protein 42	HGNC	29249	FBXO42
NPAS3	neuronal PAS domain protein 3	HGNC	19311	NPAS3
FBXO40	F-box protein 40	HGNC	29816	FBXO40
MBIP	MAP3K12 binding inhibitory protein 1	HGNC	20427	MBIP
BMF	Bcl2 modifying factor	HGNC	24132	BMF
NEK8	NIMA related kinase 8	HGNC	13387	NEK8
KCNF1	potassium voltage-gated channel modifier subfamily F member 1	HGNC	6246	KCNF1
NEK9	NIMA related kinase 9	HGNC	18591	NEK9
SDF2L1	stromal cell derived factor 2 like 1	HGNC	10676	SDF2L1
HTR1E	5-hydroxytryptamine receptor 1E	HGNC	5291	HTR1E
NEK4	NIMA related kinase 4	HGNC	11399	NEK4
RASL10A	RAS like family 10 member A	HGNC	16954	RASL10A
HTR1F	5-hydroxytryptamine receptor 1F	HGNC	5292	HTR1F
NEK5	NIMA related kinase 5	HGNC	7748	NEK5
RASL10B	RAS like family 10 member B	HGNC	30295	RASL10B
FBXO38	F-box protein 38	HGNC	28844	FBXO38
NEK6	NIMA related kinase 6	HGNC	7749	NEK6
TNFRSF9	TNF receptor superfamily member 9	HGNC	11924	TNFRSF9
FBXO39	F-box protein 39	HGNC	28565	FBXO39
HTR1D	5-hydroxytryptamine receptor 1D	HGNC	5289	HTR1D
NEK7	NIMA related kinase 7	HGNC	13386	NEK7
STYX	serine/threonine/tyrosine interacting protein	HGNC	11447	STYX
FBXO36	F-box protein 36	HGNC	27020	FBXO36
HTR1A	5-hydroxytryptamine receptor 1A	HGNC	5286	HTR1A
HTR1B	5-hydroxytryptamine receptor 1B	HGNC	5287	HTR1B
FBXO34	F-box protein 34	HGNC	20201	FBXO34
BMX	BMX non-receptor tyrosine kinase	HGNC	1079	BMX
C6orf15	chromosome 6 open reading frame 15	HGNC	13927	C6orf15
FBXO32	F-box protein 32	HGNC	16731	FBXO32
FBXO33	F-box protein 33	HGNC	19833	FBXO33
FBXO30	F-box protein 30	HGNC	15600	FBXO30
FAM90A1	family with sequence similarity 90 member A1	HGNC	25526	FAM90A1
FBXO31	F-box protein 31	HGNC	16510	FBXO31
DRAP1	DR1 associated protein 1	HGNC	3019	DRAP1
MNAT1	MNAT1 component of CDK activating kinase	HGNC	7181	MNAT1
SLC49A4	solute carrier family 49 member 4	HGNC	16628	SLC49A4
SLC49A3	solute carrier family 49 member 3	HGNC	26177	SLC49A3
BCAR3	BCAR3 adaptor protein, NSP family member	HGNC	973	BCAR3
KCNK5	potassium two pore domain channel subfamily K member 5	HGNC	6280	KCNK5
PIWIL2	piwi like RNA-mediated gene silencing 2	HGNC	17644	PIWIL2
KCNK6	potassium two pore domain channel subfamily K member 6	HGNC	6281	KCNK6
PIWIL1	piwi like RNA-mediated gene silencing 1	HGNC	9007	PIWIL1
ALAS2	5'-aminolevulinate synthase 2	HGNC	397	ALAS2
KCNK7	potassium two pore domain channel subfamily K member 7	HGNC	6282	KCNK7
PIWIL4	piwi like RNA-mediated gene silencing 4	HGNC	18444	PIWIL4
ALAS1	5'-aminolevulinate synthase 1	HGNC	396	ALAS1
PIWIL3	piwi like RNA-mediated gene silencing 3	HGNC	18443	PIWIL3
KCNK9	potassium two pore domain channel subfamily K member 9	HGNC	6283	KCNK9
ONECUT2	one cut homeobox 2	HGNC	8139	ONECUT2
ONECUT3	one cut homeobox 3	HGNC	13399	ONECUT3
ONECUT1	one cut homeobox 1	HGNC	8138	ONECUT1
HTR2B	5-hydroxytryptamine receptor 2B	HGNC	5294	HTR2B
HTR2C	5-hydroxytryptamine receptor 2C	HGNC	5295	HTR2C
PPWD1	peptidylprolyl isomerase domain and WD repeat containing 1	HGNC	28954	PPWD1
HTR2A	5-hydroxytryptamine receptor 2A	HGNC	5293	HTR2A
NENF	neudesin neurotrophic factor	HGNC	30384	NENF
TNFSF13B	TNF superfamily member 13b	HGNC	11929	TNFSF13B
BOC	BOC cell adhesion associated, oncogene regulated	HGNC	17173	BOC
SPDL1	spindle apparatus coiled-coil protein 1	HGNC	26010	SPDL1
NEO1	neogenin 1	HGNC	7754	NEO1
BCAS2	BCAS2 pre-mRNA processing factor	HGNC	975	BCAS2
BCAS1	brain enriched myelin associated protein 1	HGNC	974	BCAS1
BOK	BCL2 family apoptosis regulator BOK	HGNC	1087	BOK
MBL2	mannose binding lectin 2	HGNC	6922	MBL2
BCAS4	breast carcinoma amplified sequence 4	HGNC	14367	BCAS4
