value_en	description_en	codesystem	code	description_code
Kennemer Gasthuis, Haarlem	Kennemer Gasthuis, Haarlem	FG	ZKH83	Kennemer Gasthuis, Haarlem
ACS Biobank	ACS Biobank	BBMRI-ERIC	NL_AAAACXO74F5GMACQK2ME25QAAE	ACS Biobank
Medisch Centrum Haaglanden, The Hague	Medisch Centrum Haaglanden, The Hague	FG	ZKH106	Medisch Centrum Haaglanden, The Hague
Meander Medisch Centrum, Amersfoort	Meander Medisch Centrum, Amersfoort	FG	ZKH24	Meander Medisch Centrum, Amersfoort
Orbis Medisch Centrum, Sittard	Orbis Medisch Centrum, Sittard	FG	ZKH60	Orbis Medisch Centrum, Sittard
Gelre Hospitals|Gelre Ziekenhuizen, Spittaal, Zutphen	Gelre Hospitals|Gelre Ziekenhuizen, Spittaal, Zutphen	FG	ZKH46	Gelre Hospitals|Gelre Ziekenhuizen, Spittaal, Zutphen
Máxima Medisch Centrum, Eindhoven	Máxima Medisch Centrum, Eindhoven	FG	ZKH66	Máxima Medisch Centrum, Eindhoven
PALGA	PALGA	BBMRI-ERIC	NL_aaaacz5gvxsieacqk2mgyyqaae	PALGA
Haaglanden Medisch Centrum (Westeinde location), The Hague	Haaglanden Medisch Centrum (Westeinde location), The Hague	FG	ZKH17	Haaglanden Medisch Centrum (Westeinde location), The Hague
Diaconessenhuis, Leiden	Diaconessenhuis, Leiden	FG	ZKH102	Diaconessenhuis, Leiden
Occupational asthma Biobank	Occupational asthma Biobank	BBMRI-ERIC	NL_AAAACXPKSBQFGACQK2ME25QAAE	Occupational asthma Biobank
BovenIJ Ziekenhuis	BovenIJ Ziekenhuis	FG	ZKH76	BovenIJ Ziekenhuis
Sint Franciscus Gasthuis, Rotterdam	Sint Franciscus Gasthuis, Rotterdam	FG	ZKH108	Sint Franciscus Gasthuis, Rotterdam
U-TWIN Biobank	U-TWIN Biobank	BBMRI-ERIC	NL_AAAACXPKIFC32ACQK2ME25QAAM	U-TWIN Biobank
Durrer Center	Durrer Center	BBMRI-ERIC	NL_AAAACVOEPHI3IZSUAVNCZ2AAAE	Durrer Center
Noordwest Ziekenhuisgroep, Alkmaar	Noordwest Ziekenhuisgroep, Alkmaar	FG	ZKH27	Noordwest Ziekenhuisgroep, Alkmaar
Elisabeth-TweeSteden Ziekenhuis Tilburg, Tilburg	Elisabeth-TweeSteden Ziekenhuis Tilburg, Tilburg	FG	ZKH14	Elisabeth-TweeSteden Ziekenhuis Tilburg, Tilburg
Lifelines Biobank	Lifelines Biobank	BBMRI-ERIC	NL_AAAACXPAWTUFCACQK2ME25QAAM	Lifelines Biobank
MeninGene Biobank	MeninGene Biobank	BBMRI-ERIC	NL_AAAACW7MF7WRMACQK2MD37AAAE	MeninGene Biobank
Utrecht Clamp Cohort Biobank	Utrecht Clamp Cohort Biobank	BBMRI-ERIC	NL_AAAACXPFOKGE6ACQK2ME25QAAE	Utrecht Clamp Cohort Biobank
NL Perinatal Screening Biobank	NL Perinatal Screening Biobank	BBMRI-ERIC	NL_AAAACXPF3FZEAACQK2ME25QAAM	NL Perinatal Screening Biobank
St. Jans Gasthuis, Weert	St. Jans Gasthuis, Weert	FG	ZKH61	St. Jans Gasthuis, Weert
Academisch Medisch Centrum (AMC), Amsterdam	Academisch Medisch Centrum (AMC), Amsterdam	FG	ZKH2	Academisch Medisch Centrum (AMC), Amsterdam
New Hoorn Study Biobank	New Hoorn Study Biobank	BBMRI-ERIC	NL_AAAACXPF4VZU4ACQK2ME25QAAM	New Hoorn Study Biobank
Surinamese in the netherlands: study on ethnicity and health Biobank	Surinamese in the netherlands: study on ethnicity and health Biobank	BBMRI-ERIC	NL_AAAACXPFMLKW2ACQK2ME25QAAE	Surinamese in the netherlands: study on ethnicity and health Biobank
ORIGO Biobank	ORIGO Biobank	BBMRI-ERIC	NL_AAAACXPKM4ZVGACQK2ME25QAAE	ORIGO Biobank
DIPAK	DIPAK	BBMRI-ERIC	NL_aaaac2dvrk2auacqk2mpm4yabe	DIPAK
Wilhelminaziekenhuis, Assen	Wilhelminaziekenhuis, Assen	FG	ZKH36	Wilhelminaziekenhuis, Assen
