value_en	description_en	codesystem	code	description_code
Fractionated Stereotactic Radiation Therapy	Fractionated Stereotactic Radiation Therapy	NCIT	C156862	Fractionated Stereotactic Radiation Therapy
masculinizing thoracic surgery	masculinizing thoracic surgery	GSSO	000110	masculinizing thoracic surgery
masculinizing mastectomy	masculinizing mastectomy	GSSO	000126	masculinizing mastectomy
gender affirming surgery	gender affirming surgery	GSSO	001608	gender affirming surgery
intersex surgery	intersex surgery	GSSO	001609	intersex surgery
feminizing gender confirmation surgery	feminizing gender confirmation surgery	GSSO	001610	feminizing gender confirmation surgery
masculinizing gender confirmation surgery	masculinizing gender confirmation surgery	GSSO	001611	masculinizing gender confirmation surgery
facial feminization surgery	facial feminization surgery	GSSO	001612	facial feminization surgery
facial masculinization surgery	facial masculinization surgery	GSSO	001613	facial masculinization surgery
genital masculinization surgery	genital masculinization surgery	GSSO	001614	genital masculinization surgery
genital feminization surgery	genital feminization surgery	GSSO	001615	genital feminization surgery
excision of ovotestis	excision of ovotestis	GSSO	001618	excision of ovotestis
genital gender confirmation surgery	genital gender confirmation surgery	GSSO	001619	genital gender confirmation surgery
thoracic gender confirmation surgery	thoracic gender confirmation surgery	GSSO	001620	thoracic gender confirmation surgery
masculinizing intersex surgery	masculinizing intersex surgery	GSSO	001633	masculinizing intersex surgery
feminizing intersex surgery	feminizing intersex surgery	GSSO	001634	feminizing intersex surgery
genital intersex surgery	genital intersex surgery	GSSO	001635	genital intersex surgery
andrological surgical procedure	andrological surgical procedure	GSSO	001636	andrological surgical procedure
testicular surgical procedure	testicular surgical procedure	GSSO	001637	testicular surgical procedure
penile surgical procedure	penile surgical procedure	GSSO	001638	penile surgical procedure
orchiopexy	orchiopexy	GSSO	001639	orchiopexy
urethral surgical procedure	urethral surgical procedure	GSSO	001640	urethral surgical procedure
repair of urethra	repair of urethra	GSSO	001641	repair of urethra
repair of hypospadias	repair of hypospadias	GSSO	001642	repair of hypospadias
repair of epispadias	repair of epispadias	GSSO	001643	repair of epispadias
reconstruction of penis	reconstruction of penis	GSSO	001644	reconstruction of penis
construction of penis	construction of penis	GSSO	001645	construction of penis
repair of testis	repair of testis	GSSO	001646	repair of testis
excision of testis	excision of testis	GSSO	001647	excision of testis
orchiectomy	orchiectomy	GSSO	001648	orchiectomy
partial orchiectomy	partial orchiectomy	GSSO	001650	partial orchiectomy
radical orchiectomy	radical orchiectomy	GSSO	001651	radical orchiectomy
simple orchiectomy	simple orchiectomy	GSSO	001652	simple orchiectomy
labial surgical procedure	labial surgical procedure	GSSO	001653	labial surgical procedure
surgical castration	surgical castration	GSSO	001655	surgical castration
oophorectomy	oophorectomy	GSSO	001657	oophorectomy
salpingo-oophorectomy	salpingo-oophorectomy	GSSO	001658	salpingo-oophorectomy
ovarian surgical procedure	ovarian surgical procedure	GSSO	001659	ovarian surgical procedure
excision of ovary	excision of ovary	GSSO	001660	excision of ovary
release of chordee	release of chordee	GSSO	001661	release of chordee
repair of penis	repair of penis	GSSO	001662	repair of penis
phalloplasty	phalloplasty	GSSO	001669	phalloplasty
uterine surgical procedure	uterine surgical procedure	GSSO	001670	uterine surgical procedure
excision of uterus	excision of uterus	GSSO	001671	excision of uterus
hysterectomy	hysterectomy	GSSO	001672	hysterectomy
insertion of testicular prosthesis	insertion of testicular prosthesis	GSSO	001673	insertion of testicular prosthesis
insertion of penile prosthesis	insertion of penile prosthesis	GSSO	001675	insertion of penile prosthesis
penile augmentation surgery	penile augmentation surgery	GSSO	001680	penile augmentation surgery
repair of buried penis	repair of buried penis	GSSO	001686	repair of buried penis
clitoral surgical procedure	clitoral surgical procedure	GSSO	001701	clitoral surgical procedure
clitoridectomy	clitoridectomy	GSSO	001702	clitoridectomy
clitoroplasty	clitoroplasty	GSSO	001703	clitoroplasty
vaginal surgical procedure	vaginal surgical procedure	GSSO	001704	vaginal surgical procedure
repair of vagina	repair of vagina	GSSO	001705	repair of vagina
vaginoplasty	vaginoplasty	GSSO	001706	vaginoplasty
construction of vagina	construction of vagina	GSSO	001707	construction of vagina
reconstruction of vagina	reconstruction of vagina	GSSO	001708	reconstruction of vagina
intestinal vaginoplasty	intestinal vaginoplasty	GSSO	001709	intestinal vaginoplasty
colon vaginoplasty	colon vaginoplasty	GSSO	001710	colon vaginoplasty
ileocecal vaginoplasty	ileocecal vaginoplasty	GSSO	001711	ileocecal vaginoplasty
ileal vaginoplasty	ileal vaginoplasty	GSSO	001712	ileal vaginoplasty
cecal vaginoplasty	cecal vaginoplasty	GSSO	001713	cecal vaginoplasty
sigmoid vaginoplasty	sigmoid vaginoplasty	GSSO	001714	sigmoid vaginoplasty
rectosigmoid vaginoplasty	rectosigmoid vaginoplasty	GSSO	001715	rectosigmoid vaginoplasty
peritoneal vaginoplasty	peritoneal vaginoplasty	GSSO	001716	peritoneal vaginoplasty
buccal mucosa vaginoplasty	buccal mucosa vaginoplasty	GSSO	001717	buccal mucosa vaginoplasty
rectal vaginoplasty	rectal vaginoplasty	GSSO	001718	rectal vaginoplasty
penile inversion vaginoplasty	penile inversion vaginoplasty	GSSO	001719	penile inversion vaginoplasty
penile-scrotal vaginoplasty	penile-scrotal vaginoplasty	GSSO	001720	penile-scrotal vaginoplasty
penile-urethra vaginoplasty	penile-urethra vaginoplasty	GSSO	001721	penile-urethra vaginoplasty
skin graft vaginoplasty	skin graft vaginoplasty	GSSO	001722	skin graft vaginoplasty
repair of vaginal wall prolapse	repair of vaginal wall prolapse	GSSO	001723	repair of vaginal wall prolapse
neocolporrhaphy	neocolporrhaphy	GSSO	001724	neocolporrhaphy
rectosigmoid neocolporrhaphy	rectosigmoid neocolporrhaphy	GSSO	001725	rectosigmoid neocolporrhaphy
zero depth vaginoplasty	zero depth vaginoplasty	GSSO	001726	zero depth vaginoplasty
pedicled flap phalloplasty	pedicled flap phalloplasty	GSSO	001727	pedicled flap phalloplasty
free flap phalloplasty	free flap phalloplasty	GSSO	001728	free flap phalloplasty
radial forearm free flap phalloplasty	radial forearm free flap phalloplasty	GSSO	001729	radial forearm free flap phalloplasty
anterior lateral thigh pedicled flap phalloplasty	anterior lateral thigh pedicled flap phalloplasty	GSSO	001730	anterior lateral thigh pedicled flap phalloplasty
abdominal phalloplasty	abdominal phalloplasty	GSSO	001731	abdominal phalloplasty
musculocutaneous latissimus dorsi flap phalloplasty	musculocutaneous latissimus dorsi flap phalloplasty	GSSO	001732	musculocutaneous latissimus dorsi flap phalloplasty
random pattern flap phalloplasty	random pattern flap phalloplasty	GSSO	001733	random pattern flap phalloplasty
osteocutaneous radial forearm free flap phalloplasty	osteocutaneous radial forearm free flap phalloplasty	GSSO	001734	osteocutaneous radial forearm free flap phalloplasty
lateral arm flap phalloplasty	lateral arm flap phalloplasty	GSSO	001735	lateral arm flap phalloplasty
fibula free flap phalloplasty	fibula free flap phalloplasty	GSSO	001736	fibula free flap phalloplasty
osteocutaneous fibula free flap phalloplasty	osteocutaneous fibula free flap phalloplasty	GSSO	001737	osteocutaneous fibula free flap phalloplasty
anterolateral thigh flap phalloplasty	anterolateral thigh flap phalloplasty	GSSO	001738	anterolateral thigh flap phalloplasty
free scapular flap phalloplasty	free scapular flap phalloplasty	GSSO	001739	free scapular flap phalloplasty
re-innervated latissimus dorsi free flap phalloplasty	re-innervated latissimus dorsi free flap phalloplasty	GSSO	001740	re-innervated latissimus dorsi free flap phalloplasty
island tensor fasciae latae free flap phalloplasty	island tensor fasciae latae free flap phalloplasty	GSSO	001741	island tensor fasciae latae free flap phalloplasty
conjoined bilateral pedicled groin flap phalloplasty	conjoined bilateral pedicled groin flap phalloplasty	GSSO	001742	conjoined bilateral pedicled groin flap phalloplasty
Stanford bipedicled infraumbilical skin flap phalloplasty	Stanford bipedicled infraumbilical skin flap phalloplasty	GSSO	001743	Stanford bipedicled infraumbilical skin flap phalloplasty
vulvar surgical procedure	vulvar surgical procedure	GSSO	001744	vulvar surgical procedure
labiaplasty	labiaplasty	GSSO	001754	labiaplasty
construction of labia	construction of labia	GSSO	001775	construction of labia
corona glans clitoroplasty	corona glans clitoroplasty	GSSO	001776	corona glans clitoroplasty
masculinizing chest reconstruction	masculinizing chest reconstruction	GSSO	001777	masculinizing chest reconstruction
facial gender confirmation surgery	facial gender confirmation surgery	GSSO	001788	facial gender confirmation surgery
chest wall surgical procedure	chest wall surgical procedure	GSSO	001837	chest wall surgical procedure
repair of chest wall	repair of chest wall	GSSO	001838	repair of chest wall
reconstruction of chest wall	reconstruction of chest wall	GSSO	001952	reconstruction of chest wall
reconstructive surgery	reconstructive surgery	GSSO	001958	reconstructive surgery
body contouring surgery	body contouring surgery	GSSO	001959	body contouring surgery
chest contouring surgery	chest contouring surgery	GSSO	002028	chest contouring surgery
masculinizing chest contouring surgery	masculinizing chest contouring surgery	GSSO	002034	masculinizing chest contouring surgery
gynecomastia chest contouring surgery	gynecomastia chest contouring surgery	GSSO	002035	gynecomastia chest contouring surgery
feminizing thoracic surgery	feminizing thoracic surgery	GSSO	002041	feminizing thoracic surgery
feminizing augmentation mammaplasty	feminizing augmentation mammaplasty	GSSO	002066	feminizing augmentation mammaplasty
integumentary system surgical procedure	integumentary system surgical procedure	GSSO	002322	integumentary system surgical procedure
skin and subcutaneous tissue surgical procedures	skin and subcutaneous tissue surgical procedures	GSSO	002326	skin and subcutaneous tissue surgical procedures
free skin graft	free skin graft	GSSO	002430	free skin graft
hair transplant	hair transplant	GSSO	002442	hair transplant
head and neck surgical procedures	head and neck surgical procedures	GSSO	002443	head and neck surgical procedures
head surgical procedure	head surgical procedure	GSSO	002454	head surgical procedure
neck surgical procedure	neck surgical procedure	GSSO	002455	neck surgical procedure
forehead surgical procedure	forehead surgical procedure	GSSO	002456	forehead surgical procedure
reconstruction of forehead	reconstruction of forehead	GSSO	002552	reconstruction of forehead
thyroid cartilage surgical procedure	thyroid cartilage surgical procedure	GSSO	002827	thyroid cartilage surgical procedure
thyroid cartilage masculinization	thyroid cartilage masculinization	GSSO	002855	thyroid cartilage masculinization
thyroid cartilage feminization	thyroid cartilage feminization	GSSO	002856	thyroid cartilage feminization
thyroid cartilage reduction	thyroid cartilage reduction	GSSO	002857	thyroid cartilage reduction
otorhinolaryngologic surgical procedure	otorhinolaryngologic surgical procedure	GSSO	002866	otorhinolaryngologic surgical procedure
laryngoplasty	laryngoplasty	GSSO	002991	laryngoplasty
