value_en	description_en	codesystem	code	description_code
SureSelect RNA 0.5-2.9Mb,16,RO by Agilent Technologies	SureSelect RNA 0.5-2.9Mb,16,RO by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT304	SureSelect RNA 0.5-2.9Mb,16,RO by Agilent Technologies
SureSelectXT RNA Reagent kit, ILM, 16 by Agilent Technologies	SureSelectXT RNA Reagent kit, ILM, 16 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT187	SureSelectXT RNA Reagent kit, ILM, 16 by Agilent Technologies
SSEL XT Focused Exome Plus 2, 96 auto by Agilent Technologies	SSEL XT Focused Exome Plus 2, 96 auto by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT525	SSEL XT Focused Exome Plus 2, 96 auto by Agilent Technologies
HaloPlex Exome, ILM, 16 by Agilent Technologies	HaloPlex Exome, ILM, 16 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT579	HaloPlex Exome, ILM, 16 by Agilent Technologies
OneSeq 1Mb CNV Backbone+1-499Kb, 96 by Agilent Technologies	OneSeq 1Mb CNV Backbone+1-499Kb, 96 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT539	OneSeq 1Mb CNV Backbone+1-499Kb, 96 by Agilent Technologies
SureSelectXT DNA Kinome, 16 samples. Add by Agilent Technologies	SureSelectXT DNA Kinome, 16 samples. Add by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT212	SureSelectXT DNA Kinome, 16 samples. Add by Agilent Technologies
SSel XT HS 17-32 + 6-11.9 Mb, 16rxn by Agilent Technologies	SSel XT HS 17-32 + 6-11.9 Mb, 16rxn by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT366	SSel XT HS 17-32 + 6-11.9 Mb, 16rxn by Agilent Technologies
SSEL XT2 Hu. AllExon V5+UTRs, 96, Auto by Agilent Technologies	SSEL XT2 Hu. AllExon V5+UTRs, 96, Auto by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT500	SSEL XT2 Hu. AllExon V5+UTRs, 96, Auto by Agilent Technologies
SSELXT Human All Exon V6+UTR V6, 16 by Agilent Technologies	SSELXT Human All Exon V6+UTR V6, 16 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT460	SSELXT Human All Exon V6+UTR V6, 16 by Agilent Technologies
SureSelectXT2 Custom 1kb-499kb,96, Auto by Agilent Technologies	SureSelectXT2 Custom 1kb-499kb,96, Auto by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT166	SureSelectXT2 Custom 1kb-499kb,96, Auto by Agilent Technologies
