value_en	description_en	codesystem	code	description_code
Stippling of the epiphysis of the middle phalanx of the 4th finger	Stippling of the epiphysis of the middle phalanx of the 4th finger	HP	0009223	Stippling of the epiphysis of the middle phalanx of the 4th finger
Absence of subcutaneous fat	Absence of subcutaneous fat	HP	0007485	Absence of subcutaneous fat
Centrilobular ground-glass opacification on pulmonary HRCT	Centrilobular ground-glass opacification on pulmonary HRCT	HP	0025180	Centrilobular ground-glass opacification on pulmonary HRCT
Phonic tics	Phonic tics	HP	0100035	Phonic tics
Ocular hypertension	Ocular hypertension	HP	0007906	Ocular hypertension
Reduced upper to lower segment ratio	Reduced upper to lower segment ratio	HP	0012773	Reduced upper to lower segment ratio
Stippling of the epiphysis of the distal phalanx of the 2nd finger	Stippling of the epiphysis of the distal phalanx of the 2nd finger	HP	0009511	Stippling of the epiphysis of the distal phalanx of the 2nd finger
Toe pain	Toe pain	HP	0030841	Toe pain
Contracture of the metatarsophalangeal joint of the 2nd toe	Contracture of the metatarsophalangeal joint of the 2nd toe	HP	0100356	Contracture of the metatarsophalangeal joint of the 2nd toe
Abnormality of the Achilles tendon	Abnormality of the Achilles tendon	HP	0005109	Abnormality of the Achilles tendon
Colonic arteriovenous malformation	Colonic arteriovenous malformation	HP	0031345	Colonic arteriovenous malformation
Diplopia	Diplopia	HP	0000651	Diplopia
Elevated haptoglobin level	Elevated haptoglobin level	HP	0020180	Elevated haptoglobin level
Glomerular basement membrane wrinkling	Glomerular basement membrane wrinkling	HP	0033289	Glomerular basement membrane wrinkling
Elevated hepatic iron concentration	Elevated hepatic iron concentration	HP	0012465	Elevated hepatic iron concentration
Transphyseal fracture of the distal humerus	Transphyseal fracture of the distal humerus	HP	0033262	Transphyseal fracture of the distal humerus
Increased circulating prolactin concentration	Increased circulating prolactin concentration	HP	0000870	Increased circulating prolactin concentration
Gingival overgrowth	Gingival overgrowth	HP	0000212	Gingival overgrowth
Hyperechogenic pancreas	Hyperechogenic pancreas	HP	0006276	Hyperechogenic pancreas
Abnormal flow cytometry test result	Abnormal flow cytometry test result	HP	0031550	Abnormal flow cytometry test result
Sclerosis of the proximal phalanx of the 2nd toe	Sclerosis of the proximal phalanx of the 2nd toe	HP	0100931	Sclerosis of the proximal phalanx of the 2nd toe
