value_en	description_en	codesystem	code	description_code
454 Genome Sequence 20	454 Genome Sequence 20	OBI	0000689	454 Genome Sequence 20
AB SOLiD System	AB SOLiD System	OBI	0000696	AB SOLiD System
454 Genome Sequencer FLX	454 Genome Sequencer FLX	OBI	0000702	454 Genome Sequencer FLX
Illumina Genome Analyzer II	Illumina Genome Analyzer II	OBI	0000703	Illumina Genome Analyzer II
HeliScope Single Molecule Sequencer	HeliScope Single Molecule Sequencer	OBI	0000717	HeliScope Single Molecule Sequencer
Genome Analyzer IIx	Genome Analyzer IIx	OBI	0002000	Genome Analyzer IIx
Illumina HiSeq 2000	Illumina HiSeq 2000	OBI	0002001	Illumina HiSeq 2000
Illumina HiSeq 2500	Illumina HiSeq 2500	OBI	0002002	Illumina HiSeq 2500
MiSeq	MiSeq	OBI	0002003	MiSeq
SOLiD 3 Plus System	SOLiD 3 Plus System	OBI	0002007	SOLiD 3 Plus System
PacBio RS II	PacBio RS II	OBI	0002012	PacBio RS II
NextSeq 500	NextSeq 500	OBI	0002021	NextSeq 500
Illumina HiSeq 1000	Illumina HiSeq 1000	OBI	0002022	Illumina HiSeq 1000
SOLiD 4 System	SOLiD 4 System	OBI	0002024	SOLiD 4 System
Genome Analyzer IIe	Genome Analyzer IIe	OBI	0002027	Genome Analyzer IIe
Illumina HiSeq 3000	Illumina HiSeq 3000	OBI	0002048	Illumina HiSeq 3000
Illumina HiSeq 4000	Illumina HiSeq 4000	OBI	0002049	Illumina HiSeq 4000
SOLiD 4hq System	SOLiD 4hq System	GENEPIO	0001928	SOLiD 4hq System
SOLiD 5500	SOLiD 5500	GENEPIO	0001929	SOLiD 5500
SOLiD 5500xl	SOLiD 5500xl	GENEPIO	0001930	SOLiD 5500xl
SOLiD PI System	SOLiD PI System	GENEPIO	0001931	SOLiD PI System
SOLiD System 2.0	SOLiD System 2.0	GENEPIO	0001932	SOLiD System 2.0
SOLiD System 3.0	SOLiD System 3.0	GENEPIO	0001933	SOLiD System 3.0
Ion Torrent PGM	Ion Torrent PGM	GENEPIO	0001935	Ion Torrent PGM
454 Genome Sequencer FLX Titanium	454 Genome Sequencer FLX Titanium	GENEPIO	0001936	454 Genome Sequencer FLX Titanium
454 Genome Sequencer	454 Genome Sequencer	GENEPIO	0001937	454 Genome Sequencer
454 Genome Sequencer Junior	454 Genome Sequencer Junior	GENEPIO	0001938	454 Genome Sequencer Junior
Illumina HiSeq Sequencer	Illumina HiSeq Sequencer	GENEPIO	0001939	Illumina HiSeq Sequencer
Illumina HiSeq X Five	Illumina HiSeq X Five	FG	SIM1	Illumina HiSeq X Five
Illumina HiSeq X Ten	Illumina HiSeq X Ten	FG	SIM2	Illumina HiSeq X Ten
Illumina MiniSeq	Illumina MiniSeq	FG	SIM3	Illumina MiniSeq
Illumina iSeq 100	Illumina iSeq 100	FG	SIM4	Illumina iSeq 100
Illumina NextSeq 550	Illumina NextSeq 550	FG	SIM5	Illumina NextSeq 550
Illumina NextSeq 2000	Illumina NextSeq 2000	FG	SIM6	Illumina NextSeq 2000
Illumina NovaSeq 6000	Illumina NovaSeq 6000	FG	SIM7	Illumina NovaSeq 6000
Illumina NextSeq 1000	Illumina NextSeq 1000	FG	SIM8	Illumina NextSeq 1000
Illumina NextSeq 550Dx	Illumina NextSeq 550Dx	FG	SIM9	Illumina NextSeq 550Dx
Illumina MiSeqDx	Illumina MiSeqDx	FG	SIM10	Illumina MiSeqDx
Illumina MiSeq FGx	Illumina MiSeq FGx	FG	SIM11	Illumina MiSeq FGx
NoInformation (NI, nullflavor)	The value is exceptional (missing, omitted, incomplete, improper). No information as to the reason for being an exceptional value is provided. This is the most general exceptional value. It is also the default exceptional value.	HL7	NI	NoInformation (NI, nullflavor)
Invalid (INV, nullflavor)	The value as represented in the instance is not a member of the set of permitted data values in the constrained value domain of a variable.	HL7	INV	Invalid (INV, nullflavor)
Derived (DER, nullflavor)	An actual value may exist, but it must be derived from the provided information (usually an EXPR generic data type extension will be used to convey the derivation expression .	HL7	DER	Derived (DER, nullflavor)
Other (OTH, nullflavor)	The actual value is not a member of the set of permitted data values in the constrained value domain of a variable.The actual value is not a member of the set of permitted data values in the constrained value domain of a variable. (e.g., concept not provided by required code system).	HL7	OTH	Other (OTH, nullflavor)
Negative infinity (NINF, nullflavor)	Negative infinity of numbers.	HL7	NINF	Negative infinity (NINF, nullflavor)
Positive infinity (PINF, nullflavor)	Positive infinity of numbers.	HL7	PINF	Positive infinity (PINF, nullflavor)
Un-encoded (UNC, nullflavor)	The actual value has not yet been encoded within the approved value domain.	HL7	UNC	Un-encoded (UNC, nullflavor)
Masked (MSK, nullflavor)	There is information on this item available but it has not been provided by the sender due to security, privacy or other reasons. There may be an alternate mechanism for gaining access to this information.	HL7	MSK	Masked (MSK, nullflavor)
Not applicable (NA, nullflavor)	Known to have no proper value (e.g., last menstrual period for a male).	HL7	NA	Not applicable (NA, nullflavor)
Unknown (UNK, nullflavor)	A proper value is applicable, but not known.	HL7	UNK	Unknown (UNK, nullflavor)
Asked but unknown (ASKU, nullflavor)	Information was sought but not found (e.g., patient was asked but didn't know)	HL7	ASKU	Asked but unknown (ASKU, nullflavor)
Temporarily unavailable (NAV, nullflavor)	Information is not available at this time but it is expected that it will be available later.	HL7	NAV	Temporarily unavailable (NAV, nullflavor)
Not asked (NASK, nullflavor)	This information has not been sought. (e.g., patient was not asked)	HL7	NASK	Not asked (NASK, nullflavor)
Not available (NAVU, nullflavor)	Information is not available at this time (with no expectation regarding whether it will or will not be available in the future).	HL7	NAVU	Not available (NAVU, nullflavor)
Sufficient quantity (QS, nullflavor)	The specific quantity is not known, but is known to be non-zero and is not specified because it makes up the bulk of the material. e.g. 'Add 10mg of ingredient X, 50mg of ingredient Y, and sufficient quantity of water to 100mL.' The null flavor would be used to express the quantity of water.	HL7	QS	Sufficient quantity (QS, nullflavor)
Trace (TRC, nullflavor)	The content is greater than zero, but too small to be quantified.	HL7	TRC	Trace (TRC, nullflavor)
