value_en	description_en	codesystem	code	description_code
Next Generation Sequencing	Next Generation Sequencing	NCIT	C101293	Next Generation Sequencing
Whole Genome Sequencing	Whole Genome Sequencing	NCIT	C101294	Whole Genome Sequencing
Whole Exome Sequencing	Whole Exome Sequencing	NCIT	C101295	Whole Exome Sequencing
Large-Scale Sequencing	Large-Scale Sequencing	NCIT	C19645	Large-Scale Sequencing
454 Sequencing	454 Sequencing	NCIT	C146809	454 Sequencing
ABI SOLiD Sequencing	ABI SOLiD Sequencing	NCIT	C146811	ABI SOLiD Sequencing
BGISEQ-500 Sequencing	BGISEQ-500 Sequencing	NCIT	C146812	BGISEQ-500 Sequencing
Capillary Sequencing	Capillary Sequencing	NCIT	C146814	Capillary Sequencing
Complete Genomics Sequencing	Complete Genomics Sequencing	NCIT	C146815	Complete Genomics Sequencing
Helicos Sequencing	Helicos Sequencing	NCIT	C146816	Helicos Sequencing
Illumina Sequencing	Illumina Sequencing	NCIT	C146817	Illumina Sequencing
Oxford Nanopore Sequencing	Oxford Nanopore Sequencing	NCIT	C146818	Oxford Nanopore Sequencing
SMRT Sequencing	SMRT Sequencing	NCIT	C146819	SMRT Sequencing
Immune Repertoire Deep Sequencing	Immune Repertoire Deep Sequencing	NCIT	C158249	Immune Repertoire Deep Sequencing
Targeted Transcriptome Sequencing	Targeted Transcriptome Sequencing	NCIT	C158252	Targeted Transcriptome Sequencing
Targeted Genome Sequencing	Targeted Genome Sequencing	NCIT	C158253	Targeted Genome Sequencing
mRNA Sequencing	mRNA Sequencing	NCIT	C129432	mRNA Sequencing
Next Generation Targeted Sequencing	Next Generation Targeted Sequencing	NCIT	C130177	Next Generation Targeted Sequencing
Sequence-based Typing	Sequence-based Typing	NCIT	C130180	Sequence-based Typing
Dideoxy Chain Termination DNA Sequencing	Dideoxy Chain Termination DNA Sequencing	NCIT	C19641	Dideoxy Chain Termination DNA Sequencing
Shotgun Sequencing	Shotgun Sequencing	NCIT	C19646	Shotgun Sequencing
Whole-Genome Shotgun Sequencing	Whole-Genome Shotgun Sequencing	NCIT	C19653	Whole-Genome Shotgun Sequencing
Radioactive Sequencing	Radioactive Sequencing	NCIT	C19658	Radioactive Sequencing
Paired-End Sequencing	Paired-End Sequencing	NCIT	C150423	Paired-End Sequencing
Second-strand Library Sequencing	Second-strand Library Sequencing	NCIT	C150426	Second-strand Library Sequencing
Unstranded Library Sequencing	Unstranded Library Sequencing	NCIT	C150427	Unstranded Library Sequencing
First-strand Library Sequencing	First-strand Library Sequencing	NCIT	C150428	First-strand Library Sequencing
Whole Transcriptome Sequencing	Whole Transcriptome Sequencing	NCIT	C124261	Whole Transcriptome Sequencing
Population Sequencing	Population Sequencing	NCIT	C135457	Population Sequencing
Pyrosequencing	Pyrosequencing	NCIT	C99481	Pyrosequencing
Ion Semiconductor Sequencing	Ion Semiconductor Sequencing	NCIT	C125894	Ion Semiconductor Sequencing
Nucleic Acid Sequencing	Nucleic Acid Sequencing	NCIT	C18881	Nucleic Acid Sequencing
DNA Resequencing	DNA Resequencing	NCIT	C41254	DNA Resequencing
DNA Sequencing	DNA Sequencing	NCIT	C153598	DNA Sequencing
MicroRNA Sequencing	MicroRNA Sequencing	NCIT	C156057	MicroRNA Sequencing
NoInformation (NI, nullflavor)	The value is exceptional (missing, omitted, incomplete, improper). No information as to the reason for being an exceptional value is provided. This is the most general exceptional value. It is also the default exceptional value.	HL7	NI	NoInformation (NI, nullflavor)
Invalid (INV, nullflavor)	The value as represented in the instance is not a member of the set of permitted data values in the constrained value domain of a variable.	HL7	INV	Invalid (INV, nullflavor)
Derived (DER, nullflavor)	An actual value may exist, but it must be derived from the provided information (usually an EXPR generic data type extension will be used to convey the derivation expression .	HL7	DER	Derived (DER, nullflavor)
Other (OTH, nullflavor)	The actual value is not a member of the set of permitted data values in the constrained value domain of a variable.The actual value is not a member of the set of permitted data values in the constrained value domain of a variable. (e.g., concept not provided by required code system).	HL7	OTH	Other (OTH, nullflavor)
Negative infinity (NINF, nullflavor)	Negative infinity of numbers.	HL7	NINF	Negative infinity (NINF, nullflavor)
Positive infinity (PINF, nullflavor)	Positive infinity of numbers.	HL7	PINF	Positive infinity (PINF, nullflavor)
Un-encoded (UNC, nullflavor)	The actual value has not yet been encoded within the approved value domain.	HL7	UNC	Un-encoded (UNC, nullflavor)
Masked (MSK, nullflavor)	There is information on this item available but it has not been provided by the sender due to security, privacy or other reasons. There may be an alternate mechanism for gaining access to this information.	HL7	MSK	Masked (MSK, nullflavor)
Not applicable (NA, nullflavor)	Known to have no proper value (e.g., last menstrual period for a male).	HL7	NA	Not applicable (NA, nullflavor)
Unknown (UNK, nullflavor)	A proper value is applicable, but not known.	HL7	UNK	Unknown (UNK, nullflavor)
Asked but unknown (ASKU, nullflavor)	Information was sought but not found (e.g., patient was asked but didn't know)	HL7	ASKU	Asked but unknown (ASKU, nullflavor)
Temporarily unavailable (NAV, nullflavor)	Information is not available at this time but it is expected that it will be available later.	HL7	NAV	Temporarily unavailable (NAV, nullflavor)
Not asked (NASK, nullflavor)	This information has not been sought. (e.g., patient was not asked)	HL7	NASK	Not asked (NASK, nullflavor)
Not available (NAVU, nullflavor)	Information is not available at this time (with no expectation regarding whether it will or will not be available in the future).	HL7	NAVU	Not available (NAVU, nullflavor)
