value_en	description_en	codesystem	code	description_code
A1BG	alpha-1-B glycoprotein	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:5	A1BG
A1CF	APOBEC1 complementation factor	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:24086	A1CF
A2M	alpha-2-macroglobulin	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7	A2M
A2ML1	alpha-2-macroglobulin like 1	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:23336	A2ML1
A3GALT2	alpha 1,3-galactosyltransferase 2	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:30005	A3GALT2
A4GALT	alpha 1,4-galactosyltransferase (P blood group)	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:18149	A4GALT
A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:17968	A4GNT
AAAS	aladin WD repeat nucleoporin	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:13666	AAAS
AACS	acetoacetyl-CoA synthetase	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:21298	AACS
AADAC	arylacetamide deacetylase	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:17	AADAC
AADACL2	arylacetamide deacetylase like 2	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:24427	AADACL2
AADACL3	arylacetamide deacetylase like 3	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:32037	AADACL3
AADACL4	arylacetamide deacetylase like 4	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:32038	AADACL4
AADAT	aminoadipate aminotransferase	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:17929	AADAT
AAGAB	alpha and gamma adaptin binding protein	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:25662	AAGAB
AAK1	AP2 associated kinase 1	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:19679	AAK1
AAMDC	adipogenesis associated Mth938 domain containing	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:30205	AAMDC
AAMP	angio associated migratory cell protein	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:18	AAMP
AANAT	aralkylamine N-acetyltransferase	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:19	AANAT
AAR2	AAR2 splicing factor	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:15886	AAR2
AARD	alanine and arginine rich domain containing protein	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:33842	AARD
AARS1	alanyl-tRNA synthetase 1	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:20	AARS1
AARS2	alanyl-tRNA synthetase 2, mitochondrial	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:21022	AARS2
AARSD1	alanyl-tRNA synthetase domain containing 1	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:28417	AARSD1
AASDH	aminoadipate-semialdehyde dehydrogenase	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:23993	AASDH
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:14235	AASDHPPT
AASS	aminoadipate-semialdehyde synthase	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:17366	AASS
AATF	apoptosis antagonizing transcription factor	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:19235	AATF
AATK	apoptosis associated tyrosine kinase	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:21	AATK
ABAT	4-aminobutyrate aminotransferase	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:23	ABAT
ABCA1	ATP binding cassette subfamily A member 1	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:29	ABCA1
ABCA2	ATP binding cassette subfamily A member 2	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:32	ABCA2
ABCA3	ATP binding cassette subfamily A member 3	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:33	ABCA3
ABCA4	ATP binding cassette subfamily A member 4	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:34	ABCA4
ABCA5	ATP binding cassette subfamily A member 5	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:35	ABCA5
ABCA6	ATP binding cassette subfamily A member 6	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:36	ABCA6
ABCA7	ATP binding cassette subfamily A member 7	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:37	ABCA7
ABCA8	ATP binding cassette subfamily A member 8	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:38	ABCA8
ABCA9	ATP binding cassette subfamily A member 9	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:39	ABCA9
ABCA10	ATP binding cassette subfamily A member 10	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:30	ABCA10
ABCA12	ATP binding cassette subfamily A member 12	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:14637	ABCA12
ABCA13	ATP binding cassette subfamily A member 13	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:14638	ABCA13
ABCB1	ATP binding cassette subfamily B member 1	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:40	ABCB1
ABCB4	ATP binding cassette subfamily B member 4	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:45	ABCB4
ABCB5	ATP binding cassette subfamily B member 5	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:46	ABCB5
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	HGNC	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:47	ABCB6
